Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,52
Role 2,82
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1843.2633423575435,29.039400339126587,11898.607006788254,152990.85741567612,0.0,0.0,0.0,0.0,41109.39759036145,0.0,324180.0,3412080.0,10.240351901986353,0.1613300018840366,66.10337225993474,849.9492078648673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
Amend Request for Quotation,634.9833859960797,179.72027468681335,1232.4213209152222,45083.820405721664,0.0,0.0,0.0,0.0,15072.676056338029,0.0,158460.0,1070160.0,3.527685477755999,0.9984459704822964,6.8467851161956785,250.46566892067594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
Analyze Purchase Requisition,377.1522193880029,242.3166720867157,537.9277684688568,69018.85614800453,0.0,0.0,0.0,0.0,4095.7377049180327,0.0,158460.0,749520.0,2.095290107711126,1.3462037338150872,2.98848760260476,383.43808971113606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183
Analyze Quotation Comparison Map,1178.4768390893937,377.33134746551514,2024.0007977485657,117847.68390893936,0.0,0.0,0.0,0.0,28281.6,0.0,158460.0,2828160.0,6.5470935504966326,2.096285263697306,11.24444887638092,654.7093550496633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,45135.06559457137,832.0648810863495,168530.77435421944,7718096.216671705,43816.83133784094,0.0,166489.56424832344,7492678.1587708,1053901.0526315789,0.0,3984420.0,1.8021708E8,7.323523648502462,0.08739110363854302,13.856485247612,1252.322543893921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
Approve Purchase Order for payment,34851.99126873255,60.0,168295.65896606445,3485199.126873255,34791.99126873255,0.0,168235.65896606445,3479199.126873255,825859.2,0.0,3966420.0,8.258592E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1421.69033980608,0.0,7780.499965429306,142169.033980608,1421.69033980608,0.0,7780.499965429306,142169.033980608,29469.0,0.0,201720.0,2946900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,89097.63658030987,410.15531945228577,176225.75874114037,8909763.658030987,88530.7595865345,0.0,175465.99437522888,8853075.95865345,2073492.6,0.0,4110600.0,2.0734926E8,3.1493166320853767,2.0068543169233535,4.286351552274492,314.93166320853766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1796.314486296177,327.2440357208252,3383.271371603012,179631.4486296177,0.0,0.0,0.0,0.0,59389.175291349886,0.0,157892.45121121407,5938917.529134989,9.97952492386765,1.8180224206712512,18.79595206446118,997.952492386765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87846.41995783568,2498.2241656780243,193221.66525888443,8784641.995783567,75955.16628885985,0.0,175766.60040545464,7595516.628885984,2062306.8,158460.0,4481700.0,2.0623068E8,66.06252038319907,13.179022794299655,118.69056970675787,6606.252038319907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,364.41875047445296,13.36887001991272,1564.8554365634918,36441.8750474453,0.0,0.0,0.0,0.0,8144.4,0.0,154860.0,814440.0,4.049097227493922,0.14854300022125244,17.38728262848324,404.90972274939224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,251489.39906694888,16099.9457924366,594739.7995245457,2.514893990669489E7,158173.92170063735,0.0,447580.3052871227,1.5817392170063734E7,5891665.8,378300.0,1.392048E7,5.8916658E8,518.4193187017306,80.62606052292718,972.6227181884977,51841.931870173066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183
Pay Invoice,2091.047827253342,241.26677179336548,8602.085975646973,209104.78272533417,1508.3316999816896,0.0,7854.9238476753235,150833.16999816895,47985.6,0.0,252180.0,4798560.0,3.2373118181758445,1.340370954407586,4.984172080622779,323.73118181758446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3637.8,0.0,158460.0,363780.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,480.1792565870285,120.60087561607361,3801.338807821274,48017.92565870285,216.14782472372056,0.0,3678.698450088501,21614.782472372055,5583.6,0.0,154860.0,558360.0,1.4668412881294883,0.6700048645337423,2.32390157116784,146.68412881294884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,196728.8943389702,0.0,438587.2534995079,1.967288943389702E7,196728.8943389702,0.0,438587.2534995079,1.967288943389702E7,4591545.0,0.0,1.023864E7,4.591545E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58325.40104900599,900.8146514892578,166230.31086349487,5832540.1049005985,56885.69420769691,0.0,164261.224599123,5688569.4207696915,1353508.2,0.0,3854820.0,1.3535082E8,7.998371340605948,2.500518349806468,14.710973821745979,799.8371340605947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,135068.82784010412,21286.952569007874,223041.2458474636,1.350688278401041E7,99259.47086874247,0.0,181209.65174722672,9925947.086874247,3170252.4,425160.0,5220180.0,3.1702524E8,198.9408720631202,82.88209898074469,292.11580348942016,19894.08720631202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10236.722539550854,73.01524114608765,41937.64464569092,542546.2945961952,1133.751262646801,0.0,7863.095211982727,60088.81692028046,236402.2641509434,0.0,1084320.0,1.252932E7,50.57206264946697,0.4056402285893758,232.98691469828287,2680.3193204217496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5394100.7304673195,2.3076980833345145E7,2.9768714145183325E7
Process Cycle Time excluding out of timetable hours (s),220929.9181418419,946078.0580537867,1216056.5818767548
Process Waiting Time (s),129220.9162144661,788999.7378815961,1020246.5494222641
Accumulated Process Duration (s),5394100.7304673195,2.3076980833345145E7,2.9768714145183325E7
Cost,353.6152707391315,874.6818829036956,1385.5369668536714


Process Cycle Time (s) distribution
From,To,Count
5394100,7831561,2
7831562,10269023,5
10269024,12706485,6
12706486,15143947,2
15143948,17581409,2
17581410,20018871,7
20018872,22456333,5
22456334,24893795,8
24893796,27331257,57
27331258,29768719,6

Process Waiting Time (s) distribution
From,To,Count
129220,218322,3
218323,307425,7
307426,396528,4
396529,485631,2
485632,574734,1
574735,663837,8
663838,752940,3
752941,842043,6
842044,931146,31
931147,1020249,35

Accumulated Process Duration (s) distribution
From,To,Count
5394100,7831561,2
7831562,10269023,5
10269024,12706485,6
12706486,15143947,2
15143948,17581409,2
17581410,20018871,7
20018872,22456333,5
22456334,24893795,8
24893796,27331257,57
27331258,29768719,6

Process Cost distribution
From,To,Count
353,456,6
457,560,10
561,664,7
665,768,12
769,872,14
873,976,13
977,1080,10
1081,1184,15
1185,1288,10
1289,1392,3

In-timetable Cycle time (s) distribution
From,To,Count
220929,320441,2
320442,419954,5
419955,519467,6
519468,618980,2
618981,718493,2
718494,818006,7
818007,917519,5
917520,1017032,8
1017033,1116545,54
1116546,1216058,9



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0057323797245502E7,415742.7972455025,220063.58675432205,1087.493959751394
2,9988946.23205924,411719.6813838482,219373.1798222065,1070.9936881581943
3,8548852.17555213,351089.3768315315,199695.05614829063,845.0352206985157
4,1.2591438461303473E7,513312.4094285965,284332.6180648804,1272.8051786608166
5,1.1210085272295475E7,460838.28634381294,238408.80841517448,1237.0410402920509
6,2.7528364614144802E7,1132595.7081098557,1018664.1374106407,634.9711687988706
7,5394100.7304673195,220929.9181418419,129220.9162144661,511.61138629648417
8,1.655773552153635E7,680762.1893401146,532831.1274390221,826.8862192869187
9,9287328.345947027,381648.3459470272,307550.9625091553,412.5399295714166
10,1.6314190686825514E7,663408.2481751442,462716.9931578636,1122.1462504174974
11,2.2619803514570713E7,927003.4202353954,687867.9446938038,1328.9308656692504
12,2.2948175632862568E7,941509.7423005104,839411.4027192593,572.7600934558444
13,1.264962463814807E7,517350.16908574104,372909.17910146713,803.9711609747675
14,1.4055124523813963E7,575079.1918077469,388917.5084927082,1034.9172288748955
15,6177481.104077339,251691.91445803642,152545.59702849388,551.4035811238818
16,1.0397994003966331E7,426063.240316391,238266.03079319,1044.9481524825094
17,1.0338555818036556E7,423858.27564787865,339256.39515542984,472.43674523697956
18,1.3605234395902872E7,555878.1857361794,396929.08137249947,884.7217509388926
19,8937234.381200075,369038.1394004822,227081.97845196724,789.7547122849359
20,1.236768399741602E7,506322.1192288399,283083.2762851715,1241.1895780060024
21,1.995833577419448E7,817675.774194479,605007.8757834435,1181.8980977866383
22,2.3933315389860153E7,978866.8108379841,799252.3668198586,998.5926613979871
23,2.1241811001905203E7,873567.998745203,663484.7367010117,1175.8228748930826
24,1.8965232249204636E7,776089.7529118061,626968.0550029278,829.367399544186
25,1.818877390573716E7,744951.0162301064,625336.0887186527,664.7502359482978
26,2.724720596611595E7,1117104.7819440365,868006.68217659,1385.5369668536714
27,2.723454577849102E7,1118417.4167075157,887212.7873649597,1285.5986102143922
28,2.263838770985651E7,924315.8975872993,782380.4788222313,789.5066247781119
29,2.1315523974155426E7,869164.2144980431,694567.9305529594,970.4595641573271
30,2.9768714145183325E7,1216056.5818767548,1000290.0140852928,1199.1801417469976
31,1.8867365065504074E7,769083.1178574562,663439.0090200901,588.697468301985
32,1.9804354799464226E7,808559.1787934303,644865.464966774,910.6992168598706
33,1.9620525985396147E7,800892.589700222,641468.4895272255,888.0592982305421
34,2.195105012304616E7,897436.2341578007,811057.1361057758,481.05050112141487
35,2.1678732136583805E7,891356.111364603,778898.9779267311,630.6967069215245
36,2.710622887488866E7,1112664.4875957966,978491.6999661922,746.5044839567609
37,2.5828006554467916E7,1058961.122525692,893050.8752269745,922.5781721817125
38,2.7026629387731075E7,1111524.9196853638,957452.5857615471,856.4531913399697
39,2.5584940121393442E7,1049326.4996232986,852573.258023262,1094.7374327381451
40,2.3758209837064743E7,973129.1440551281,850287.5464756489,687.4850134571394
41,2.703742604710412E7,1110447.7972829342,879172.5415263176,1285.6707871370843
42,2.69696259276371E7,1107133.285637617,860464.2005896568,1371.6810775332979
43,2.1567178012572527E7,888374.3895025253,746688.1269364357,788.0320323785146
44,2.6126252609998465E7,1073449.017345667,880074.441321373,1075.5709719114834
45,1.9722935711310387E7,812177.6212742329,663296.9777071476,828.4365446342363
46,2.4706736816205025E7,1014942.9368419647,832868.5100195408,1015.8357572939661
47,2.695273317401004E7,1106159.7304911613,884362.86272192,1234.0170054621167
48,2.6885590443306446E7,1103447.5074198246,967742.1382153034,757.5856977118387
49,2.7081864125139236E7,1108401.681854725,1007310.6614956856,564.0380489389102
50,2.6855172528889418E7,1100956.19094944,882544.4868233204,1215.8041063533888
51,2.705388809102559E7,1108433.282148838,908176.415397644,1113.7359471572768
52,2.6883757455620766E7,1107037.4556207657,970590.6092410088,758.2438463714387
53,2.6868160431990147E7,1098522.3955037594,894657.0824728012,1132.9199837432968
54,2.6509365156313896E7,1081568.8673593998,911642.2289767265,945.6018001662362
55,2.6788530603657722E7,1097250.26811409,967009.4375898838,724.3806923680836
56,2.682573764979744E7,1097953.8060789108,977214.9979922771,674.8952416353756
57,2.7072268695350647E7,1106369.272948742,976238.5890176296,725.4544749895733
58,2.3513611477890015E7,966201.0379369259,885507.7587461472,448.58742841217247
59,2.6785297146759987E7,1099683.50183177,899297.686136961,1117.3393620914883
60,2.4007497053788662E7,983827.8003838062,906445.693031311,432.63295086622236
61,2.5808151410982847E7,1058372.4044091702,929823.0477862358,716.0617253290283
62,2.7294017670265675E7,1120735.1838121414,931310.4572720528,1053.9758520921073
63,2.6729039502883673E7,1099283.4347102642,894716.3441679478,1140.361097901397
64,2.70497190828712E7,1109858.3069889545,992767.6646149158,653.65441413588
65,2.6860975645436287E7,1100874.357289791,973572.5640013218,707.8857805583212
66,2.6686436051683187E7,1095193.4429543018,925861.4813888073,940.8073913084137
67,2.6673697323529482E7,1096554.627681017,996685.192920208,558.7225201686225
68,2.665951115534854E7,1092815.6901652813,998485.7320048809,528.9656748069657
69,2.6903959295567274E7,1099132.7216656208,974418.8505609035,694.1734683142768
70,2.6889478426244497E7,1098636.4064614773,941716.404245615,873.8905869510439
71,2.6618385191484213E7,1093684.2913594246,912478.6555800438,1007.7946700745159
72,2.654895841784048E7,1085169.5254454613,922594.9046440125,906.926656399833
73,2.7352259060528755E7,1117148.1748468876,921148.2251636982,1089.2157789813145
74,2.673315342385125E7,1092020.8766608238,910437.5293326378,1010.3649454143313
75,2.6505411611988783E7,1083588.748821497,1020246.5494222641,353.6152707391315
76,2.649227046632433E7,1084456.4423923492,879849.8984758854,1138.544791281223
77,2.6478256083888054E7,1084446.2386279106,913953.4288635254,952.3711317552462
78,2.6519584389487743E7,1089339.9952914715,965403.9937024117,688.825253587299
79,2.6449096976492405E7,1083334.2044670582,997813.198394537,476.2240111046367
80,2.648950498628354E7,1087303.0666677952,999303.5729646683,490.29206390115945
81,2.6475690566328287E7,1087444.7170894146,868896.4047937393,1218.6085409429336
82,2.646129361905074E7,1087032.3005959988,946031.4554421902,791.2160116328134
83,2.6349114958619833E7,1079060.376534462,1008170.8574440479,397.0688909014065
84,2.6984922059821844E7,1105552.8457705975,967140.2438054085,769.8993250264062
85,2.7027248090973377E7,1111387.5955150127,940395.7290327549,952.5071293354035
86,2.6408497663774967E7,1086618.5138664246,937837.0001094341,828.2973739822705
87,2.6392820125472784E7,1084959.08086133,944085.7283535004,782.9646664751901
88,2.637858643540716E7,1084711.2175850868,865488.7467441559,1219.2787361568874
89,2.636455983411622E7,1084538.5812282562,951874.0663256645,738.8684074719747
90,2.629740857099271E7,1079108.5709927082,995967.3366792202,462.21741978459886
91,2.6284580210309267E7,1079537.6202981472,935824.5033378601,798.7854936904378
92,2.6322966337459326E7,1081497.4767065048,880872.9743075371,1116.303470120165
93,2.8281321436655283E7,1158947.1847422123,963300.3618631363,1087.3708200163312
94,2.629355253726077E7,1080173.7220320702,999697.4335129261,450.5814234786563
95,2.6439234916884184E7,1084982.1015892029,887969.9281260967,1096.352146062586
96,2.8944984011503935E7,1180311.5602927208,976528.4545874596,1132.8740183631578
97,2.625128779775715E7,1072816.997108698,888434.9070866108,1028.8788959317735
98,2.8052627420575857E7,1148065.5139107704,988126.679428339,890.542334634728
99,2.6226205060876608E7,1075738.116634369,984087.3292098045,509.556068596575
100,2.621251972170806E7,1076050.714722395,902132.667445898,968.6477023945915
