Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,6
Role 2,9
Role 5,57

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,51666.78143017466,1439.3123672008514,96318.7647652626,6355014.115911484,49887.834836240705,0.0,95063.46896386147,6136203.684857607,1211326.8292682928,3660.0,2248020.0,1.489932E8,9.883036632966434,0.06962502664989895,67.69280941618814,1215.6135058548714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
Amend Request for Quotation,31569.941368759188,258.1888563632965,95666.10074138641,3693683.140144825,30898.867531540047,0.0,94870.29426503181,3615167.5011901855,735425.1282051282,0.0,2248020.0,8.604474E7,3.7311154485767735,0.0,7.173031698332893,436.5405074834825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117
Analyze Purchase Requisition,390.07861409952613,241.0323612689972,550.2487807273865,94789.10322618484,1.414144520896943,0.0,283.84311413764954,343.63711857795715,10451.604938271605,0.0,158460.0,2539740.0,2.159247053214608,1.339068673716651,2.996426150533888,524.6970339311497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243
Analyze Quotation Comparison Map,28953.124948344626,374.25167536735535,96400.02519750595,3474374.9938013554,27697.849749334655,0.0,94626.57330656052,3323741.9699201584,682963.0,0.0,2244360.0,8.195556E7,6.9737511056109724,2.0602474186155533,11.186495402124192,836.8501326733167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Analyze Request for Quotation,44952.83002591033,145.01424312591553,191933.9273891449,1.0653820716140747E7,43552.188066778304,0.0,191083.36808419228,1.0321868571826458E7,1050989.1139240507,0.0,4564440.0,2.4908442E8,7.7814395900573015,0.0,14.947794057263268,1844.2011828435805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
Approve Purchase Order for payment,25983.0488100489,60.0,185652.4338285923,3117965.857205868,25923.0488100489,0.0,185592.4338285923,3110765.857205868,613133.0,0.0,4434780.0,7.357596E7,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Authorize Supplier's Invoice payment,124967.29753721555,0.0,459387.18855309486,1.4996075704465866E7,124967.29753721555,0.0,459387.18855309486,1.4996075704465866E7,2936990.0,0.0,1.07718E7,3.524388E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Choose best option,20570.204995282493,0.0,90605.68464756012,2468424.599433899,20570.204995282493,0.0,90605.68464756012,2468424.599433899,482688.5,0.0,2244360.0,5.792262E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Order,73299.97530772885,360.2784957885742,190128.7213358879,8795997.036927462,72740.8142417709,0.0,189502.12523460388,8728897.709012508,1715234.0,0.0,4467180.0,2.0582808E8,3.106450366433019,2.0015471988254125,4.321717798709869,372.7740439719623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Requisition,48157.1082314074,1048.9595024585724,97506.32902145386,5778852.9877688885,46312.43852063219,0.0,94901.38219714165,5557492.6224758625,1124419.7988271832,885.8357818126678,2319876.694509506,1.34930375859262E8,10.248165059862316,1.7938561691178216,18.764570772647858,1229.779807183478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Quotation comparison Map,47287.00039727092,2310.7340264320374,207077.86062550545,5674440.04767251,35521.231777385874,0.0,188955.16597914696,4262547.8132863045,1100690.5,3660.0,4841880.0,1.3208286E8,65.36538122158359,12.837411257955763,119.24429700374603,7843.84574659003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Request for Quotation,324.19467181960744,24.853082418441772,1440.5148568153381,38903.36061835289,0.0,0.0,0.0,0.0,9966.5,0.0,158460.0,1195980.0,3.6021630202178616,0.2761453602049086,16.005720631281534,432.2595624261434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Deliver Goods Services,340033.00490185816,22105.317056894302,702477.3865907192,4.080396058822298E7,248185.97439369958,0.0,549871.6060390472,2.9782316927243948E7,7958340.5,507960.0,1.656474E7,9.5500086E8,510.26128060088126,69.36735963424047,976.2250947435697,61231.35367210575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243
Pay Invoice,91462.42588459849,243.42877101898193,461285.8163318634,1.097549110615182E7,90898.4017902255,0.0,460942.9737493992,1.090780821482706E7,2142890.5,0.0,1.092666E7,2.5714686E8,3.1334671909610416,1.3449951966603597,4.9073075506422255,376.016062915325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Purchase Order,1611.9284186661243,60.0,76840.72542214394,193431.41023993492,1551.9284186661243,0.0,76780.72542214394,186231.41023993492,36957.5,0.0,1790520.0,4434900.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Supplier's Invoice,39487.76231946945,128.3838176727295,459853.7732293606,4738531.478336334,39229.34226063291,0.0,459654.7656223774,4707521.0712759495,888089.0,0.0,1.07718E7,1.0657068E8,1.4356669935363302,0.6910824590259128,2.333032496770223,172.28003922435963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Invoice,268178.26409504213,0.0,552835.6807711124,3.2181391691405058E7,268178.26409504213,0.0,552835.6807711124,3.2181391691405058E7,6301973.5,0.0,1.285416E7,7.5623682E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Request for Quotation to Supplier,47295.98977318009,25.842490673065186,189413.76265096664,5675518.7727816105,45883.01442163388,0.0,188653.49546146393,5505961.7305960655,1111162.5,0.0,4478040.0,1.333395E8,7.8498630641456035,0.14356939262813992,12.129614396890004,941.9835676974724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Conditions With Supplier,108820.50046601494,16239.177830696106,225209.5584244728,1.3058460055921793E7,75452.19306167166,0.0,181270.4791932106,9054263.167400599,2546112.5,410700.0,5220180.0,3.055335E8,185.3794855796849,80.65041285223431,292.21635703113344,22245.53826956219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Dispute With Supplier,122314.12065992696,483.0466606616974,459029.4611649513,8561988.446194887,109103.65306660789,0.0,456598.68089318275,7637255.714662552,2856870.0,0.0,1.07682E7,1.999809E8,73.39148662955044,0.8103874882062276,261.2003333502346,5137.404064068531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5446773.409178019,3.688472892559861E7,4.8165237437903166E7
Process Cycle Time excluding out of timetable hours (s),225707.5733962059,1511092.626771432,1978604.0903801918
Process Waiting Time (s),103733.55336594582,1354035.6633203705,1851411.9670565128
Accumulated Process Duration (s),5446773.409178019,3.688472892559861E7,4.8165237437903166E7
Cost,339.20792780849666,874.3428099877633,1699.86907741891


Process Cycle Time (s) distribution
From,To,Count
5446773,9718619,3
9718620,13990466,2
13990467,18262313,5
18262314,22534160,9
22534161,26806007,7
26806008,31077854,18
31077855,35349701,5
35349702,39621548,0
39621549,43893395,0
43893396,48165242,71

Process Waiting Time (s) distribution
From,To,Count
103733,278500,3
278501,453268,4
453269,628036,5
628037,802804,9
802805,977572,8
977573,1152340,16
1152341,1327108,4
1327109,1501876,0
1501877,1676644,15
1676645,1851412,56

Accumulated Process Duration (s) distribution
From,To,Count
5446773,9718619,3
9718620,13990466,2
13990467,18262313,5
18262314,22534160,9
22534161,26806007,7
26806008,31077854,18
31077855,35349701,5
35349702,39621548,0
39621549,43893395,0
43893396,48165242,71

Process Cost distribution
From,To,Count
339,475,5
476,612,24
613,749,21
750,886,19
887,1023,12
1024,1160,15
1161,1297,10
1298,1434,10
1435,1571,3
1572,1708,1

In-timetable Cycle time (s) distribution
From,To,Count
225707,400996,3
400997,576286,2
576287,751576,5
751577,926866,9
926867,1102156,7
1102157,1277446,18
1277447,1452736,5
1452737,1628026,0
1628027,1803316,1
1803317,1978606,70



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,4.816144509038019E7,1978604.0903801918,1851411.9670565128,706.9085143195258
2,2.3094225603099585E7,949278.9134473801,734507.037219286,1194.6644695242246
3,5446773.409178019,225707.5733962059,103733.55336594582,678.5301386528545
4,4.565004766519785E7,1871107.6651978493,1610122.8043601513,1453.7162626716824
5,6896402.02519989,285094.6536962986,131951.84172534943,852.1407301969
6,6070641.0281255245,251443.3701453209,184047.74649858475,375.7044651243421
7,1.4134357459522724E7,580662.8684494495,377130.08613801,1133.4960982865755
8,2.0839269591068983E7,860031.1663331985,760530.3166303635,557.805153588454
9,1.5280746047695637E7,622742.450520277,425990.0780570507,1093.768082873027
10,1.2500528596227407E7,508104.87352108955,347927.5152645111,891.112825759252
11,1.621457105503726E7,659916.676273346,458528.6283609867,1122.3968480759195
12,4.8165237437903166E7,1970767.8633699417,1756672.826673746,1189.8175066537326
13,4.552988014746785E7,1862336.080803156,1705156.573750019,873.4070433908039
14,1.8512673170286894E7,757340.0644452572,642458.3542284966,640.0491106841299
15,2.273650599938798E7,930571.9815831184,730039.3193562031,1116.5429980145561
16,1.1412921357581854E7,465109.2744896412,368144.43935775757,539.4874457279841
17,2.8507183468203783E7,1167531.4623959064,1061019.2901203632,595.0993279298148
18,4.673600078384042E7,1917031.6655015945,1756975.258324623,889.6031002759935
19,3.129798966379118E7,1283084.3733325005,1077934.7224485874,1141.1788208285966
20,2.344122104290223E7,965232.5349473953,735848.866487503,1278.386343369219
21,3.2761150831148386E7,1346350.831148386,1115161.3980243206,1286.4007642176414
22,2.2005316856259584E7,900006.0312380791,626169.1008300781,1522.7203813579347
23,1.6295641288833618E7,666710.6358375549,496323.0790953636,948.7977762911056
24,4.565410674475145E7,1865778.1412210464,1757070.298124075,606.01070672671
25,2.779530012604046E7,1139499.7300448418,933728.5606060028,1146.6546583811441
26,4.780284367216802E7,1959244.8551681042,1790703.8980431557,936.7061351802615
27,4.777171015730715E7,1956647.0389606953,1816271.835296154,782.1909100704723
28,1.966811089979744E7,803395.034424305,665641.0911979675,766.1411029418312
29,4.548146849684954E7,1858899.3458423615,1724137.3382775784,749.3810691767269
30,4.565325220620704E7,1867382.7427158356,1776086.6411073208,507.70299838648896
31,1.5375505033886671E7,626785.8604915142,523736.86026382446,574.8410703566341
32,4.7950245610532045E7,1962433.1233768463,1822070.424164772,781.2933057467143
33,4.784223002285433E7,1959429.6531476974,1761506.240929842,1101.9302263193658
34,1.8592384086949587E7,764924.5909137726,626691.2934355736,770.6208550863797
35,4.75393783277185E7,1948465.8379101753,1758762.5432157516,1054.9371649662655
36,2.8134961389500618E7,1152636.1357586384,1005404.436798811,820.8588049941593
37,4.7840076658282995E7,1960653.3096868992,1699385.0831472874,1452.4716118627125
38,2.233601507652569E7,915829.9517776966,757389.6434781551,881.1326018598344
39,3.0762633015935898E7,1263595.1908402443,1068850.77758646,1083.4308038632073
40,2.5701653959778786E7,1058375.4990463257,815696.4966084957,1349.8262807435456
41,4.65691004345901E7,1907560.4345901012,1769582.339815855,768.7812138014369
42,2.9101368566826105E7,1189663.7140228748,1064914.9330573082,694.4023122178185
43,2.8052861671420336E7,1147387.9174928665,1043123.2455995083,580.7391990118556
44,2.803243062031269E7,1148483.42832613,1058410.7060186863,501.7973980440033
45,4.531533121885204E7,1856627.598240614,1713902.1595163345,793.2822614060509
46,4.5208186539408684E7,1854030.3607959747,1640487.2560856342,1187.7393201549846
47,4.7721342398561E7,1956705.2869069576,1714261.3232028484,1347.702936002943
48,4.477989288058972E7,1840348.0700354576,1609288.4233124256,1286.561963555548
49,3.3101381064967155E7,1356907.6315188408,1148039.0282535553,1161.4364891131715
50,3.0489905472539186E7,1249252.2456040382,1121512.7624042034,711.8511134730445
51,4.767951905178046E7,1947540.240307331,1707406.9168806076,1334.9977988349065
52,4.732022319291234E7,1935169.6799685955,1688355.5891814232,1371.9550274742974
53,3.063814000698328E7,1250794.710602522,1190172.2076554298,339.20792780849666
54,3.063333593506956E7,1250048.2713298798,1180083.332885027,391.9567630277739
55,4.5249318410149336E7,1850314.0872125626,1721343.342776537,718.5446407145926
56,4.4697167192662954E7,1833646.2131180763,1708754.715564251,694.1922687305345
57,4.520252925510335E7,1848839.6759579182,1760619.5942742825,491.20766196383363
58,4.724349138254547E7,1934515.6905014515,1726444.971834898,1156.8382507191766
59,4.465484806172228E7,1832409.6391661167,1698272.368228674,746.5444156659975
60,2.154415853214121E7,884299.331094265,740101.4762010574,801.5346064872213
61,2.6276052733963966E7,1078897.7989087105,845146.2090542316,1299.0608619133632
62,4.717834868836379E7,1936057.8245921135,1732100.3663477898,1137.969182415803
63,4.6038837315834045E7,1888009.932837963,1653449.3672907352,1304.5911113752259
64,2.1376136323896885E7,870911.3913836479,760676.5055925846,613.0016714347732
65,4.655715834574056E7,1906889.6928753853,1673670.4773359299,1298.2446962568492
66,2.6204012519465923E7,1070657.5289680958,918070.1351208687,849.8224203414388
67,4.5127118184583664E7,1845399.3096289635,1752195.504314661,518.2626317116949
68,4.494322282321811E7,1839575.3818175793,1765381.7054214478,413.47886940373314
69,4.468196895254636E7,1827655.0518198013,1728950.9961519241,549.5242950863309
70,3.2569756297786713E7,1331602.942654848,1241585.0303983688,501.1004400875833
71,4.706598636622739E7,1923611.6373164654,1779245.491323471,806.5360630141365
72,2.719737874335122E7,1112703.0544977188,948963.7453415394,911.4906291776234
73,4.473220122384858E7,1831129.468687296,1766979.3752672672,359.80700776444536
74,4.566008373075938E7,1867078.1091337204,1744744.6084947586,687.6334194209842
75,2.7661544121199846E7,1130493.1375398636,954101.2280247211,980.2376836313142
76,4.704718895922327E7,1926139.7648346424,1733216.1612987518,1075.2366170141433
77,2.2002001936692953E7,902644.3217213154,804457.2135283947,550.0847542087238
78,4.69593603995657E7,1922458.3514170647,1789172.4209210873,741.2702611578836
79,2.6031365909377098E7,1067849.8972375393,908596.634914875,884.8784189171263
80,4.692222293406892E7,1922746.7100663185,1777501.568702221,810.6121568904985
81,2.7554472435954332E7,1129178.0952425003,994412.24603796,749.399946056472
82,4.4586709640578985E7,1829939.3337328434,1733378.6054122448,538.8418602453338
83,2.7531611778918505E7,1128227.4640653133,996332.0722112656,733.9034568521712
84,4.574919537133765E7,1876936.7789344788,1745556.2228598595,730.472237622738
85,4.574357815825701E7,1876564.0682814121,1754323.3558459282,681.0301381495265
86,4.486657815678191E7,1837470.5439333916,1663608.875620842,967.0282213515707
87,4.711113179240465E7,1932252.1812365055,1773002.426229477,890.7230085518626
88,4.4418781556485415E7,1822711.6080093384,1737236.2919704914,478.94130230214853
89,4.466893867374039E7,1831903.273725748,1672028.3356370926,889.6842352072398
90,4.6868609932753086E7,1925168.274976492,1669513.1437437534,1421.284014851517
91,4.704801582722974E7,1926906.3637962341,1812707.828732729,635.0929110182657
92,2.7407850564697266E7,1122221.4673223495,1027963.5518665314,526.6431655844053
93,4.6755191232467175E7,1917845.6234471798,1790733.3543026447,707.176995335685
94,4.437533698336887E7,1821237.1114320755,1680525.6840436459,783.5618213441638
95,4.618780955664039E7,1896673.2089078426,1687487.470625639,1164.0282680577702
96,4.709314779906535E7,1927307.7990653515,1710433.005745411,1205.525663423538
97,4.4393950398305416E7,1817233.7916550636,1635282.7241547108,1012.2016840034062
98,4.6969865390820265E7,1919087.6103153229,1803960.7468891144,640.6447149939007
99,4.681191040507269E7,1917344.458659172,1817229.4318368435,556.999293821388
100,4.674600053239751E7,1912726.06305027,1714151.961486578,1105.0626161641546
101,4.671456128601313E7,1915118.7618296146,1669480.9043745995,1365.0483611490993
102,4.457651180164671E7,1825803.7942140102,1588775.0757906437,1320.862956445747
103,4.668910864960766E7,1915908.0959203243,1711222.186166048,1138.6535631020863
104,4.601784182001853E7,1888619.024734974,1769447.5701503754,663.7345905688074
105,4.661587956374836E7,1911079.5637483597,1802589.6736958027,603.1503604451816
106,2.987799825207305E7,1223459.5305912495,1066253.6475970745,873.9316530148188
107,2.9874167651700735E7,1221461.795318842,1083631.8450424671,770.9553452359306
108,4.420032184742379E7,1810757.6711599827,1639276.2449541092,953.1547616389063
109,4.6505407283599615E7,1902127.45445323,1678018.7908258438,1245.8090885877607
110,2.9776134086097956E7,1217253.4874136448,1091177.8848040104,702.2975399785572
111,4.6695154627249E7,1911320.8804240227,1741612.2281370163,944.1106560309728
