Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,39
Role 2,60
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1778.834256105865,32.597285747528076,7440.206958293915,268603.9726719856,0.0,0.0,0.0,0.0,37939.470198675495,0.0,302580.0,5728860.0,9.882412533921478,0.18109603193071153,41.33448310163286,1492.2442926221431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151
Amend Request for Quotation,635.8280594237367,104.23657417297363,1112.9375584125519,108726.59816145897,0.0,0.0,0.0,0.0,14264.561403508771,0.0,158460.0,2439240.0,3.5323781079096492,0.5790920787387424,6.182986435625288,604.03665645255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
Analyze Purchase Requisition,392.4524365408808,241.78116917610168,539.8544883728027,137750.80522584915,0.0,0.0,0.0,0.0,6723.418803418804,0.0,158460.0,2359920.0,2.1802913141160043,1.3432287176450093,2.9991916020711265,765.2822512547175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
Analyze Quotation Comparison Map,1258.3890764594078,360.4572970867157,2028.9634428024292,251677.81529188156,0.0,0.0,0.0,0.0,31288.8,0.0,158460.0,6257760.0,6.991050424774489,2.0025405393706426,11.272019126680162,1398.2100849548979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Request for Quotation,77938.58576782374,327.6897692680359,326678.5070421696,2.8915215319862604E7,76526.65499563038,0.0,325635.3119971752,2.8391389003378868E7,1820195.25606469,0.0,7698720.0,6.7529244E8,7.84718750157232,0.0,15.270964431762696,2911.3065630833307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371
Approve Purchase Order for payment,80241.52800518513,60.0,324310.7487475872,1.6048305601037025E7,80181.52800518513,0.0,324250.7487475872,1.6036305601037025E7,1878922.2,0.0,7612320.0,3.7578444E8,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Authorize Supplier's Invoice payment,6866.313677757978,0.0,29843.458919525146,1373262.7355515957,6866.313677757978,0.0,29843.458919525146,1373262.7355515957,161665.2,0.0,781740.0,3.233304E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Order,175213.19871728064,415.1354229450226,336334.28082180023,3.5042639743456125E7,174647.51184437633,0.0,335965.68208646774,3.4929502368875265E7,4097374.2,0.0,7886100.0,8.1947484E8,3.142704849468336,2.0107695990138583,4.302000436517927,628.5409698936671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Requisition,1838.416996304989,303.4769341945648,3395.6291806697845,367683.3992609978,0.0,0.0,0.0,0.0,56658.57259572744,0.0,158460.0,1.1331714519145489E7,10.21342775724994,1.6859829677475824,18.86460655927658,2042.685551449988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Quotation comparison Map,167999.1176118088,6666.71542596817,336770.4956269264,3.3599823522361755E7,155634.4124057889,0.0,328123.1932475567,3.112688248115778E7,3934569.0,75720.0,7871700.0,7.869138E8,68.69280670011045,12.746732142236498,120.46127803458108,13738.561340022092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Request for Quotation,311.032979221344,8.333575010299683,1330.288940668106,62206.5958442688,0.0,0.0,0.0,0.0,6035.1,0.0,158460.0,1207020.0,3.455921991348268,0.09259527789221869,14.780988229645622,691.1843982696536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Deliver Goods Services,429401.4087697315,12303.283530950546,1073926.242156744,8.58802817539463E7,336016.7835766828,0.0,944271.510714531,6.720335671533656E7,1.0055112E7,252180.0,2.519298E7,2.0110224E9,518.8034732947153,68.35157517194747,980.7485535356734,103760.69465894306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
Pay Invoice,5222.4790891551975,240.57048416137695,30399.14017701149,1044495.8178310394,4658.397570793629,0.0,29669.485642671585,931679.5141587257,122039.7,0.0,781740.0,2.440794E7,3.1337862131198255,1.3365026897854275,4.9687588877148094,626.7572426239651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Purchase Order,60.0,60.0,60.0,12000.0,0.0,0.0,0.0,0.0,2575.8,0.0,158460.0,515160.0,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Supplier's Invoice,780.8164832460881,121.81966805458069,13377.743232488632,156163.2966492176,516.9803657782078,0.0,13009.794687509537,103396.07315564156,5405.4,0.0,255840.0,1081080.0,1.46575620815489,0.671639879544576,2.33014511929618,293.151241630978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Invoice,391269.6151564062,0.0,947171.1747734547,7.825392303128123E7,391269.6151564062,0.0,947171.1747734547,7.825392303128123E7,9143583.0,0.0,2.229288E7,1.8287166E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Request for Quotation to Supplier,118507.24906587243,967.5948529243469,334967.0136241913,2.3701449813174486E7,117119.38168712854,0.0,333882.6305911541,2.342387633742571E7,2775051.6,0.0,7842840.0,5.5501032E8,7.710374326354928,0.4584919081793891,14.411604424317678,1542.0748652709856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Conditions With Supplier,221828.33700902225,27823.034117937088,377734.84673190117,4.436566740180445E7,189358.5230965185,11.647919178009033,335431.4736583233,3.78717046193037E7,5194474.2,652080.0,8869620.0,1.03889484E9,180.3878550694652,79.3721018658744,292.780072095659,36077.57101389304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Dispute With Supplier,18595.394663955653,616.021311044693,64757.11374306679,1896730.2557234764,6589.162383825172,0.0,30041.5354616642,672094.5631501675,459880.0,0.0,1664340.0,4.690776E7,66.70129044516932,0.37520969046486746,359.7617430170377,6803.531625407271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6726832.500960588,4.2885828909991376E7,5.654621160301161E7
Process Cycle Time excluding out of timetable hours (s),277270.2439818382,1757433.0373956787,2318821.1583104134
Process Waiting Time (s),186235.3380036354,1601586.8652190613,2124337.2069847584
Accumulated Process Duration (s),6726832.500960588,4.2885828909991376E7,5.654621160301161E7
Cost,299.31531607309984,867.5458304455284,1416.1157524453265


Process Cycle Time (s) distribution
From,To,Count
6726832,11708769,13
11708770,16690707,7
16690708,21672645,12
21672646,26654583,4
26654584,31636521,7
31636522,36618459,11
36618460,41600397,11
41600398,46582335,13
46582336,51564273,12
51564274,56546211,110

Process Waiting Time (s) distribution
From,To,Count
186235,380045,14
380046,573856,9
573857,767667,7
767668,961478,6
961479,1155289,7
1155290,1349100,11
1349101,1542911,12
1542912,1736722,10
1736723,1930533,22
1930534,2124344,102

Accumulated Process Duration (s) distribution
From,To,Count
6726832,11708769,13
11708770,16690707,7
16690708,21672645,12
21672646,26654583,4
26654584,31636521,7
31636522,36618459,11
36618460,41600397,11
41600398,46582335,13
46582336,51564273,12
51564274,56546211,110

Process Cost distribution
From,To,Count
299,410,6
411,522,21
523,634,26
635,746,19
747,858,26
859,970,23
971,1082,22
1083,1194,30
1195,1306,20
1307,1418,7

In-timetable Cycle time (s) distribution
From,To,Count
277270,481425,13
481426,685581,7
685582,889737,12
889738,1093893,4
1093894,1298049,7
1298050,1502205,11
1502206,1706361,11
1706362,1910517,13
1910518,2114673,13
2114674,2318829,109



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9451532.895914316,389971.8959143162,218354.4138419628,954.5486911959119
2,1.4014357107363462E7,578832.5731546879,465454.2318069935,632.0182301799457
3,1.0968508005425453E7,450707.46389245987,240413.95883655548,1169.795992408858
4,1.5195223343254805E7,624091.1958606243,551688.4109022617,404.49653514093814
5,1.155222118238306E7,475207.8157374859,267294.16240620613,1156.5580662806829
6,8430568.981186152,343484.64527869225,186235.3380036354,876.740025622315
7,1.0131679170348167E7,415824.1547756195,336657.5758795738,441.794668243991
8,1.0219657493788004E7,420477.8660378456,230247.66845560074,1059.4401081111694
9,7784524.67352581,316324.67352581024,196026.01245379448,669.1881994750765
10,1.4771449669465542E7,605087.9067306519,375154.89492607117,1279.5803190377019
11,2.0532519113297224E7,835839.228199482,729096.3433845043,594.4122644186021
12,1.0409192287865162E7,424724.4659895897,279343.75102996826,808.8385798652968
13,1.1358903801524878E7,462600.34504294395,319758.08786535263,795.348914648427
14,1.1589281016041517E7,472737.7437582016,362009.9357762337,615.834173749553
15,1.7460603654612303E7,716380.4186937809,497487.6349732876,1217.7201743933888
16,1.705169361154723E7,699781.9993565083,512381.94011712074,1042.9714946905772
17,2.5817729736902E7,1056983.4631824493,839572.3147547245,1209.555716617902
18,1.0369492922245502E7,425771.814763546,266470.5736823082,887.4339818543858
19,6726832.500960588,277270.2439818382,215520.93113660812,343.9539511269993
20,5.454515208008909E7,2237529.506422043,2022431.17917037,1197.3853926367228
21,7962102.850521088,328122.85052108765,235007.34689831734,517.6189045018618
22,1.494433855898261E7,614663.6984684467,524627.1101295948,503.75884044170374
23,5.466234367558694E7,2238257.170509577,2034502.5180559158,1135.5756587889457
24,1.5727996970782042E7,644457.7746753693,440798.6660437584,1134.4501962463062
25,1.8793166165092945E7,769537.2381060123,524934.663951397,1360.0943223661845
26,1.8333850571394682E7,749421.5473542213,579115.2207787037,949.4101713193788
27,1.4086058129857302E7,575736.9989066124,484947.98588585854,506.1335914836989
28,3.3267516875234365E7,1365392.871870041,1217913.6558008194,819.7356067564755
29,3.8036496313825846E7,1555131.2172484398,1347714.3852062225,1153.211969482899
30,3.021383089988184E7,1236246.164639473,1047443.8014388084,1050.1991421593564
31,5.455071319925451E7,2231442.839128971,1985649.0404362679,1365.9628954807918
32,2.0454397058413744E7,835570.4965546131,676180.6311790943,887.2167488892874
33,2.165040033096671E7,885570.0977978706,660478.130081892,1254.2053976125185
34,1.9824090431423664E7,813347.5862848759,700086.5869750977,636.6182680580353
35,5.449350641372228E7,2230288.980429888,2073331.192145586,875.0390083154043
36,1.4958226844965935E7,615617.1654493809,520067.89846611023,532.360501809915
37,1.917705463120985E7,788256.7929141521,652310.3741822243,755.7664253910383
38,4.918573091094804E7,2015312.9906158447,1809534.745351553,1143.6233627465035
39,2.3174111333318233E7,954954.7500252724,771230.1923770905,1022.9830661641229
40,5.426796349539971E7,2226099.9312324524,2105949.1649005413,669.8779803819128
41,2.1322589712233305E7,871643.3794298172,810194.0040099621,344.0459137121837
42,2.8131529598296404E7,1152307.0835886002,997056.8253879547,863.855462814702
43,1.8487554595974207E7,759370.5678274632,684912.5566215515,416.9520488884713
44,2.128152200370121E7,872639.4971017838,804523.074719429,380.21206021573806
45,3.881528569915676E7,1596186.748038292,1478113.1268718243,656.9398527026177
46,5.654621160301161E7,2318821.1583104134,2108741.342476845,1169.343834276994
47,2.8927068149929762E7,1185690.42655015,1014437.0577259064,952.2111967457668
48,3.9797803787837744E7,1630007.385008335,1536702.8534047604,520.915299990442
49,2.6056607067511797E7,1070323.9418330193,908894.9390990734,899.1500117116506
50,2.846168445968747E7,1169267.5707426071,997545.9336693287,954.9416809969479
51,5.41136661975894E7,2222192.3809206486,2095918.7884061337,703.2506101224159
52,2.6013525054811954E7,1069005.0548119545,928046.9061427116,786.0212169064416
53,3.1605997841509104E7,1289890.590933323,1183625.8454744816,590.7171987268661
54,3.643137917755628E7,1489031.1754796505,1273384.5445871353,1199.571909488572
55,3.218413980877185E7,1315925.909309864,1112258.6755297184,1132.498105957773
56,2.8976051674365997E7,1184071.1328237057,1069113.8691515923,639.7887119637597
57,3.1987162431053877E7,1309138.7013058662,1227191.804951191,456.47241726848813
58,4.665748291980052E7,1910877.0830981731,1706810.8416836262,1135.8116007791625
59,4.668994733737087E7,1913962.7414011955,1809639.1880247593,580.6800010429487
60,3.618605950754452E7,1486111.1410090923,1339784.203754425,814.9997925983536
61,2.907436307377553E7,1190199.6539521217,1050847.9712314606,776.4061264329487
62,3.1924303238939047E7,1312454.0212728977,1184407.2594356537,712.2804672492875
63,3.364199276872945E7,1379809.9666700363,1267756.9246013165,623.1655946678587
64,3.231672113768816E7,1325773.82980752,1161409.693551302,913.772058166398
65,3.610843188122058E7,1478489.2790846825,1292570.3686597347,1035.062925725513
66,5.40599469430058E7,2212767.6022121906,2074180.5755300522,770.5305602484281
67,5.389030886825824E7,2211963.480599642,1979920.051734209,1289.5986212611197
68,5.171423730190182E7,2114281.8505330086,2024339.865909338,502.757889023092
69,5.402114715134764E7,2212341.763758421,1961480.1167190075,1394.8428938852414
70,3.724729477429485E7,1523733.1893444061,1306136.8081343174,1210.3803905208904
71,5.3832495199911594E7,2206552.422323942,2106856.4578533173,555.9538704713186
72,4.3798092881587505E7,1790856.731067896,1556203.6621239185,1305.1651785188249
73,5.396273403588414E7,2206344.325087309,2113433.5271651745,518.4529448111851
74,5.373598106459069E7,2198933.845606804,1973905.3867561817,1251.5912682096161
75,3.8603011661913395E7,1580428.6112561226,1439790.3717272282,781.6500792688795
76,3.6121517080613375E7,1476274.9349741936,1383626.6597132683,519.4189812911882
77,5.369673637448239E7,2201633.0296895504,2081755.963837862,667.6213163693747
78,5.389248435519767E7,2206000.674778223,2108822.38687706,543.2267794079249
79,3.7338979264912605E7,1532326.7876298428,1426884.9335813522,587.4990097310808
80,5.365286528861761E7,2199663.500141144,2002501.2592015266,1095.6758560286626
81,5.369503773079157E7,2205233.622124672,2071201.1998569965,745.547232594755
82,3.587067976432848E7,1471309.2184185982,1387146.3735501766,468.2181132700708
83,4.112330172532654E7,1683490.136195898,1529373.4397976398,857.7917523079449
84,5.3596837699890375E7,2195895.5807414055,2046271.1548359394,834.042027563519
85,4.3616752211856365E7,1787550.0808348656,1579997.1932675838,1153.768465665976
86,5.3623688421525E7,2200273.9771642685,2034638.8377907276,922.8996589038107
87,5.360793560813689E7,2198490.1831793785,2092021.7819628716,592.907839650578
88,4.063024567959881E7,1667397.84786582,1527754.1453528404,776.5998038940961
89,4.2639804365923405E7,1749185.7169687748,1539463.3267929554,1167.5765444411168
90,4.475452182567096E7,1833041.8256709576,1591152.6934120655,1348.206173063649
91,5.355270769409275E7,2195743.9237964153,2043956.2196371555,845.9592777172726
92,5.353992105042958E7,2196909.4194881916,2092971.7746827602,583.2023950629765
93,5.368424684035492E7,2200407.2088832855,2073345.573621273,708.9044428692924
94,5.351125704085398E7,2196334.6944663525,2105945.654045105,506.0920949512057
95,5.344423171590495E7,2193739.1388151646,2004750.2925121784,1050.5703094853295
96,4.4962406814015865E7,1839206.8140158653,1610810.7743062973,1268.975453135702
97,4.9133960155405045E7,2007842.7993028164,1810935.1178326607,1094.3056285275356
98,4.549333683340621E7,1861313.4669275284,1737736.831221819,687.129907491472
99,4.108133145659399E7,1681924.4474320412,1536059.828413725,810.9607301023273
100,3.8641410317285776E7,1579717.4248230457,1493626.2713298798,480.1997299008899
101,5.3413266156573534E7,2189221.9174346924,2099372.7203953266,500.991623310248
102,4.458663383799553E7,1824760.9670114517,1681824.7630999088,795.6875491539638
103,4.023761910962963E7,1647180.945688486,1536486.9505603313,616.7468483805658
104,4.4849849408696175E7,1838653.8034205437,1643387.4406585693,1085.7729703995917
105,5.351461793954086E7,2191838.291401863,1972822.7808964252,1217.8046464125314
106,5.3289979301663876E7,2186489.583301544,2004065.3833601475,1016.6259020977551
107,5.32771792698133E7,2187642.203668356,2124337.2069847584,354.9929327421718
108,5.3316455527704E7,2186991.016547203,2097503.5374848843,498.8555762198236
