Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,55
Role 2,80
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1523.0607731265407,0.6900341510772705,9291.892523050308,236074.4198346138,0.0,0.0,0.0,0.0,32775.48387096774,0.0,158460.0,5080200.0,8.46144873959189,0.003833523061540392,51.62162512805727,1311.524554636743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155
Amend Request for Quotation,593.029634830114,0.0,1137.3205811977386,87768.38595485687,0.0,0.0,0.0,0.0,18401.756756756757,0.0,158460.0,2723460.0,3.294609082389521,0.0,6.318447673320771,487.6021441936491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148
Analyze Purchase Requisition,391.2773172104945,240.35095739364624,539.8429281711578,119339.58174920082,0.0,0.0,0.0,0.0,6190.0327868852455,0.0,158460.0,1887960.0,2.1737628733916363,1.335283096631368,2.9991273787286548,662.997676384449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305
Analyze Quotation Comparison Map,1177.2692336130142,372.06947231292725,2023.0951657295227,176590.38504195213,0.0,0.0,0.0,0.0,27428.4,0.0,158460.0,4114260.0,6.540384631183413,2.067052623960707,11.239417587386237,981.0576946775119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,62420.74880189304,466.7794756889343,242431.3373606205,1.8601383142964125E7,61023.58913575483,0.0,240611.50674438477,1.818502956245494E7,1458962.4161073826,0.0,5749740.0,4.347708E8,7.766344285664677,0.0,15.341783112949795,2314.3705971280738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
Approve Purchase Order for payment,55086.70483650367,60.0,239824.8287870884,8263005.72547555,55026.70483650367,0.0,239764.8287870884,8254005.72547555,1286926.0,0.0,5594880.0,1.930389E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,2242.66195485274,0.0,12525.38561964035,336399.293227911,2242.66195485274,0.0,12525.38561964035,336399.293227911,60806.0,0.0,327840.0,9120900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,124324.52600914001,380.68860387802124,246008.10719037056,1.8648678901371002E7,123748.97346113682,0.0,245357.2027411461,1.8562346019170523E7,2907065.6,0.0,5800200.0,4.3605984E8,3.197514155573314,2.0126731197039285,4.320974814891815,479.6271233359971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1884.5123736874264,317.57515478134155,3419.4911658763885,282676.85605311394,0.0,0.0,0.0,0.0,57900.52484761238,0.0,157209.15014457703,8685078.727141857,10.469513187152367,1.7643064154518975,18.997173143757713,1570.426978072855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,124279.8945273908,3077.0578298568726,257105.8878853321,1.864198417910862E7,111644.3125131162,0.0,245417.06129336357,1.674664687696743E7,2908194.0,158460.0,6102780.0,4.362291E8,70.1976778570811,13.179972211519877,121.10371175871956,10529.651678562166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,296.4731936597824,16.589295148849487,1587.0836470127106,44470.97904896736,0.0,0.0,0.0,0.0,4996.8,0.0,158460.0,749520.0,3.2941465962198047,0.1843255016538832,17.634262744585673,494.1219894329707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,309439.6650805076,15742.84520816803,759103.1668429375,4.641594976207614E7,220149.66215945402,0.0,592387.4033920765,3.3022449323918104E7,7246212.4,378300.0,1.77753E7,1.08693186E9,496.05557178363097,75.46393429438272,981.1724800864855,74408.33576754465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305
Pay Invoice,3357.0044239902495,247.94227743148804,13015.667609214783,503550.66359853745,2782.788246919314,0.0,12339.132851600647,417418.2370378971,87854.0,0.0,331440.0,1.31781E7,3.1900898726163094,1.3520714031325447,4.927466650803884,478.5134808924464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,672.8,0.0,50460.0,100920.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,552.7712631893158,121.63060164451599,3183.0608727931976,82915.68947839737,281.5485846630732,0.0,2908.2235865592957,42232.28769946098,3842.8,0.0,158460.0,576420.0,1.5067926584791265,0.6757255646917555,2.3302955786387125,226.01889877186898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,261920.76692884444,0.0,601431.4028270245,3.928811503932667E7,261920.76692884444,0.0,601431.4028270245,3.928811503932667E7,6112007.2,0.0,1.40142E7,9.1680108E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,86236.34036049366,940.8638610839844,243027.55512309074,1.2935451054074049E7,84881.74890820344,0.0,242009.44607424736,1.2732262336230516E7,2019957.2,0.0,5749740.0,3.0299358E8,7.525508068278985,1.3622185097800361,13.752883133623335,1128.8262102418478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,170028.48342297235,20395.695370435715,287783.4911687374,2.5504272513445854E7,136858.1203332138,0.0,245857.0586218834,2.052871804998207E7,3976058.8,421560.0,6754920.0,5.9640882E8,184.27979494310307,79.56028060118358,290.76711837450665,27641.96924146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,12376.469831780212,22.306285619735718,39227.91190862656,903482.2977199554,2017.6667532234976,0.0,12658.640827417374,147289.67298531532,317313.69863013696,0.0,907860.0,2.31639E7,57.548905991981734,0.12392380899853177,216.8262333896425,4201.0701374146665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6751107.214039803,3.1091305190417677E7,4.0398620247504234E7
Process Cycle Time excluding out of timetable hours (s),279470.7757997513,1273873.865570065,1658991.4982237816
Process Waiting Time (s),129257.73906993866,1121752.7494965093,1483915.028805256
Accumulated Process Duration (s),6751107.214039803,3.1091305383977935E7,4.0398620247504234E7
Cost,312.6996858239174,846.7740944850361,1433.631367895338


Process Cycle Time (s) distribution
From,To,Count
6751107,10115858,8
10115859,13480610,8
13480611,16845362,4
16845363,20210114,7
20210115,23574866,4
23574867,26939618,9
26939619,30304370,6
30304371,33669122,11
33669123,37033874,20
37033875,40398626,73

Process Waiting Time (s) distribution
From,To,Count
129257,264722,6
264723,400188,8
400189,535654,7
535655,671120,6
671121,806586,5
806587,942052,8
942053,1077518,3
1077519,1212984,13
1212985,1348450,28
1348451,1483916,66

Accumulated Process Duration (s) distribution
From,To,Count
6751107,10115858,8
10115859,13480610,8
13480611,16845362,4
16845363,20210114,7
20210115,23574866,4
23574867,26939618,9
26939619,30304370,6
30304371,33669122,11
33669123,37033874,20
37033875,40398626,73

Process Cost distribution
From,To,Count
312,424,5
425,537,17
538,650,25
651,763,14
764,876,22
877,989,20
990,1102,14
1103,1215,15
1216,1328,14
1329,1441,4

In-timetable Cycle time (s) distribution
From,To,Count
279470,417422,8
417423,555375,8
555376,693328,4
693329,831281,7
831282,969234,5
969235,1107187,8
1107188,1245140,6
1245141,1383093,11
1383094,1521046,27
1521047,1658999,66



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7192028.7380280495,295687.73802804947,129257.73906993866,928.1937504980301
2,6751107.214039803,279470.7757997513,160094.62087202072,663.4560107800697
3,7868117.314517975,322531.8798725605,187268.4697341919,753.9330248329376
4,1.0565262752727985E7,432653.1647503376,315681.84446430206,652.6624930421513
5,1.2150109774310112E7,496815.51488542557,308353.1468009949,1048.3273736847773
6,1.455547628577137E7,596111.6520957947,369814.24246382713,1258.0336484670636
7,6950686.244753361,289731.2223894596,183567.7981672287,590.977989815341
8,7883336.566399813,328497.7676692009,171598.72685432434,871.7535006112524
9,9598697.00086236,390437.00086236,290870.4415316582,555.1475632323161
10,1.995094853063917E7,816605.3956563473,643812.7339015007,961.3242116689682
11,1.1989513957946539E7,485168.8300087452,344658.17819309235,781.2256087144216
12,9556668.370305777,386415.8410437107,273539.05469965935,628.55525046587
13,7024779.477549791,285906.70955753326,175783.59148311615,612.5815786997478
14,1.2023637943369865E7,489272.10635757446,324756.9567434788,915.0663685758909
15,3.88368740335989E7,1590212.7261533737,1352105.1729846,1324.1910084671442
16,1.2164939363402605E7,496462.68031334877,410300.02229976654,478.98685157299036
17,2.606068977570319E7,1065745.6558506489,844330.4539411068,1231.173853450351
18,1.6472288666708231E7,677931.8276736736,471715.6412513256,1146.8909276432462
19,1.1275479196936846E7,463181.3594441414,316824.44602155685,813.3612588869202
20,1.5181803524662733E7,625891.4806537628,427448.1200144291,1103.4222695059245
21,2.358583481839347E7,965054.8183934689,765503.4817838669,1108.8723045415345
22,1.433161923547554E7,585589.9563748837,422227.9256019592,909.0375082890192
23,3.8725483874988556E7,1587295.0583908558,1443917.0743038654,797.1886515193517
24,1.7251566184409857E7,705577.397308588,447580.62044882774,1433.631367895338
25,2.941079898592925E7,1202837.6001975536,991186.4509966373,1178.2579539391727
26,2.1749521778999567E7,890511.0032541752,692975.9873988628,1097.6361358841264
27,1.1848840992569685E7,485881.6848766804,406639.7813951969,442.4609197192721
28,1.3309805948126316E7,548687.6473653316,444972.2167031765,576.8223351359368
29,1.9891622989941597E7,811235.6507706642,661230.312877655,835.561566163434
30,1.784847090387249E7,727553.7438271046,568512.4859924316,883.6612385325963
31,2.405168087645507E7,982379.5862030983,872651.0361890793,613.7986440711552
32,2.144768944858432E7,874648.4491729736,806212.5859606266,383.0625965171389
33,2.3255937069667578E7,953199.7814638615,781671.3433282375,954.0141616847782
34,1.740275806625843E7,712497.0264256,569876.8211159706,794.0859427028233
35,2.624570748379302E7,1074505.9159839153,854955.3636205196,1220.1091469751464
36,1.8194531799903393E7,746763.8826479912,613930.3150286674,740.3674584852325
37,4.0398620247504234E7,1658991.4982237816,1411817.9750339985,1374.247134440475
38,3.105052999810958E7,1277350.3695502281,1177666.4442543983,554.237990102503
39,2.3939640667146683E7,982332.3654036522,905745.6405806541,426.7071892990006
40,2.3157434032726288E7,949073.3150689602,795260.4153213501,856.114817888207
41,3.84734345807848E7,1576958.6850531101,1483915.028805256,519.3125503023465
42,3.825068670623016E7,1569974.6788458824,1429421.8268253803,782.8550891624558
43,3.2187178347146273E7,1320679.1767561436,1129720.9239270687,1063.6953570697042
44,3.717403861851239E7,1522935.4413061142,1425234.2501921654,545.7146210392316
45,1.9063310089387417E7,783590.644005537,644257.2291150093,775.2191757427322
46,3.8401620218037605E7,1575316.9632081985,1375180.4575788975,1113.9281477027469
47,3.1737278568974495E7,1301589.5861253738,1222287.6224648952,442.1315431555112
48,2.3913259246680975E7,981375.7312016487,842025.9975042343,779.0211984144318
49,2.379926996215701E7,975063.2046666145,826118.2999668121,831.2810966650645
50,3.830140613006258E7,1570619.6048293114,1370741.2162115574,1112.2956912530794
51,2.602178862142682E7,1067563.1428084373,858625.1094462872,1163.7237616989346
52,3.1721017939330816E7,1304137.9393308163,1100216.6016376019,1134.09031459358
53,3.825833441451907E7,1562468.8394417763,1444776.7560405731,655.3647562689252
54,2.9433464368153572E7,1203191.5076966286,1052070.5515215397,842.0388952785067
55,3.8062489597932816E7,1556600.3466398716,1471980.111089468,470.80681491560404
56,3.805344569824672E7,1557915.1993472576,1375199.1039102077,1018.0971401135129
57,3.078388991426015E7,1262663.4049005508,1081122.2698893547,1008.8379230870141
58,3.0082822759262085E7,1231433.417911768,1073721.0401997566,876.6054358084997
59,3.8011801379119396E7,1558478.3912518024,1385802.1584398746,959.7158322691918
60,3.799823849560857E7,1558958.0845150948,1341964.1113479137,1206.0615284654828
61,3.797904550623155E7,1557419.9655060768,1414255.59117198,796.6339173078537
62,2.586807607510829E7,1060889.4388270378,922831.8673968315,767.6927041583591
63,3.811697167427182E7,1561267.766194582,1477602.872802496,465.31324631240625
64,3.1107275038399458E7,1277289.3701877594,1100162.1836662292,985.5704322192405
65,2.841475333360505E7,1163824.3774974346,1082496.8656654358,453.4823922024833
66,3.812348892767906E7,1563010.3388209343,1344720.540133953,1213.306752045949
67,3.332403352877736E7,1367278.1792724133,1122249.3190083504,1362.7578926987117
68,3.089171081922865E7,1265494.9914560318,1124141.4772546291,786.3527321722773
69,3.8036012034585E7,1557246.388099432,1347109.0074501038,1170.9851912485228
70,3.8067512440167665E7,1559506.8085374832,1386014.7898414135,966.7956164571975
71,3.805208486306596E7,1558052.9695940018,1412049.471587658,815.2325265659227
72,3.920115663019085E7,1600776.8576185703,1362449.2016055584,1326.2253902302848
73,3.2289573149174213E7,1317600.6778445244,1132149.6045796871,1030.577206485801
74,2.811900647939515E7,1149166.3347783089,1093509.4555122852,312.6996858239174
75,3.778834062762642E7,1548511.4125480652,1466959.3212618828,455.1218672447734
76,2.8090888757078648E7,1149008.5768091679,1083233.603421688,366.02535961866374
77,3.776164031770015E7,1549747.5945477486,1464663.2034857273,473.1523246765136
78,3.1905823581029177E7,1306384.417068243,1139597.8527257442,927.5271225942508
79,3.7941682967187405E7,1555962.387936592,1463333.6160078049,516.3659076690673
80,3.788133038387823E7,1552892.7331397533,1466207.5239098072,482.62806239260567
81,3.433861266379428E7,1410608.3865418434,1241056.8698592186,944.4802565283247
82,3.674300243306279E7,1508917.4301772118,1278878.5539791584,1278.6918500357203
83,3.4310953123690605E7,1407436.239860773,1223617.0537781715,1022.1120117677583
84,3.886414029036188E7,1590344.5190691948,1372787.7880313396,1210.2724916550849
85,3.2121511453293562E7,1313928.9368109703,1205003.9387164116,605.4384598387612
86,3.779760705822086E7,1549692.9136264324,1394694.3388483524,861.442922490173
87,3.778407652352691E7,1550184.763537407,1451064.1705155373,553.7088235139848
88,3.50053693707726E7,1437002.971004486,1268801.7958836555,935.2372076683574
89,3.775364327809286E7,1547842.5812809467,1382759.5143563747,917.6214098652205
90,3.778717167881775E7,1548536.0344297886,1429711.460833788,660.6027155664232
91,3.777265171904898E7,1547961.0389511585,1383976.7166621685,912.182095595201
92,3.771257400377798E7,1545101.191366434,1458361.704111576,484.4024357265896
93,3.774543608686781E7,1548753.0506281853,1414561.9757754803,749.7262764427397
94,3.773109957872534E7,1548397.5154545307,1297882.962259531,1392.7195146216284
95,3.7717193652647495E7,1548513.006370306,1441073.3628342152,597.2908916420408
96,3.42877624525466E7,1400853.3024020195,1284763.4972486496,646.3382521390917
97,3.7642100610479355E7,1537698.816573143,1436416.2223505974,564.3891676545145
98,3.767408085175228E7,1540367.5676863194,1346066.467795372,1079.7532192150748
99,3.744570171545124E7,1531328.8420391083,1319714.2399327755,1177.5022816578546
100,3.764592309998512E7,1540228.1698315144,1385843.8809671402,858.8098027229311
101,3.7585741249685526E7,1537255.9250588417,1361731.9865570068,975.5116845832931
102,3.5153239882228136E7,1438791.3094530106,1337505.525743723,563.4835913181304
103,3.7558894827292204E7,1538263.9224960804,1435272.6238820553,572.8926617900531
104,3.758977249090171E7,1539908.276329279,1356016.6203303337,1022.9634846991963
105,3.631960282877636E7,1487055.606613636,1313875.0033242702,963.3781205111081
106,3.4934465081936836E7,1434392.6892094612,1231416.361927271,1128.0108086917135
107,3.75493042295413E7,1541407.4760046005,1322464.4543423653,1219.3079551908704
108,3.390850662971163E7,1391166.47620368,1281406.6673855782,611.2633461833
