Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,53
Role 2,83
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1646.9241568996135,2.147510290145874,9317.488500595093,340913.30047822,0.0,0.0,0.0,0.0,41423.76811594203,0.0,252120.0,8574720.0,9.149578649442295,0.011930612723032634,51.763825003306074,1893.9627804345553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Amend Request for Quotation,627.5145735830208,61.62856841087341,1353.6293721199036,133660.60417318344,0.0,0.0,0.0,0.0,15730.985915492958,0.0,158460.0,3350700.0,3.486192075461228,0.3423809356159634,7.520163178443909,742.5589120732416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213
Analyze Purchase Requisition,393.42870095731,240.11351013183594,539.7989146709442,160125.48128962517,0.0,0.0,0.0,0.0,7241.572481572482,0.0,154860.0,2947320.0,2.1857150053183894,1.3339639451768663,2.9988828592830234,889.5860071645844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407
Analyze Quotation Comparison Map,1191.2873995542527,367.3736038208008,2016.2351813316345,238257.47991085052,0.0,0.0,0.0,0.0,27940.2,0.0,158460.0,5588040.0,6.618263330856959,2.0409644656711157,11.201306562953524,1323.652666171392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Request for Quotation,82886.35291567957,281.25334310531616,324266.15313100815,3.423206375417566E7,81480.9934151594,0.0,322639.6302289963,3.3651650280460835E7,1932894.1888619855,0.0,7540260.0,7.982853E8,7.807552780667588,0.06500358978907267,16.18839120864868,3224.519298415714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413
Approve Purchase Order for payment,79404.25556321144,60.0,319476.2790720463,1.5880851112642288E7,79344.25556321144,0.0,319416.2790720463,1.5868851112642288E7,1860927.3,0.0,7536600.0,3.7218546E8,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Authorize Supplier's Invoice payment,4046.3321008765697,0.0,19952.92289376259,809266.420175314,4046.3321008765697,0.0,19952.92289376259,809266.420175314,94174.2,0.0,507960.0,1.883484E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Order,170462.1593652761,414.8493928909302,330280.37201452255,3.409243187305522E7,169896.15012058377,0.0,329811.4722943306,3.3979230024116755E7,3995417.1,0.0,7864440.0,7.9908342E8,3.1444958038462527,2.0003673513730367,4.331874677870009,628.8991607692506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Requisition,1965.0921810925006,313.0214021205902,3351.74719786644,393018.43621850014,0.0,0.0,0.0,0.0,56669.40058004856,0.0,158460.0,1.1333880116009712E7,10.917178783847223,1.7390077895588345,18.620817765924667,2183.4357567694447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Quotation comparison Map,168036.75564567448,4222.6672213077545,336351.39843678474,3.360735112913489E7,155532.38622481228,0.0,323795.77794480324,3.1106477244962454E7,3930681.0,158460.0,7871700.0,7.861362E8,69.46871900479,14.289557980166542,120.94358705547121,13893.743800958002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Request for Quotation,322.83672604560854,19.713741302490234,1119.4998803138733,64567.345209121704,0.0,0.0,0.0,0.0,5729.4,0.0,154860.0,1145880.0,3.587074733840095,0.21904157002766927,12.438887559043037,717.4149467680189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Deliver Goods Services,424669.2107897222,12314.358635425568,1078068.602379799,8.493384215794444E7,329581.0493476212,0.0,914424.8759293556,6.591620986952424E7,9932301.9,252180.0,2.52867E7,1.98646038E9,528.2675635672281,66.0985034306844,974.630456079377,105653.51271344563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407
Pay Invoice,5138.554379707575,249.5522255897522,21079.68950533867,1027710.875941515,4560.1953464138505,0.0,20298.559582471848,912039.0692827702,122305.8,0.0,507960.0,2.446116E7,3.213105740520691,1.3864012532764012,4.999752065870497,642.6211481041382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Purchase Order,60.0,60.0,60.0,12000.0,0.0,0.0,0.0,0.0,864.9,0.0,97260.0,172980.0,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Supplier's Invoice,720.479533058405,120.03099465370178,15568.888411998749,144095.90661168098,459.7747808563709,0.0,15225.153023958206,91954.95617127419,20373.9,0.0,504300.0,4074780.0,1.4483597344557446,0.6668388591872321,2.3142015430662366,289.67194689114893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Invoice,383625.23944847344,0.0,913142.5645575523,7.672504788969469E7,383625.23944847344,0.0,913142.5645575523,7.672504788969469E7,8988821.1,0.0,2.136702E7,1.79776422E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Request for Quotation to Supplier,118648.1701507926,556.3473830223083,316713.5532608032,2.372963403015852E7,117253.80599318743,0.0,315124.25827383995,2.3450761198637486E7,2783750.1,0.0,7489800.0,5.5675002E8,7.746467542250947,1.6667551080385843,15.511653346485561,1549.2935084501894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Conditions With Supplier,214263.35856064796,23464.35937476158,372361.5178499222,4.285267171212959E7,181558.54721057654,0.0,323092.83306002617,3.631170944211531E7,5017226.7,580020.0,8700300.0,1.00344534E9,181.69339638928565,79.8962034755283,292.1009613778856,36338.67927785713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Dispute With Supplier,14712.322228141215,4.170289754867554,52865.64107632637,1279972.0338482857,2840.3888326485953,0.0,19522.758782863617,247113.82844042778,343744.8275862069,0.0,1318500.0,2.99058E7,65.95518553051453,0.023168276415930854,293.69800597959096,5738.101141154763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6965740.239513397,4.280578960829402E7,5.626049387497139E7
Process Cycle Time excluding out of timetable hours (s),288746.2740881443,1753287.407713958,2306655.1262238026
Process Waiting Time (s),153952.56584858894,1595351.5566811191,2106421.8704333305
Accumulated Process Duration (s),6965740.239513397,4.280578960829402E7,5.626049387497139E7
Cost,311.8314354035589,879.2149319938023,1489.917009245025


Process Cycle Time (s) distribution
From,To,Count
6965740,11895215,8
11895216,16824691,8
16824692,21754167,10
21754168,26683643,9
26683644,31613119,11
31613120,36542595,11
36542596,41472071,8
41472072,46401547,13
46401548,51331023,12
51331024,56260499,110

Process Waiting Time (s) distribution
From,To,Count
153952,349198,8
349199,544445,11
544446,739692,7
739693,934939,8
934940,1130186,12
1130187,1325433,9
1325434,1520680,8
1520681,1715927,13
1715928,1911174,20
1911175,2106421,104

Accumulated Process Duration (s) distribution
From,To,Count
6965740,11895215,8
11895216,16824691,8
16824692,21754167,10
21754168,26683643,9
26683644,31613119,11
31613120,36542595,11
36542596,41472071,8
41472072,46401547,13
46401548,51331023,12
51331024,56260499,110

Process Cost distribution
From,To,Count
311,428,13
429,546,19
547,664,23
665,782,29
783,900,25
901,1018,20
1019,1136,21
1137,1254,28
1255,1372,17
1373,1490,5

In-timetable Cycle time (s) distribution
From,To,Count
288746,490536,8
490537,692327,8
692328,894118,10
894119,1095909,9
1095910,1297700,11
1297701,1499491,10
1499492,1701282,9
1701283,1903073,13
1903074,2104864,13
2104865,2306655,109



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.731670636744237E7,714885.3674423695,468726.0662186146,1368.8099907822077
2,6965740.239513397,288746.2740881443,153952.56584858894,749.4364313748148
3,8557326.508786201,355894.96667933464,172036.38229632378,1022.0903259555498
4,8962813.849396467,364782.748947382,225485.81795692444,775.064870598581
5,1.6383628346694708E7,670127.2283215523,520475.72461628914,832.0568139950435
6,7515833.142344236,311233.88636660576,196322.49662947655,640.1529223587778
7,1.2733741077112675E7,524688.1485290527,354485.1481091976,946.5101106325786
8,8486695.990859032,351731.2280447483,209053.49537491798,793.9486529390018
9,9845312.65670228,402872.65670228004,270316.2592282295,737.6712126639155
10,1.1040392162239552E7,447730.6990966797,347199.1944112778,561.065408800708
11,8606790.055106878,348147.75112843513,279230.82167482376,386.85748222139136
12,2.9516844619767427E7,1205680.5835154057,1096968.8922595978,608.1094814989302
13,1.4280136851377249E7,580736.231802702,377187.616815567,1131.7305173423551
14,5.418575371719146E7,2219008.635897398,1995025.22265172,1245.3805073751344
15,1.3143763642102957E7,535156.8709306717,369719.6187412739,919.9746574706503
16,1.805261414778018E7,742038.083917141,517331.88369345665,1248.5728746136028
17,5.424395397464466E7,2221887.0152897835,2053214.8411765099,940.2900629414453
18,1.500026899353528E7,617776.7320613861,484876.27193570137,741.3065044403078
19,5.481872872102523E7,2244554.5571403503,2043601.9671034813,1117.0347177611457
20,1.7913775302161694E7,734785.3446540833,621417.6573810577,631.4304893453918
21,4.354751524332285E7,1786075.2433228493,1626060.1928708553,893.4785934858854
22,2.262389788801837E7,926426.527605772,849920.3164234161,426.62493169042796
23,5.416060709549475E7,2218818.2130584717,2040224.656116724,993.3769733177292
24,1.974583542564082E7,807121.4974782467,617036.5572071075,1058.7172994070581
25,1.3954784468112707E7,570867.79905653,485734.6490495205,474.82239734994033
26,1.488801490920782E7,610191.2824888229,536704.0320346355,409.34845749934516
27,1.7210913087386847E7,702705.9493215084,498267.08741140366,1136.807463539971
28,2.9899415462231874E7,1224736.033211708,1013177.7679347992,1178.7252522283127
29,2.8920300074935913E7,1181900.2559301853,962292.2311406136,1222.0764543877706
30,2.130085905435109E7,868125.0270426273,696188.7747542858,956.4977892597517
31,1.6896971914124012E7,693139.051189661,541783.1018378735,842.6467870818244
32,5.3932779673416376E7,2206890.6692271233,1974948.025263548,1288.6797650270992
33,2.619737539805484E7,1069170.220739603,838581.0241417885,1281.444045515855
34,2.4268110236094475E7,991222.1479895115,876207.8432917595,639.1738642891247
35,5.399137344715619E7,2210285.640445709,2078535.5227060318,734.7596821758483
36,2.7659191940349817E7,1135523.873944521,907251.4128675461,1269.1775433725782
37,1.6207728807961226E7,667926.776902914,580209.529897213,489.1677560912238
38,1.9475958839102983E7,797958.7138054371,594178.5564062595,1133.6507498966325
39,2.8534434050937176E7,1170045.3064079285,947614.6821641922,1237.4125965661472
40,3.3098484485453606E7,1356591.0673382282,1223010.4184732437,742.9262803634009
41,2.6088074922958612E7,1068355.6362187862,940942.6951146126,714.0691165804864
42,2.3729278276602983E7,971537.9342381954,740767.760953188,1287.7159347335498
43,1.9094108402645588E7,785126.261310339,605148.2617201805,1000.1742488291529
44,1.929016453308797E7,789807.8005096912,654824.2360854149,750.3403779718611
45,4.467965911323619E7,1832478.2838909626,1775101.4559423923,320.7806672559844
46,3.33510025485332E7,1368826.804252386,1238683.6456809044,723.902088099056
47,5.382419328630757E7,2203901.9140229225,1969040.070634365,1306.0547089139618
48,2.331001028412652E7,956835.1822524071,826389.9409003258,725.9080883449979
49,4.10962474868505E7,1684361.1868007183,1566329.6548540592,656.8944878697396
50,2.845499376661563E7,1165427.5278983116,944266.3938982487,1228.992811389764
51,4.771959840544057E7,1955426.4557282925,1873400.2699420452,459.93987288210127
52,2.593148975467801E7,1062062.6698093414,942708.8975119591,663.8596039401161
53,2.478534948883319E7,1010900.0278775692,922348.0833702087,494.06294753948845
54,3.1422869671561718E7,1282204.2672126293,1121051.4796288013,898.3060847706266
55,5.3788632603015184E7,2201197.674500704,2079037.394989252,680.4259063680968
56,5.37734405030241E7,2200086.346790552,2007685.0747008324,1069.566751702626
57,2.3690015260482788E7,969447.2405772209,913523.9697966576,311.8314354035589
58,5.366965668716407E7,2196264.1037106514,1979823.5950345993,1203.530919154485
59,2.8328715608691692E7,1158085.6767818928,1081287.5955002308,427.4453630222214
60,4.991333629505563E7,2045328.6487588882,1912438.5707478523,739.4458212123977
61,3.3141188130051613E7,1358396.2262234688,1111419.9500243664,1373.4190363685289
62,3.131088720719838E7,1282175.4452762604,1130491.2590174675,845.5340397702324
63,3.328011379289794E7,1363190.9761779308,1120017.661203146,1353.0037193867895
64,3.0894748131978273E7,1268631.1302945614,1098713.0515823364,947.9156828562419
65,3.1876281594551325E7,1305863.492786646,1153854.6162257195,844.6988112807275
66,5.001336894464016E7,2052722.5644056797,1844721.4821739197,1160.9992749147943
67,5.361975266842151E7,2196658.93471694,2067046.873673439,720.4241862442759
68,5.360593637430978E7,2193326.5853760242,2097458.7439084053,533.0720514072311
69,5.359108371053457E7,2192512.6356220245,2104387.349688053,490.15764056311707
70,5.137349951482415E7,2103657.3315098286,1961571.5292274952,789.48856599066
71,5.322886977609253E7,2182463.4519577026,2029547.0419197083,850.3849508775606
72,3.583414384494448E7,1463877.2537798882,1320585.4764473438,796.3635701643096
73,3.681824699857807E7,1507258.4566905499,1355805.872227192,841.6533057755895
74,3.598120318103218E7,1469594.1923959255,1310817.6950352192,883.6038792000876
75,3.558082311536765E7,1457789.7336788177,1289068.9605944157,940.503980475002
76,5.341979386001325E7,2187633.33558774,2098622.0430977345,495.45908326043013
77,3.1271474476752043E7,1279891.799036026,1185139.926072836,527.363541785876
78,3.170114922175002E7,1302007.042981863,1219601.4911062717,458.61163901487987
79,3.668774497993517E7,1504068.8978278637,1354699.4527523518,830.7533249616623
80,5.3438709365083456E7,2190641.587224722,1988217.6189222336,1126.235750550694
81,3.851795936933446E7,1578960.7295498848,1383261.3041536808,1087.4730887373285
82,5.340987800751352E7,2189758.7682733536,1968121.5919148922,1232.1643118129834
83,5.339680254968476E7,2187169.452909231,1951466.4640111923,1311.0542667958468
84,5.338063256124759E7,2184974.3264143467,1930174.6535263062,1419.88539331754
85,3.791173783912468E7,1554734.3493874073,1388467.075293541,925.9035308996836
86,5.335285468971443E7,2185093.5492794514,2095681.0159635544,498.8012052827411
87,5.333860068016076E7,2184793.8156917095,2076606.893105507,602.72885872523
88,5.314900316553116E7,2178522.581273794,1962967.9244055748,1201.0389731023045
89,5.626049387497139E7,2306655.1262238026,2070102.6912827492,1316.7135021991198
90,5.329794783112717E7,2184127.8311271667,1926016.6628730297,1435.597930322753
91,5.32831731926713E7,2181741.389478922,1973663.5244915485,1161.0271619372897
92,4.0391865188251495E7,1654130.2311162949,1454379.550198555,1110.9564002394675
93,3.614341895510507E7,1479850.319237709,1354180.2140080929,699.1135896616512
94,5.367200045494938E7,2201818.197884321,1991760.4016284943,1170.311954638693
95,3.6510460014009714E7,1500091.6256699562,1437687.6464681625,348.1635884602864
96,5.313745624487996E7,2171416.244879961,1954523.8225121498,1206.0474295735357
97,4.2313802291098595E7,1729577.8222625256,1596024.525829792,743.4699208709928
98,4.2225349811446905E7,1727382.3001811504,1555611.4975774288,955.3201586299474
99,4.431405534953952E7,1812544.8578968048,1576459.7811059952,1314.3109782311653
100,5.308235606053209E7,2172030.5998601913,2036226.2355659008,757.4891015397179
101,3.923943857210469E7,1607873.0896811485,1438898.1324648857,939.875708352195
102,5.460936807185197E7,2239130.6666338444,2037898.4243664742,1119.7667059514256
103,4.2839763130045176E7,1756125.4643423557,1553530.0127983093,1127.813112154272
104,4.359371094822264E7,1785586.4904654026,1572672.1879732609,1185.3909473220508
105,5.308845357091999E7,2176103.480702877,2106421.8704333305,388.6490076171027
106,5.299795676585436E7,2171731.561638117,2031261.0387134552,784.8455913914576
107,4.217162743095994E7,1727642.9429402351,1554544.674305439,962.1337953554261
108,4.5354267196371555E7,1858483.9472796917,1627102.8940086365,1286.20331442621
