Resource utilization
Resource,Utilization %
Role 1,5
SYSTEM,0
Role 4,0
Role 6,0
Role 3,11
Role 2,17
Role 5,43

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,41616.889276359085,535.5879769325256,73429.60326313972,4161688.927635908,40112.80588181734,0.0,72253.96300196648,4011280.588181734,967808.4,0.0,1740060.0,9.678084E7,8.356018858565223,0.09332401752471924,37.504223767916365,835.6018858565222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Amend Request for Quotation,32079.18696961002,0.0,73472.0545694828,3432473.005748272,31468.308208140257,0.0,72626.47453212738,3367108.9782710075,752979.8130841121,0.0,1740060.0,8.056884E7,3.393770897054227,0.0,5.404498128096263,363.1334859848023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Analyze Purchase Requisition,388.20067926965106,240.76972436904907,796.624603509903,79581.13925027847,2.334659328693297,0.0,302.8912422657013,478.60516238212585,8243.121951219513,0.0,158460.0,1689840.0,2.143700110783099,1.3376095798280505,2.9971490038765802,439.4585227105353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Analyze Quotation Comparison Map,20827.37597700301,457.34291982650757,73930.80135703087,2186874.4775853157,19625.82854114714,0.0,72644.9182305336,2060711.9968204498,490193.71428571426,0.0,1740060.0,5.147034E7,6.6752635325325835,2.0690664516554937,11.183711277114021,700.9026709159212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Analyze Request for Quotation,33783.67506928489,38.3672821521759,144028.3203947544,7162139.114688396,32329.34362647556,0.0,143394.58362078667,6853820.8488128185,796021.1320754717,0.0,3476460.0,1.6875648E8,8.079619126718502,0.21315156751208836,15.02859797610177,1712.8792548643223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
Approve Purchase Order for payment,30779.900164150058,60.0,139910.41464829445,3231889.517235756,30719.900164150058,0.0,139850.41464829445,3225589.517235756,720487.4285714285,0.0,3227940.0,7.565118E7,0.33333333333333304,0.3333333333333333,0.3333333333333333,34.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Authorize Supplier's Invoice payment,58323.064206311814,0.0,232452.4047689438,6123921.741662741,58323.064206311814,0.0,232452.4047689438,6123921.741662741,1371764.5714285714,0.0,5295900.0,1.4403528E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Choose best option,16357.04798516319,0.0,73105.7202425003,1717490.0384421349,16357.04798516319,0.0,73105.7202425003,1717490.0384421349,385099.4285714286,0.0,1740060.0,4.043544E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Create Purchase Order,68892.76148501351,360.16868710517883,142554.07224845886,7233739.955926418,68325.13575255984,0.0,142123.33537387848,7174139.254018784,1618220.0,0.0,3404400.0,1.699131E8,3.1534762914092447,2.0009371505843268,4.32543896569146,331.1150105979707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Create Purchase Requisition,35652.95055378732,1527.1587450504303,74063.31618380547,3743559.808147669,33708.83065410342,0.0,70670.06512236595,3539427.2186808586,833209.3822105203,1129.6470203399658,1661107.089864254,8.748698513210464E7,10.800666109355037,1.7122354997528924,18.851394785775078,1134.0699414822789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Create Quotation comparison Map,49675.97988736062,2307.5331206321716,160730.16636109352,5215977.888172865,37859.12299986112,0.0,141049.43362259865,3975207.9149854183,1167896.5714285714,0.0,3782700.0,1.2262914E8,65.64920493055271,12.819628447956509,121.32188377645281,6893.166517708035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Create Request for Quotation,353.0325482936133,35.68503403663635,2071.635180950165,37068.41757082939,0.0,0.0,0.0,0.0,6072.571428571428,0.0,158460.0,637620.0,3.9225838699290376,0.39650037818484835,23.018168677224054,411.87130634254896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Deliver Goods Services,270762.31268983794,19082.279478549957,572188.1198348999,2.8430042832432985E7,179747.693303056,0.0,423460.18386411667,1.887350779682088E7,6334044.0,536760.0,1.334046E7,6.6507462E8,505.6367743710109,66.34554920461443,945.6879154231813,53091.86130895615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Pay Invoice,41500.71005515144,254.10609078407288,234093.16041207314,4357574.555790901,40906.293752104895,0.0,233632.94545960426,4295160.843971014,966428.5714285715,0.0,5454360.0,1.01475E8,3.302312794703023,1.3990651514795092,4.990773657957713,346.74284344381743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Release Purchase Order,791.3250634624844,60.0,31484.724284887314,83089.13166356087,731.3250634624844,0.0,31424.724284887314,76789.13166356087,19042.285714285714,0.0,832140.0,1999440.0,0.33333333333333304,0.3333333333333333,0.3333333333333333,34.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Release Supplier's Invoice,19978.358361189705,150.22891497612,221262.85919570923,2097727.627924919,19702.81116508529,0.0,220887.8611252308,2068795.1723339558,461280.0,0.0,5176920.0,4.84344E7,1.5308177561356284,0.7219819174872504,2.32672860622406,160.735864394241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Send Invoice,196751.48101892925,0.0,428571.03313469887,2.065890550698757E7,196751.48101892925,0.0,428571.03313469887,2.065890550698757E7,4602892.571428572,0.0,1.011252E7,4.8330372E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Send Request for Quotation to Supplier,45062.82172706695,544.8026938438416,142920.98644065857,4731596.28134203,43632.41766437803,0.0,141387.76844716072,4581403.854759693,1051686.2857142857,0.0,3386400.0,1.1042706E8,7.946689237160661,2.3227048966619703,13.444064243634541,834.4023699018694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Settle Conditions With Supplier,107401.87987923168,19633.999494075775,184473.0477156639,1.1277197387319326E7,73175.96771316302,0.0,141990.85342001915,7683476.609882116,2502374.8571428573,504300.0,4294320.0,2.6274936E8,190.1439564781593,81.62498926056756,291.933501651552,19965.115430206726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Settle Dispute With Supplier,66948.25533003807,977.4749736785889,232620.90581941605,3012671.489851713,57311.35092087852,0.0,227510.72210025787,2579010.7914395332,1575461.3333333333,0.0,5389500.0,7.089576E7,53.538357828664175,1.996656076113383,235.8973269369867,2409.226102289888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6355980.694701195,2.765132793817407E7,3.5568603128631115E7
Process Cycle Time excluding out of timetable hours (s),262773.21260905266,1133095.127392124,1454281.42140913
Process Waiting Time (s),143925.28968524933,979678.3467631658,1353783.2480738163
Accumulated Process Duration (s),6355980.694701195,2.76513300378808E7,3.5568603128631115E7
Cost,297.3121900293562,854.2884049110063,1372.5977533366945


Process Cycle Time (s) distribution
From,To,Count
6355980,9277242,3
9277243,12198505,5
12198506,15119768,3
15119769,18041031,8
18041032,20962294,10
20962295,23883557,5
23883558,26804820,9
26804821,29726083,4
29726084,32647346,0
32647347,35568609,58

Process Waiting Time (s) distribution
From,To,Count
143925,264910,4
264911,385896,6
385897,506882,1
506883,627868,12
627869,748854,8
748855,869840,7
869841,990826,6
990827,1111812,3
1111813,1232798,27
1232799,1353784,31

Accumulated Process Duration (s) distribution
From,To,Count
6355980,9277242,3
9277243,12198505,5
12198506,15119768,3
15119769,18041031,8
18041032,20962294,10
20962295,23883557,5
23883558,26804820,9
26804821,29726083,4
29726084,32647346,0
32647347,35568609,58

Process Cost distribution
From,To,Count
297,404,5
405,512,7
513,620,14
621,728,17
729,836,9
837,944,9
945,1052,11
1053,1160,14
1161,1268,13
1269,1376,6

In-timetable Cycle time (s) distribution
From,To,Count
262773,381923,3
381924,501074,5
501075,620225,3
620226,739376,8
739377,858527,10
858528,977678,5
977679,1096829,9
1096830,1215980,4
1215981,1335131,0
1335132,1454282,58



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.3685723788853407E7,564022.7888534069,465533.8563835621,550.191473637687
2,6427010.442510366,265720.00027918816,144329.5049109459,675.0995065079795
3,9369728.407500982,387766.1025547981,230597.16149687767,881.139398209254
4,1.1233862716542244E7,464473.069521904,302769.90583348274,899.1553495870697
5,1.3583414202966213E7,559109.6342747211,363259.4186306,1088.329330889384
6,6355980.694701195,262773.21260905266,143925.28968524933,662.1773315641617
7,7549097.246462345,314969.03361940384,209970.82376289368,584.1021678010624
8,2.8257342201970816E7,1160790.521321535,963950.2191841602,1094.9879487540986
9,1.1161357144025803E7,461360.758282423,284784.7801399231,982.4335407627955
10,2.6531948837247133E7,1084237.28464818,907213.4815819263,985.4359875692262
11,9842783.217485428,402159.4037644863,273113.2381067276,717.5536809947756
12,2.659888181448126E7,1083969.9935965538,982202.7988727093,566.3634917272462
13,2.8224466758345604E7,1152681.5284285545,1031888.2150189877,672.3324843207996
14,3.46175576445086E7,1414386.6982352734,1224433.879957199,1056.4069268597495
15,3.5568603128631115E7,1451786.8884603977,1353783.2480738163,545.0563415408135
16,1.7920846099455833E7,732688.6054942608,637416.6027872562,532.6786260445913
17,3.4546711578900576E7,1413926.4832828045,1315015.8556039333,550.5597826057011
18,1.3467694673556566E7,552795.3471267223,348505.1575050354,1135.2730016165308
19,3.4884352066758394E7,1429671.1613690853,1353416.53947711,425.5469423572222
20,3.462164592726207E7,1423019.3351082802,1244978.1424071789,991.6084945321084
21,1.1021086872320652E7,454976.8847718239,361255.57041978836,524.2430256260765
22,3.476536761900306E7,1424444.0202081203,1213560.0342202187,1172.3763509975538
23,3.5442188759319544E7,1454281.42140913,1226561.4015996456,1267.9883321907785
24,3.48920468284688E7,1430013.4130570889,1330946.5049176216,553.0150291548837
25,1.775751152367258E7,727512.417955637,621042.4189419746,592.9629686448309
26,3.5068051473073006E7,1436918.1316246986,1294890.4300408363,791.2269544416005
27,1.7318064650079727E7,710625.1054544449,580260.5312175751,724.6140861166849
28,1.757901310951352E7,719576.4573206902,551649.0526385307,935.0570802728337
29,2.0307882618787527E7,835345.0907111168,609718.4065368176,1256.3753081931006
30,3.533174553380084E7,1442566.408068657,1296951.0432970524,813.0813579625554
31,3.5067428974359274E7,1434480.8695707321,1295355.5642118454,776.6890811562539
32,1.6260127266138077E7,664120.336881876,579327.970813036,472.3142017417483
33,2.7961222637927532E7,1141220.4767856598,1033742.5818703175,598.3160721355014
34,1.9923663948610306E7,816523.7011163235,593388.5558433533,1240.6360104759533
35,3.437468874754596E7,1407464.12118721,1326348.663421154,453.78285780482815
36,2.401602404742217E7,983419.4261562824,754084.860314846,1274.9491478257708
37,3.5001520186276674E7,1436418.0126690865,1214379.0747535229,1235.829915265242
38,2.4440935251138687E7,1004262.8388023376,818001.6935713291,1035.2467372907531
39,3.4966277638965845E7,1437011.9949347973,1209030.467562914,1267.5275539649856
40,1.98230608391459E7,815677.0866420269,614322.9200050831,1119.910115657912
41,3.423361791182923E7,1402432.165223837,1291034.039568901,619.3712034106254
42,3.52584826000967E7,1446193.6456284523,1220142.7729830742,1257.0355253352056
43,3.525660414686394E7,1445323.349253893,1285823.927428484,887.4216722249986
44,3.4559839431628704E7,1412791.048504591,1300049.9122776985,629.1000848068132
45,3.5166122868305445E7,1440445.7207884789,1193752.2795860767,1372.5977533366945
46,2.0716991080274105E7,849800.3885321617,757357.1117534637,516.9981234921349
47,3.460426529536915E7,1417701.9820718765,1188597.5917327404,1273.1048454867466
48,3.519654381505251E7,1443090.132572651,1223457.295107603,1227.017577823003
49,3.439555605552173E7,1409862.346366644,1170585.9210329056,1331.9161385138827
50,3.499923952092242E7,1434030.681220293,1321940.9072682858,623.6698914766313
51,3.482881541495204E7,1432534.220202446,1313699.9558923244,663.0621978322667
52,3.419902036415672E7,1404154.5547413826,1228153.114295721,978.3183893230226
53,1.964922822440386E7,808006.1174266338,616978.8436672688,1063.1374720878073
54,2.7663063117311954E7,1133488.5064725876,984458.3012728691,828.7365346339014
55,1.7365597254971266E7,712777.69551754,595724.4691536427,651.3709276093379
56,3.447196197920203E7,1411770.792118311,1188329.9001193047,1242.6070458425415
57,3.507587303999567E7,1436619.7937657833,1245259.4214293957,1065.419854741626
58,3.4371487367078066E7,1402803.5109393597,1243481.4384393692,887.3513452079562
59,1.7324987079678774E7,707101.2941286564,583845.400468111,686.2720729894108
60,2.0738044600483418E7,847441.2324113846,618508.1586608887,1276.379851137267
61,3.439723030601239E7,1407538.7110283375,1205796.737748623,1125.4580788864032
62,3.466207033769131E7,1420051.3527884483,1340944.3735249043,443.9947268764177
63,3.419282644126463E7,1400772.4198477268,1200429.9967370033,1113.8262919558417
64,3.428991335473728E7,1403870.4435043335,1330917.7662501335,406.90545648733774
65,3.47839335904479E7,1425615.3184416294,1196054.1348512173,1276.1723153962027
66,3.4340935937343836E7,1405610.6121397018,1299315.545703888,591.603312004937
67,3.4265174299505234E7,1404230.9939346313,1349339.0639548302,307.4019303321838
68,3.475507184920025E7,1424853.31265831,1296927.0512685776,712.4221230083043
69,1.947781923052025E7,803261.4513025284,639374.5394968987,910.6810935537021
70,3.483645245471716E7,1427638.3864266872,1229171.8283557892,1103.4610584868324
71,3.419516967558551E7,1399739.023518324,1268481.02303648,730.949594769213
72,1.7549384523482084E7,720389.1380403042,601984.576223135,658.2375055538286
73,3.387352563104415E7,1389221.4750709534,1207213.8346579075,1013.7077747676109
74,3.4069110309488535E7,1394064.8023147583,1185286.4673261642,1171.3887231641343
75,1.9893700172169447E7,811733.7452943325,683196.2878110409,715.356093708674
76,2.4085636014700413E7,980819.4172503948,774039.8177998066,1150.1665913263955
77,2.4521738682542086E7,1003303.3585276604,949837.0618846416,297.3121900293562
78,3.417726634528184E7,1397209.0571513176,1214090.5363736153,1018.2795059164366
79,2.6227245988661766E7,1072019.3010306358,1012480.7732937336,332.7878676056862
80,3.3817090083738565E7,1384539.1215023994,1181325.9664273262,1129.9633327523866
81,2.185127257472968E7,894545.7287094593,687998.4047956467,1148.6379708184134
82,3.3918776869200945E7,1389611.6143434048,1214074.3454184532,976.6027894523409
83,3.45061732399869E7,1415593.8911788464,1261673.882128954,856.952068180508
84,2.3193028613034487E7,955275.3170387745,735367.9318192005,1223.2791142688857
85,3.401673308781123E7,1392047.6147191525,1278511.7799851894,633.7310200889906
86,3.426315512332654E7,1407033.5636816025,1246339.741865158,896.3961589654288
87,3.450091270404291E7,1414544.1940405369,1284749.6657452583,722.5344031280941
88,3.43856207093029E7,1410035.1537046432,1227670.4692032337,1014.60421875053
89,3.36237365872159E7,1383753.510344267,1315745.5754508972,378.91552773449155
90,3.377885936269164E7,1384331.1668355465,1259445.0089774132,697.9726071900792
91,2.1253214319961548E7,872970.1940104961,733021.5429844856,778.4266905731625
92,3.353904391708851E7,1376816.8521938324,1231162.3019764423,809.8293228136171
93,2.5672232171589375E7,1055011.9299623966,838533.9137051105,1204.2472193943127
94,1.9501911054170847E7,793514.5856659412,724869.1622569561,383.3247208409839
95,1.9495110045526743E7,794763.4996459484,713882.273473978,451.6494106769561
96,3.442879951643491E7,1405822.025708437,1232789.4150829315,964.1326449831328
97,3.3386203880295277E7,1363962.6472373009,1141126.9458088875,1240.1467280652785
98,3.3469491445827246E7,1370830.864431858,1183075.7017350197,1045.008072015974
99,3.3402816752544165E7,1367096.5320842266,1244984.3017008305,683.5359576914047
100,2.2906174261009216E7,940707.1711449623,853945.8582642078,483.31441409985223
101,2.530149510376692E7,1033735.8277254105,902175.9869194031,731.5839856823287
102,3.358429860161519E7,1376824.7027022839,1268789.5238490105,602.0205836839147
103,2.3484656076776505E7,966121.6432869434,818539.3729844093,823.1358551277057
104,3.3739564335843325E7,1382023.78952384,1186564.834483862,1087.1102172030342
105,3.393259964051676E7,1393997.6704337597,1237894.4590365887,869.6527455303404
