Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,55
Role 2,82
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1609.8640552248273,23.312691926956177,6616.683120965958,123959.5322523117,0.0,0.0,0.0,0.0,32849.61038961039,0.0,169320.0,2529420.0,8.943689195693484,0.12951495514975653,36.7593506720331,688.6640680683983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
Amend Request for Quotation,626.1581572760706,71.22314238548279,1158.2214307785034,57606.5504693985,0.0,0.0,0.0,0.0,26977.17391304348,0.0,158460.0,2481900.0,3.4786564293115037,0.39568412436379324,6.434563504325019,320.0363914966583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
Analyze Purchase Requisition,385.4396034027897,240.2212519645691,534.8406174182892,68222.80980229378,0.0,0.0,0.0,0.0,4274.237288135593,0.0,158460.0,756540.0,2.1413311300154976,1.3345625109142727,2.97133676343494,379.0156100127431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
Analyze Quotation Comparison Map,1256.43350512743,401.46392130851746,2032.6938235759735,125643.350512743,0.0,0.0,0.0,0.0,32458.2,0.0,158460.0,3245820.0,6.980186139596836,2.2303551183806527,11.292743464310965,698.0186139596836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,39374.28574233999,273.5212104320526,167461.92817544937,7559862.862529278,37984.49650834253,0.0,165750.52770471573,7293023.329601765,918368.75,0.0,3966420.0,1.763268E8,7.734533542373941,0.0,14.928026115894317,1485.0304401357967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Approve Purchase Order for payment,39477.10177299738,60.0,184925.97192502022,3947710.177299738,39417.10177299738,0.0,184865.97192502022,3941710.177299738,931016.4,0.0,4384320.0,9.310164E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,412.80398698091506,0.0,3262.065940141678,41280.39869809151,412.80398698091506,0.0,3262.065940141678,41280.39869809151,8252.4,0.0,158460.0,825240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,85978.25390383482,397.1913812160492,177959.43458294868,8597825.390383482,85417.65069302559,0.0,177376.0761642456,8541765.069302559,2016774.6,0.0,4132200.0,2.0167746E8,3.1144622822735046,2.0018226318889196,4.330365455150604,311.44622822735045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1752.8345107078553,339.1556930541992,3368.5963904857635,175283.45107078552,0.0,0.0,0.0,0.0,59050.36244413137,0.0,157215.85658073425,5905036.244413137,9.737969503932531,1.8841982947455511,18.714424391587574,973.7969503932532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,92739.9423913145,4921.362723112106,197043.50509428978,9273994.23913145,80255.6893519783,0.0,186730.3073694706,8025568.93519783,2178420.6,158460.0,4640160.0,2.1784206E8,69.35696132964557,12.794738329781426,121.07353103823132,6935.696132964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,346.6627147769928,21.29801917076111,1447.0413184165955,34666.27147769928,0.0,0.0,0.0,0.0,6810.0,0.0,158460.0,681000.0,3.851807941966586,0.2366446574529012,16.078236871295505,385.1807941966586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,231874.2250316477,13025.488516807556,546794.6836020947,2.318742250316477E7,141347.93987713338,0.0,403259.7260248661,1.4134793987713337E7,5421138.0,205380.0,1.276044E7,5.421138E8,502.9238064139683,65.72376376655367,953.6234600636694,50292.38064139683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
Pay Invoice,1160.202281458378,248.87882661819458,3620.223268508911,116020.22814583778,611.6143518400193,0.0,3249.956254720688,61161.43518400192,32719.2,0.0,158460.0,3271920.0,3.0477107201019926,1.3659374780125089,4.98343301349216,304.77107201019925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3673.8,0.0,158460.0,367380.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,408.4700151205063,128.56449604034424,986.2755079269409,40847.00151205063,128.95991896152498,0.0,716.277783870697,12895.991896152496,4826.4,0.0,158460.0,482640.0,1.5528338675498963,0.7142472002241347,2.3289015915658737,155.28338675498964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,161873.9894192481,0.0,398333.50426745415,1.618739894192481E7,161873.9894192481,0.0,398333.50426745415,1.618739894192481E7,3787201.8,0.0,9323580.0,3.7872018E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57553.65773550272,949.3277051448822,166137.4960129261,5755365.773550272,56097.031223237514,0.0,164890.3938920498,5609703.122323751,1329370.8,0.0,3966420.0,1.3293708E8,8.092369512584478,3.111185762617323,13.46559287574556,809.2369512584478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,126293.94821967602,24396.158874750137,228544.9577896595,1.2629394821967602E7,92022.90780477524,0.0,185769.48672485352,9202290.780477524,2956587.0,580020.0,5295900.0,2.956587E8,190.39466897167105,80.41700310177274,290.79846144782175,19039.466897167105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9426.25792840549,487.75542736053467,51553.8496632576,461886.638491869,398.6210344129679,0.0,2990.760698080063,19532.430686235428,195515.51020408163,0.0,1163700.0,9580260.0,50.15353829995846,1.321341802014245,283.39047743611866,2457.5233766979645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6967205.103409767,2.1568952671867978E7,2.8442740760386705E7
Process Cycle Time excluding out of timetable hours (s),286896.72072148323,883903.9094238448,1164731.3963503838
Process Waiting Time (s),136975.94071435928,730711.2460030579,990567.6980412006
Accumulated Process Duration (s),6967205.103409767,2.1568952671867978E7,2.8442740760386705E7
Cost,320.20856556892386,853.0221422140733,1373.854627684752


Process Cycle Time (s) distribution
From,To,Count
6967205,9114758,7
9114759,11262312,3
11262313,13409866,5
13409867,15557420,3
15557421,17704974,7
17704975,19852528,5
19852529,22000082,5
22000083,24147636,3
24147637,26295190,55
26295191,28442744,7

Process Waiting Time (s) distribution
From,To,Count
136975,222334,10
222335,307694,0
307695,393054,0
393055,478414,7
478415,563774,9
563775,649134,3
649135,734494,4
734495,819854,11
819855,905214,32
905215,990574,24

Accumulated Process Duration (s) distribution
From,To,Count
6967205,9114758,7
9114759,11262312,3
11262313,13409866,5
13409867,15557420,3
15557421,17704974,7
17704975,19852528,5
19852529,22000082,5
22000083,24147636,3
24147637,26295190,55
26295191,28442744,7

Process Cost distribution
From,To,Count
320,425,6
426,531,9
532,637,12
638,743,8
744,849,11
850,955,16
956,1061,12
1062,1167,16
1168,1273,5
1274,1379,5

In-timetable Cycle time (s) distribution
From,To,Count
286896,374679,7
374680,462463,3
462464,550247,5
550248,638031,3
638032,725815,8
725816,813599,4
813600,901383,5
901384,989167,3
989168,1076951,55
1076952,1164735,7



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7375923.341764212,306602.34176421165,152558.15742850304,857.1186772187552
2,6967205.103409767,290188.4355006218,160619.8143570423,720.5500259505379
3,8375327.488788843,346863.6264743805,169675.56616187096,986.1183820843697
4,1.0779875541532755E7,441863.99600219727,208764.91837620735,1296.695829584863
5,9732604.92059493,399286.59916472435,214072.85079312325,1029.1848394619094
6,9718226.83558011,398924.3361580372,214534.52789402008,1026.5833819760219
7,7107829.732352972,291871.09415507317,163320.30941009521,716.2971164955034
8,7276058.225396872,301143.9845216274,136975.94071435928,912.7144629769855
9,8129926.152163267,333826.15216326714,219497.5909602642,635.8327875124083
10,2.5999339582112074E7,1064691.2168152332,910885.9360778332,854.8419463316601
11,2.6145825210036278E7,1066707.6980764866,990567.6980412006,423.73762436177987
12,1.5849581526319027E7,644842.2051124573,444378.89674949646,1119.0042279548113
13,1.2858128691682816E7,524182.7897515297,414615.24156832695,609.5122353580264
14,2.6203769907002926E7,1072964.5604593754,832653.7823739052,1341.4480821622742
15,1.745517582840419E7,714468.887036562,522611.4071121216,1069.4028139657441
16,1.68408548962996E7,690489.7807769775,535515.1082046032,864.6192296120855
17,1.6822425489961863E7,689739.8950116634,483367.0739545822,1147.3313683258161
18,7053249.584294796,286896.72072148323,210767.7639286518,423.91636997991134
19,2.5872935726742268E7,1064202.6020944118,858746.1024572849,1143.4671513213048
20,1.7384852976148605E7,714114.2316842079,514301.7629072666,1111.5561874310176
21,1.2538078334994078E7,516118.3349940777,429343.6983015537,484.44059515396754
22,1.79662877048409E7,736364.9042077065,523482.7674565315,1187.11424746116
23,2.8442740760386705E7,1164731.3963503838,970330.1332614422,1082.5432380080222
24,1.8539333191759825E7,761011.006005764,681911.1933977604,440.50301418171983
25,1.5499598033217907E7,631851.1401956081,509269.52590465546,681.874583484067
26,2.0935415683567524E7,857833.411409378,648850.4218924046,1163.0544241547584
27,1.3663392965598345E7,560051.6689600945,398649.8271574974,898.1873294009104
28,2.150734905213642E7,881423.1309576035,698365.1204998493,1017.3678474982579
29,1.5009525113120317E7,612126.7129855156,488029.07286286354,691.5483857658176
30,2.5880189487440348E7,1056453.6493344307,884138.6611053944,957.6164960066478
31,2.0468370217157125E7,835660.5779550076,644824.8069872856,1061.5220102442634
32,1.8852902560624123E7,768961.2982718945,678907.1588702202,500.7439160452947
33,1.2894206006130219E7,527251.1034133434,424854.08201241493,570.7546612315708
34,1.5986010869750738E7,657302.7211222649,523293.5717432499,746.4799613012209
35,1.6570503603497982E7,679466.7268002033,551243.8129537106,718.9531214793524
36,2.579521785631442E7,1055814.6143448353,845139.0741493702,1171.5673130684427
37,2.8201468376950502E7,1155928.3937363625,971150.7763197422,1027.689617191421
38,1.1856211652455091E7,485204.42537117004,428040.4530687332,320.20856556892386
39,1.1675730726043224E7,480834.31224632263,409584.69786310196,397.43061562644107
40,1.7708692329387426E7,724059.383507967,635475.6511297226,493.5686871263716
41,2.572607196480584E7,1053063.0237345695,953849.5844638348,552.8399442685976
42,2.052731531837964E7,839868.8853166103,756000.6959922314,466.0527074641651
43,1.9486766740280867E7,800422.1499373913,696983.0910961628,576.0954544941585
44,2.412757553511548E7,988107.7249219418,757181.4316446781,1284.8647942344346
45,2.56703157990098E7,1053343.8652923107,901496.403141737,846.5210422794024
46,2.7299828837028265E7,1118860.39885211,965504.3006005287,854.2235748820834
47,2.56419172641356E7,1049324.7770428658,957178.9368667603,514.906244122982
48,2.2706276955392122E7,934045.5576918125,778050.0082991123,868.2219493958686
49,2.5452016987620592E7,1045813.1853556633,931362.638119936,637.2419041726324
50,2.559906531805563E7,1048461.9231777191,938798.7763655186,614.0955493489902
51,2.5423594494820833E7,1045486.8380858898,905932.4131805897,777.9119414673912
52,2.582985187440777E7,1058311.8744077682,913801.9183645248,803.7754408478738
53,2.4782629012022972E7,1009223.5879404545,826391.243304491,1016.3279563188553
54,2.4775555406204224E7,1012462.848651886,809934.6086969376,1125.925171889199
55,2.536957443943882E7,1040449.3937368393,872998.0187697411,932.9000040544405
56,2.1643228666188717E7,883892.3466365337,737090.291737318,817.5734593378173
57,2.560265843532014E7,1049302.1528105736,899636.0572257042,838.9426459815769
58,2.5588648923318386E7,1049306.9444291592,952858.683028698,537.3700190782547
59,2.5473486616674423E7,1041883.1728096008,918613.915528059,685.8035624901455
60,2.5718898558920383E7,1052741.0816719532,854296.6128394604,1104.6980265802806
61,2.6654076434458494E7,1090509.8202779293,926271.7043459415,914.3674801415868
62,2.4323692146721363E7,1000462.3895304203,807499.1544449329,1073.5429574555822
63,2.577835377195263E7,1057041.604676485,956002.2950723171,569.3686162365807
64,2.4844297412120342E7,1019592.8904750347,816341.8695101738,1129.8983106970786
65,2.4624208729911804E7,1011725.6477041245,879238.1993334293,739.3387399249607
66,2.547645712039733E7,1045776.9337427616,884069.5446097851,899.172062181102
67,2.5360967400286198E7,1038070.0201909542,970586.1285579205,375.2969650546709
68,2.518677559974861E7,1032872.767333746,945771.6949002743,486.1896193901698
69,2.422323315344906E7,991201.9781441689,878273.3657743931,629.6385433912278
70,2.515906779447484E7,1033223.3823544979,854383.2981760502,994.2324005630281
71,2.5144344489062548E7,1032411.4525032043,884642.9023206234,822.9006204393174
72,2.5129996975864172E7,1028555.5869474411,886851.8826196194,788.0534079829852
73,2.745276656797552E7,1120953.547302723,931880.9051206112,1052.4595495223996
74,2.526261754194188E7,1030665.5334570408,891513.3939137459,775.6551639027067
75,2.4139536340210915E7,987949.1053221226,875476.622859478,625.3139706903033
76,2.507319411383772E7,1027816.7153539658,806786.8254995346,1230.8452034155525
77,2.747930909235382E7,1127886.6561887264,951109.0691194534,984.6521287216082
78,2.504440797732973E7,1027103.6501686573,825430.1813492775,1122.9012175612977
79,2.523911469147396E7,1034076.4988903999,901535.8401653767,737.6034839603636
80,2.522510453115177E7,1034067.1459410191,867559.6868393421,930.3234875281653
81,2.7586007827574253E7,1132143.8571944237,931018.3364372253,1118.4742285635734
82,2.498844941136408E7,1027112.0005095005,833921.1194753647,1074.662095456653
83,2.497647662700224E7,1025549.4449799061,835212.0357816219,1058.7138986150424
84,2.512244578852415E7,1027109.221987009,867068.3375711441,890.0582540353141
85,2.5367549175299644E7,1037648.2918248177,812827.2972648144,1250.3908728414108
86,2.5095947444280148E7,1028634.0037794113,816931.5843083858,1177.2960232019425
87,2.5081908357646942E7,1028660.0318210125,830361.3868992329,1105.4854554586939
88,2.4905121225620747E7,1024327.316609621,863503.2424147129,895.1904543134902
89,2.4893295700060606E7,1026491.7910177708,779445.4388685226,1373.854627684752
90,2.5040101847233295E7,1025223.2704663277,881437.2941656113,801.2520966860984
91,2.5025539496144295E7,1024653.8115203381,926898.4847846031,544.6776750551331
92,2.6059309907236338E7,1070851.2103507519,830212.4829497337,1339.162816810608
93,2.6045222157544374E7,1070768.67552948,868313.9745337963,1127.1233481354182
94,2.482095930564475E7,1020565.6185383797,879248.7623000145,785.2715012364919
95,2.436603578016448E7,1001169.3701279163,932816.2821345329,380.35336420668494
96,2.495583224135375E7,1017796.384773016,931720.5915327072,483.43519518507844
97,2.4780721280041933E7,1015205.6902208328,854657.6316037178,892.4648021790717
98,2.47657656843369E7,1014221.8399350643,925906.6795954704,492.19915134641855
99,2.4913289963264227E7,1017367.0568490028,848837.8400764465,937.282466281785
100,2.4898147648635864E7,1016236.9297263622,848286.6474015713,933.7192025793925
