Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,9
Role 2,13
Role 5,50

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,39569.6794375513,1008.0526690483093,70977.33571648598,3838258.9054424763,37973.08720522074,644.5357859134674,68383.56124973297,3683389.458906412,933031.5463917525,72060.0,1736400.0,9.050406E7,8.869956846280878,0.03846528662575616,41.96665848228667,860.3858140892453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Amend Request for Quotation,26488.854207894077,119.59383845329285,68751.56090259552,2436974.587126255,25894.800956197407,0.0,68415.17448925972,2382321.6879701614,626458.695652174,0.0,1668000.0,5.76342E7,3.311765522081495,0.0,6.310381183359358,304.6824280314976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
Analyze Purchase Requisition,397.9951567165743,241.17481064796448,740.3924806118011,78405.04587316513,3.961557606150051,0.0,280.9913258552551,780.4268484115601,9236.649746192894,0.0,158460.0,1819620.0,2.1890755506134676,1.3398600591553582,2.9953529238700867,431.24788347085314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Analyze Quotation Comparison Map,24427.146230397226,408.1376221179962,69950.90165638924,2442714.6230397224,23268.350766453743,0.0,68074.75583982468,2326835.0766453743,567916.8,0.0,1668000.0,5.679168E7,6.437752577463784,2.1031756348080104,11.206853634781307,643.7752577463784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,35292.56995335221,186.96248841285706,151308.80880641937,6776173.431043625,33923.068003329136,0.0,149496.14498329163,6513229.0566391945,817739.6875,0.0,3577380.0,1.5700602E8,7.608344166794862,0.031801637013753256,14.70401598215103,1460.8020800246136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Approve Purchase Order for payment,26131.066225225924,60.0,147135.03041243553,2613106.6225225925,26071.066225225924,0.0,147075.03041243553,2607106.6225225925,615143.4,0.0,3480120.0,6.151434E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,78709.05667656899,0.0,283384.9543745518,7870905.6676568985,78709.05667656899,0.0,283384.9543745518,7870905.6676568985,1849210.2,0.0,6682800.0,1.8492102E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,17651.229841201304,0.0,68331.25311422348,1765122.9841201305,17651.229841201304,0.0,68331.25311422348,1765122.9841201305,415811.4,0.0,1668000.0,4.158114E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,64725.74961056947,424.69422793388367,150793.0465426445,6472574.961056948,64159.56147156477,0.0,150325.365585804,6415956.147156477,1520943.0,0.0,3638580.0,1.520943E8,3.1454896611372622,2.038070974085066,4.294908396402994,314.54896611372624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,35066.80726846218,986.6452584266663,69672.671271801,3506680.726846218,33172.756050846576,0.0,67131.68269443512,3317275.6050846577,818334.5710366464,13436.960555553436,1681657.077517271,8.183345710366464E7,10.522506764531133,1.6770491414599948,18.936602562003664,1052.2506764531133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,41106.251999268534,2864.5320296287537,159536.15992069244,4110625.199926853,29200.12936221361,0.0,149845.51572084427,2920012.936221361,963733.2,43260.0,3714300.0,9.637332E7,66.14512576141622,12.881166558795504,121.23953861130609,6614.512576141622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,297.6768558931351,7.39363956451416,1026.9240958690643,29767.685589313507,0.0,0.0,0.0,0.0,11420.4,0.0,158460.0,1142040.0,3.3075206210348314,0.082151550716824,11.410267731878493,330.7520621034831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,277828.28488317964,13102.415390491486,600525.7899653912,2.7782828488317966E7,187268.49088524104,0.0,443988.34659028053,1.8726849088524103E7,6500913.0,327900.0,1.40142E7,6.500913E8,503.10996665521475,72.79119661384159,973.2766352759468,50310.996665521474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Pay Invoice,51820.85483736515,265.1788568496704,284334.33240032196,5182085.483736515,51271.72410629749,0.0,283628.0941450596,5127172.410629749,1213179.6,0.0,6704400.0,1.2131796E8,3.0507262837092064,1.36396920548545,4.986096522543165,305.07262837092065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,1050.106514594555,60.0,33552.27674078941,105010.65145945549,990.1065145945549,0.0,33492.27674078941,99010.65145945549,24102.0,0.0,742140.0,2410200.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,25833.587222881317,122.35185599327087,272341.316757679,2583358.7222881317,25566.52908255577,0.0,272042.54164481163,2556652.908255577,603027.0,0.0,6380220.0,6.03027E7,1.4836563351419223,0.6797325332959493,2.309908379448785,148.36563351419224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,215782.26894236088,0.0,465939.0024154186,2.1578226894236088E7,215782.26894236088,0.0,465939.0024154186,2.1578226894236088E7,5048169.0,0.0,1.097712E7,5.048169E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,32917.00060128689,556.0273406505585,136671.80740070343,3291700.060128689,31490.659434006215,0.0,134496.2011756897,3149065.9434006214,771784.8,0.0,3224280.0,7.717848E7,7.924117596003747,2.209659914175669,14.295558276441362,792.4117596003747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,99092.86000465394,16531.749985933304,194545.8962571621,9909286.000465393,65767.98148179532,0.0,144398.8313677311,6576798.148179531,2316193.8,277440.0,4636500.0,2.3161938E8,185.13821401588123,80.94369837972853,289.2837688552009,18513.821401588124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,95152.80075457985,212.06450200080872,283629.4443054199,4852792.838483572,84078.683331929,0.0,282661.9117438793,4288012.849928379,2225640.0,0.0,6704400.0,1.1350764E8,61.52287457028247,0.051489143901401094,273.5182603518168,3137.666603084406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6144189.774404049,2.8616863566830233E7,3.763778582124066E7
Process Cycle Time excluding out of timetable hours (s),252671.51616740227,1172265.9957936,1537891.7371706963
Process Waiting Time (s),146295.35669255257,1019047.2456438518,1438402.6816966534
Accumulated Process Duration (s),6144189.774404049,2.8616863566830233E7,3.763778582124066E7
Cost,320.66989998155174,852.8795910252068,1390.4962524387572


Process Cycle Time (s) distribution
From,To,Count
6144189,9293548,4
9293549,12442908,2
12442909,15592268,4
15592269,18741628,7
18741629,21890988,13
21890989,25040348,9
25040349,28189708,4
28189709,31339068,0
31339069,34488428,7
34488429,37637788,50

Process Waiting Time (s) distribution
From,To,Count
146295,275505,4
275506,404716,4
404717,533927,4
533928,663138,6
663139,792349,13
792350,921560,9
921561,1050771,3
1050772,1179982,0
1179983,1309193,31
1309194,1438404,26

Accumulated Process Duration (s) distribution
From,To,Count
6144189,9293548,4
9293549,12442908,2
12442909,15592268,4
15592269,18741628,7
18741629,21890988,13
21890989,25040348,9
25040349,28189708,4
28189709,31339068,0
31339069,34488428,7
34488429,37637788,50

Process Cost distribution
From,To,Count
320,426,6
427,533,13
534,640,12
641,747,14
748,854,9
855,961,6
962,1068,9
1069,1175,7
1176,1282,15
1283,1389,9

In-timetable Cycle time (s) distribution
From,To,Count
252671,381193,4
381194,509716,2
509717,638239,4
638240,766762,7
766763,895285,12
895286,1023808,10
1023809,1152331,4
1152332,1280854,0
1280855,1409377,3
1409378,1537900,54



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,3.596142855065155E7,1472707.5506515503,1364082.0461816788,608.6869189302126
2,6144189.774404049,252671.51616740227,146295.35669255257,592.2088088737595
3,2.2080444911965847E7,908847.9514102936,830876.2508511543,434.8750845577982
4,1.5979577829345942E7,656065.6163055897,460900.6071305275,1085.7853946169216
5,9073818.8651824,372720.4855468273,248229.7037436962,693.110954521762
6,7312092.794863701,297837.5484852791,187201.7094449997,616.7104987608063
7,1.292239711325121E7,527853.4861690998,376183.63319039345,843.1281216515436
8,2.4661089516640663E7,1010871.0392756462,802705.6293542385,1158.5717725700802
9,3.745900275577474E7,1536117.9725723267,1438402.6816966534,546.4392061975268
10,3.75276520720675E7,1537536.9488534927,1391060.6129009724,814.7154298769104
11,2.0168537515654087E7,826157.5156540871,664033.2991831303,902.8139578885504
12,1.8050082799209595E7,736044.5270285606,554627.2575790882,1010.6939001454248
13,3.763778582124066E7,1536442.199807167,1313663.1066462994,1240.3789761066434
14,6836602.4355659485,279028.869584322,219860.60319304466,331.1606548918617
15,1.4123782086426735E7,579266.3611021042,365284.97455358505,1189.728438345591
16,2.1719817532467604E7,890659.8701059818,675732.8528709412,1195.6825755569666
17,3.760256777632761E7,1537891.7371706963,1370959.9783866405,928.4890448768933
18,2.1673701554560423E7,891123.2090539932,743049.7230453491,823.1472759087882
19,1.8007348639191628E7,737397.4853203297,499136.6064555645,1324.0070894757903
20,2.179109429135847E7,892515.0977246761,664227.5250029564,1268.8426415165266
21,3.734816249900913E7,1535711.8622658253,1319307.8277919292,1203.6793335013917
22,1.885371318419385E7,777893.535774231,649519.2758905888,715.1986833466425
23,1.780013419397664E7,730405.5260632038,640883.0027079582,497.99477246734824
24,3.5657217697858095E7,1458648.5864555836,1275996.8450314999,1015.865933374564
25,2.2109941640078068E7,904562.6526966095,828519.3563811779,424.79517428477607
26,3.541542912951231E7,1450089.12951231,1233429.5289452076,1205.7899929152595
27,2.625567864533615E7,1070886.44348979,955181.6071944237,645.4740626388126
28,3.721099026270723E7,1523568.5457379818,1408691.2110431194,639.2970467925073
29,2.0037081807481766E7,820060.2314989567,729427.1687197685,504.3961444483863
30,9752338.247656584,397616.54936909676,318001.10188412666,442.5529978103108
31,2.278890883144045E7,932966.1862344742,732136.8741154671,1115.9379408425752
32,2.2011096140185356E7,902998.0968177319,779297.9958992004,688.7122958752844
33,3.7032078290462494E7,1517770.9834172726,1431413.3272762299,480.6661502374543
34,3.691042438599563E7,1512549.9580683708,1382605.4114279747,723.947901038329
35,9686249.167120457,398453.9324815273,341158.1893556118,320.66989998155174
36,1.7626372613513947E7,721115.4132225513,579527.6561222076,788.0544784029325
37,1.3895281105116129E7,568487.8992526531,491601.3213276863,428.57364237705866
38,3.523874147479844E7,1445946.2371439934,1310466.9427831173,754.7643157998723
39,1.4657733720068932E7,604296.9139060974,527256.7036342621,429.23841241598126
40,3.638486487603974E7,1491803.0394525528,1320570.2357356548,953.6866623679797
41,2.126994026701641E7,875907.3536250591,680399.9247245789,1086.5923192805712
42,2.1861019942332745E7,899860.8485913277,713714.5587751865,1035.940162401729
43,3.684469047910619E7,1508517.4073710442,1375382.5179052353,745.3434086759887
44,3.670377191222668E7,1498710.2213375568,1285587.1149570942,1186.3542998101975
45,3.504916344596052E7,1431765.3481543064,1263238.9316589832,937.535812869337
46,3.5235397436401606E7,1441637.071844101,1232530.6756103039,1163.4726670702298
47,3.664324196291566E7,1497716.4636647701,1316114.509967804,1009.584910505348
48,2.3941101476095676E7,978686.8947019577,918335.9703791142,335.5930015073882
49,1.7455896630669594E7,711842.2826154232,610192.270109415,566.591716823313
50,1.8297632675866365E7,752288.7250065804,662429.8762700558,503.05611799955363
51,3.677405889033079E7,1506574.4462275505,1350709.501061201,868.5674141963325
52,2.3958584708799124E7,982940.5971240997,874926.6808784008,600.5403042859501
53,2.1176698232175827E7,868582.3363521099,751013.9468357563,655.9758071660996
54,3.5085135411096334E7,1437990.6017010212,1340248.1447937489,543.0547252602048
55,1.9602091883114815E7,803092.9488787651,694394.5192034245,604.3092084844907
56,3.649992387720871E7,1493612.3954033852,1381205.5508790016,626.200544597043
57,2.6992533524848223E7,1106553.144503355,1001637.2178022861,583.3247626622519
58,3.6568098632856846E7,1495708.6021199226,1363765.5582482815,735.1953688475821
59,2.5664081195849895E7,1049050.9592971802,969669.7850244045,442.4752737296952
60,3.502795033221102E7,1435716.3455400467,1301400.1831204891,750.9040742185382
61,2.413438719535756E7,987214.7681157589,809423.7337081432,989.1003605657155
62,3.493601241296959E7,1428117.3412024975,1290268.7078533173,767.5946930898562
63,2.383869029918337E7,974126.0047385693,824781.3071854115,832.9950167775156
64,3.63571859229722E7,1488961.1298635006,1238949.075010538,1390.4962524387572
65,3.6691920122267246E7,1501342.8017163277,1287084.506472826,1193.7892774860065
66,3.471403353380942E7,1426012.8080441952,1207877.8634040356,1213.61427043279
67,3.627732240124917E7,1485886.5992791653,1241374.2275269032,1359.0460919433167
68,3.627147988673949E7,1485175.6154065132,1271452.9052181244,1187.9054590861003
69,3.611013030964661E7,1482974.6065249443,1366018.119070053,651.0387340943018
70,3.6422198359894276E7,1491230.3482320309,1329162.5643804073,900.6679723832342
71,3.631754136275983E7,1486848.3532221317,1269588.9151499271,1207.4748938004172
72,2.0657677648030996E7,852752.3014850616,777509.0735685825,419.17217230002086
73,3.5768386032675266E7,1467408.797475338,1322938.0842928886,804.2612903886372
74,3.637293898895979E7,1493930.7743546963,1256369.986793995,1321.015041319529
75,3.653231036370897E7,1496930.363708973,1259506.34578228,1324.350401810805
76,2.6650370606159925E7,1096353.633994341,871730.8440010548,1248.6328113264506
77,3.4459483512010336E7,1409084.1313092709,1285959.024106264,686.2696472207707
78,2.1116871529263973E7,863167.4989008904,768820.070101738,526.073439163632
79,3.442556700788212E7,1411387.9426982403,1276622.1787791252,749.5515760739645
80,3.458730177595496E7,1414784.584081173,1324180.7894437313,503.7163920945592
81,3.458172469007611E7,1415660.6451377869,1218319.6633491516,1098.9690855383872
82,3.461455515461588E7,1416568.0804543495,1339704.1968417168,429.4666471732987
83,3.620331726572585E7,1483684.759227991,1309290.8425648212,969.9535022642877
84,3.636380365493798E7,1487921.1344835758,1244681.0897872448,1351.6611688454943
85,3.558635582763529E7,1457547.1730275154,1270541.5282700062,1039.3525760703617
86,3.609179144538379E7,1477709.5674967766,1258880.132092476,1215.8613884859615
87,3.4341823121105194E7,1412190.1351473331,1277097.1412041187,753.1463521970643
88,3.613698270698643E7,1480047.0984871387,1240144.4241256714,1333.1179041200212
89,3.613619930173707E7,1482120.7448875904,1263492.9054422379,1215.1639832761548
90,3.447594978293276E7,1414809.7829327583,1212516.943751812,1124.184153620402
91,3.4291647898524284E7,1402739.109899044,1220040.4656608105,1019.4207011712923
92,2.1759388093293667E7,891283.2919726372,800508.0566165447,505.1756666474872
93,3.609639150499964E7,1480698.5505239964,1238995.6079201698,1345.7992085470091
94,3.5455662827492E7,1448707.8256173134,1367121.39168787,456.70970838997096
95,3.606686962627578E7,1478340.0653498173,1264248.5228385925,1190.3422083152666
96,3.445403425239301E7,1410665.113451004,1282483.8371853828,714.0307925025622
97,3.595076139482236E7,1470146.9533958435,1345292.8512461185,694.8056108779377
98,3.619361469525337E7,1480372.3335957527,1234439.3129532337,1369.5167385286752
99,3.600935459319043E7,1471937.5156731606,1370649.348510027,563.6693406290478
100,3.417785410836387E7,1397415.5893352032,1208254.8009123802,1051.7620849423938
