Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,10
Role 2,15
Role 5,46

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,42772.047566966256,1560.1694729328156,80843.66315579414,4319976.804263592,41124.404243695855,0.0,78631.57761788368,4153564.8286132812,998316.2376237623,0.0,1898520.0,1.0082994E8,9.153574018168898,0.031223207049899632,46.052469669448,924.5109758350587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,32994.40152544325,331.58057045936584,78793.5105638504,2903507.334239006,32374.90312502059,0.0,77620.06130695343,2848991.475001812,777423.4090909091,0.0,1833780.0,6.841326E7,3.4420641665958396,0.0,6.519162538316515,302.90164666043387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
Analyze Purchase Requisition,402.7563120642705,240.29100370407104,539.7789649963379,80954.01872491837,1.2481704861370486,0.0,162.3303554058075,250.88226771354675,12580.89552238806,0.0,158460.0,2528760.0,2.2306007865451845,1.3349500205781726,2.9987720277574326,448.3507580955821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,28146.09232268095,480.0194582939148,77664.42258477211,2814609.232268095,26890.230388498305,0.0,77238.96553444862,2689023.0388498306,657367.8,0.0,1894920.0,6.573678E7,6.97701074545913,2.363650279574924,11.287872359487746,697.701074545913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,33928.71172082931,135.11482095718384,151231.16877293587,6378597.803515911,32590.30740298743,0.0,148741.38745737076,6126977.791761637,786063.1914893617,0.0,3480120.0,1.4777988E8,7.4355795435660275,0.7506378942065769,16.32839532163408,1397.8889541904132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Approve Purchase Order for payment,24049.1616022563,60.0,148256.09390449524,2404916.16022563,23989.1616022563,0.0,148196.09390449524,2398916.16022563,563914.8,0.0,3480120.0,5.639148E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,78486.57419156312,0.0,243897.82352161407,7848657.419156313,78486.57419156312,0.0,243897.82352161407,7848657.419156313,1845034.8,0.0,5645340.0,1.8450348E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,19503.059799602033,0.0,75316.45148468018,1950305.9799602032,19503.059799602033,0.0,75316.45148468018,1950305.9799602032,449391.0,0.0,1894920.0,4.49391E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,68093.0701623559,401.7266380786896,147790.3917877674,6809307.01623559,67542.00229548216,0.0,147388.76407074928,6754200.229548216,1589578.8,0.0,3480120.0,1.5895788E8,3.061488149298561,2.003277047475179,4.33306387397978,306.1488149298561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,37913.88569744587,967.5595362186432,79700.56460475922,3791388.569744587,36021.00427191973,0.0,78759.502835989,3602100.4271919727,888364.4176401019,27712.039550304413,1893583.5054428577,8.883644176401019E7,10.516007919589681,1.8310303701294792,18.80589676035775,1051.600791958968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,41760.70021041393,2905.6712589263916,158113.09805369377,4176070.0210413933,28929.611787173748,0.0,147730.93155622482,2892961.178717375,985378.2,3660.0,3642240.0,9.853782E7,71.2838245735566,12.862025570869445,120.89122847583559,7128.382457355659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,344.2631769537926,3.43609356880188,1326.7414140701294,34426.31769537926,0.0,0.0,0.0,0.0,4864.2,0.0,154860.0,486420.0,3.8251464105976947,0.038178817431132,14.741571267445883,382.5146410597695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,325776.88530799863,24364.05022740364,673998.5978243351,3.2577688530799866E7,227602.41125745059,0.0,508580.0748758316,2.2760241125745058E7,7621902.0,580020.0,1.586586E7,7.621902E8,545.4137447252668,84.40907666153377,980.5700956741969,54541.37447252669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,48158.91506578207,347.1931354999542,238237.9674127102,4815891.506578207,47589.5975985837,0.0,237715.50165367126,4758959.75985837,1132801.8,0.0,5476020.0,1.1328018E8,3.1628748177687322,1.3890141354666816,4.9957073940171135,316.2874817768732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,296.1746723127365,60.0,21581.07646226883,29617.46723127365,236.1746723127365,0.0,21521.07646226883,23617.46723127365,6304.8,0.0,529560.0,630480.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,22550.82682076454,142.7031283378601,244217.91266202927,2255082.682076454,22263.719331505297,0.0,243827.29845547676,2226371.93315053,549631.8,0.0,5645340.0,5.496318E7,1.5950416069957947,0.6942044960127937,2.330919130643209,159.50416069957947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,250761.8361288047,0.0,511576.7332570553,2.507618361288047E7,250761.8361288047,0.0,511576.7332570553,2.507618361288047E7,5844459.6,0.0,1.20111E7,5.8444596E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,35357.33489049673,574.2765986919403,142117.84911632538,3535733.489049673,33926.077279014586,0.0,140730.96971726418,3392607.7279014587,831123.6,0.0,3386400.0,8.311236E7,7.951431174900801,2.3342316349347434,14.132566554016536,795.14311749008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,99548.03751429796,14282.300400018692,187595.58991217613,9954803.751429796,66468.22301061869,0.0,143213.05677056313,6646822.301061869,2340756.6,374640.0,4405980.0,2.3407566E8,183.77674724266274,79.34611333343717,290.42925333314474,18377.674724266275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,89803.65719335957,238.53970313072205,244274.09641098976,5118808.460021496,81174.32767763472,0.0,232606.57677555084,4626936.677625179,2102149.4736842103,0.0,5645340.0,1.1982252E8,47.94071953180474,0.4297671304808723,205.43021125661002,2732.62101331287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7538966.146163225,3.097338307941149E7,3.819497740147495E7
Process Cycle Time excluding out of timetable hours (s),311185.1461632252,1268765.2617713786,1568568.6414747238
Process Waiting Time (s),200234.67446255684,1107776.900167482,1447985.5324149132
Accumulated Process Duration (s),7538966.146163225,3.097338307941149E7,3.819497740147495E7
Cost,318.27582778400836,896.2927175137069,1388.4718296991452


Process Cycle Time (s) distribution
From,To,Count
7538966,10604567,2
10604568,13670169,2
13670170,16735771,3
16735772,19801373,3
19801374,22866975,13
22866976,25932577,5
25932578,28998179,5
28998180,32063781,5
32063782,35129383,3
35129384,38194985,59

Process Waiting Time (s) distribution
From,To,Count
200234,325009,3
325010,449785,2
449786,574561,2
574562,699337,8
699338,824113,11
824114,948889,3
948890,1073665,7
1073666,1198441,2
1198442,1323217,20
1323218,1447993,42

Accumulated Process Duration (s) distribution
From,To,Count
7538966,10604567,2
10604568,13670169,2
13670170,16735771,3
16735772,19801373,3
19801374,22866975,13
22866976,25932577,5
25932578,28998179,5
28998180,32063781,5
32063782,35129383,3
35129384,38194985,59

Process Cost distribution
From,To,Count
318,425,2
426,533,6
534,641,11
642,749,10
750,857,11
858,965,20
966,1073,13
1074,1181,14
1182,1289,9
1290,1397,4

In-timetable Cycle time (s) distribution
From,To,Count
311185,436923,2
436924,562662,3
562663,688401,2
688402,814140,5
814141,939879,11
939880,1065618,5
1065619,1191357,5
1191358,1317096,5
1317097,1442835,3
1442836,1568574,59



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7538966.146163225,311185.1461632252,200234.67446255684,618.5067331300843
2,9180885.146003008,375596.9297454357,287356.76532125473,491.415161608325
3,1.8678327067291737E7,767255.0277414322,621205.3312785625,812.0041948517164
4,1.5135766303149223E7,622336.3305923939,470288.69408631325,845.5447031087347
5,3.819497740147495E7,1568568.6414747238,1405450.1417229176,908.8206010447609
6,1.0794826546068907E7,442660.7393710613,236582.09343385696,1147.0932833976215
7,1.5125537249222517E7,622969.8351757526,425214.0328683853,1098.662435560756
8,2.1170322305416107E7,869282.1126689911,703828.4178049564,920.1427601390417
9,3.809682084807086E7,1558549.4657874107,1327154.055220604,1286.2929419755935
10,2.660300462365508E7,1087159.2672977448,877255.3595507145,1166.2081393520036
11,1.0747843721386433E7,439739.6372497082,358761.16862654686,450.1472069819768
12,1.9901469955280542E7,817197.7492918968,680626.1211984158,760.1101236952676
13,3.6223900135184765E7,1486388.829767704,1349960.0694007874,760.6347623931038
14,2.471675792702341E7,1009088.6541340351,823284.9885838032,1034.4289999339314
15,2.8393724224959373E7,1160730.1943116188,1035099.9482629299,698.4550118658279
16,2.959697270336938E7,1212222.9356467724,1041449.9382321835,949.489569164647
17,2.9581824443474293E7,1209466.5083436966,1034315.2206940651,975.5610331429376
18,3.613221555255318E7,1476801.7758214474,1326640.0988845825,836.4406816138163
19,3.602733479446173E7,1472773.5225625038,1297806.3243842125,973.597586754958
20,1.9868250676767588E7,810870.1315350533,584362.9462609291,1260.7947908043861
21,2.953632959374237E7,1209757.6531968117,1012857.9136989117,1095.403166562981
22,1.9852696815246105E7,812547.9317107201,755306.5927972794,318.27582778400836
23,3.811580382538438E7,1561365.764802456,1396434.659659624,918.1560973167419
24,3.7860903649721146E7,1550645.3657319546,1415876.5957462788,749.1268165893026
25,3.7936920212679625E7,1554658.6640191078,1359647.8649718761,1084.243274532424
26,2.0918477728940725E7,853478.1769123077,705537.1886341572,823.3659634047084
27,1.8473724939244747E7,756791.2034938335,612858.2749619484,800.091240480211
28,1.3708838459061146E7,560468.5332903862,475504.0676767826,474.0775220049752
29,2.277401203068924E7,931838.8933141232,760255.255890131,953.6266922447419
30,1.9736952913740873E7,805102.6867086887,679575.9145894051,704.7417418519657
31,2.0863126550884485E7,852458.8753268719,642150.8072171211,1170.5890189528466
32,2.8201111220203876E7,1154521.3217015266,990637.8214821815,917.4075093295838
33,2.1805994765880585E7,892965.7042825222,690177.0123417377,1129.5727506743533
34,2.4383666765973568E7,997765.7002909184,837098.377573967,895.4116771022478
35,2.273676321735263E7,927810.3523976803,737985.9224619865,1058.546868126922
36,2.2342243080896854E7,916701.2911100388,703809.444517374,1183.3302010509701
37,3.6789667900567055E7,1502167.9005670547,1252775.3408002853,1388.4718296991452
38,3.798299858651781E7,1551448.2029850483,1336252.9979679585,1199.5923461940552
39,2.080054326798916E7,847236.6903977394,694775.5859262943,851.7899994797176
40,3.677158476922369E7,1504210.8281564713,1338433.254627943,923.2185434513622
41,3.678797888112712E7,1504966.704902172,1326243.0800309181,995.422577861945
42,2.0765162418885946E7,846829.4873147011,749027.9626307487,543.8305915448399
43,2.9295576042678356E7,1200770.1308526993,1073655.6955199242,708.4329144040744
44,3.715546487742162E7,1523747.3882787228,1289020.056607008,1306.036634780301
45,3.791570916682768E7,1553894.2222652435,1351954.0724256039,1122.3076088746388
46,3.791091862577939E7,1552491.179479599,1447985.5324149132,583.8096072104244
47,3.770513248662424E7,1543810.2417347431,1387518.0012135506,869.0757063455053
48,2.34498670785985E7,963386.3568212986,755636.125587225,1154.3738454553813
49,2.9220062450031996E7,1200036.3753643036,1089350.4115185738,617.7889971123801
50,3.568629980241871E7,1463838.1377811432,1264094.1339626312,1111.3676472412214
51,2.159538323523259E7,886586.4773523808,728870.5724458694,876.981496164534
52,3.751033135993457E7,1537661.2377951145,1347097.149822235,1059.6960188375579
53,3.714116491578913E7,1522834.2624719143,1337446.5509457588,1030.2326164298588
54,3.557372643174052E7,1458117.5358572006,1236390.4136309624,1235.957595398691
55,3.756586670305276E7,1543176.0997536182,1397467.3261883259,811.8105490816964
56,3.634304344525409E7,1491243.0734319687,1327295.0175430775,918.1444003833665
57,3.755119221536183E7,1541009.444460392,1335385.1488070488,1146.1285539719793
58,3.533276652598429E7,1446912.0110094547,1316624.2480142117,725.1457800030709
59,3.707510445100927E7,1516193.2798790932,1367202.7236886024,828.4449899024434
60,3.6421590455482244E7,1487784.9416823387,1261858.1857717037,1256.781290139092
61,3.682169782269192E7,1510882.2946903706,1340792.889488697,948.8569673763382
62,2.4034357544890642E7,981222.2517380714,792798.8536553383,1051.8050344864528
63,3.6374910488957405E7,1488224.9648172855,1378527.005531311,611.911842400498
64,3.5480669568953514E7,1454097.7325754166,1341895.1244170666,627.7740021189055
65,3.6770589070812464E7,1510142.880194664,1331715.2163021564,991.5103268225988
66,3.631271405936432E7,1489106.834872961,1332097.9921216965,872.7859326945411
67,3.68745806417613E7,1510324.0589187145,1337516.5778460503,961.136965886752
68,3.751329316599202E7,1536604.4583716393,1301951.0852985382,1304.6809890376196
69,3.719505948564124E7,1521872.7509391308,1336363.069744587,1031.7149660494592
70,3.666244321054745E7,1504235.0351409912,1420100.8784091473,470.4072001576423
71,2.3743175132838964E7,969761.0441718102,873643.6292119026,535.7433774564001
72,3.7141771174375534E7,1517153.6858935356,1392910.6791274548,693.2850529140898
73,3.721735683783293E7,1524864.7602143288,1360724.1672451496,913.7785850935512
74,3.53000479465282E7,1443014.9282476902,1319948.0448391438,686.3632885707749
75,2.7492038392089844E7,1124662.190120697,969816.83731246,863.2070841073989
76,3.669559793840432E7,1502381.8575277328,1399330.033514738,576.315155404144
77,3.729140816650534E7,1527328.1218283176,1344049.2605416775,1020.3355485849911
78,3.5916167461172104E7,1475354.3731572628,1402877.467316866,403.0427866776784
79,3.5879303200466394E7,1474017.6670520306,1372990.0836014748,564.9591691785389
80,3.5265858984323025E7,1444647.2496054173,1320604.9156508446,690.1520945217875
81,3.69824168179121E7,1515119.9246218204,1378072.2183458805,762.0212136573263
82,3.722195932547593E7,1524848.1396038532,1310338.8437168598,1194.0847208420435
83,2.854894856262636E7,1172908.42304492,1076922.9950077534,534.4373423046536
84,3.655102775613713E7,1500683.6265552044,1379361.399078846,675.9008576472601
85,3.499070247304726E7,1436358.809301138,1343280.5644803047,519.1103803912799
86,3.658876860392356E7,1501638.783823967,1341613.6124362946,890.7380273209678
87,3.5082819368020535E7,1439164.3363928795,1219820.9149296284,1219.3628178411059
88,3.696885447709942E7,1515574.4770994186,1310775.3067924976,1143.0989820798238
89,3.68875627541213E7,1510857.363399744,1403804.7468440533,595.4166892488798
90,3.570484325856209E7,1467736.3438751698,1303377.1245296001,913.8805952403281
91,3.690479103410959E7,1513049.0479476452,1341022.278404951,955.8418101429941
92,3.56984505285933E7,1468834.231504202,1260810.6415510178,1157.313970075713
93,3.646270577784443E7,1496656.1178126335,1415454.652477026,452.4859662055969
94,3.688812847215462E7,1509238.2393040657,1350913.436270237,880.5283255259196
95,3.6488706752850056E7,1490723.247407198,1374447.264877081,649.3160808179114
96,3.687842921023393E7,1506454.8017055988,1317422.842596054,1050.9429788470266
97,3.493236378212404E7,1427699.7441105843,1221016.6453790665,1149.0769613186515
98,3.680032722233844E7,1507716.9260122776,1285519.5429258347,1234.6712000343534
99,3.678897336665678E7,1509857.6969861984,1275428.5839810371,1302.5757824381192
100,3.668005846901703E7,1501432.992984295,1322682.898357153,993.5414513548216
