Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,6
Role 2,10
Role 5,56

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,39918.845970728966,1149.1483960151672,70527.18567585945,3872128.0591607094,38274.50137958084,565.5723717212677,68759.41878914833,3712626.6338193417,935341.8556701031,0.0,1736400.0,9.072816E7,9.135247728600673,0.05978536473380195,44.849322799841566,886.1190296742652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Amend Request for Quotation,19706.721052913956,0.0,70640.1583480835,1950965.3842384815,19108.71387036882,0.0,69889.65192627907,1891762.6731665134,458189.0909090909,0.0,1736400.0,4.536072E7,3.3222621252507336,0.0,6.509314493338267,328.90395039982263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,385.6311438858207,240.0344681739807,682.7647922039032,75969.33534550667,1.8896844556488968,0.0,238.796621799469,372.26783776283264,7989.746192893401,0.0,158460.0,1573980.0,2.1318969968342873,1.3335248231887817,2.9961690968937345,419.9837083763546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Analyze Quotation Comparison Map,26736.490238389968,413.8273367881775,70684.59041953087,2673649.023838997,25596.287913491728,0.0,69953.39990234375,2559628.7913491726,622784.4,0.0,1736400.0,6.227844E7,6.334457360545795,2.150247073173523,11.27850028011534,633.4457360545795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,34818.10464525462,412.1642942428589,153865.66324424744,6928802.82440567,33466.40638142016,0.0,152278.2732949257,6659814.869902611,818134.9748743719,0.0,3732240.0,1.6280886E8,7.509441616600414,0.0,15.567661689387428,1494.3788817034824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,19069.45542067051,60.0,142265.1332631111,1906945.542067051,19009.45542067051,0.0,142205.1332631111,1900945.542067051,441466.2,0.0,3278400.0,4.414662E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,111990.85089927912,0.0,377587.3742954731,1.1199085089927912E7,111990.85089927912,0.0,377587.3742954731,1.1199085089927912E7,2612651.4,0.0,8902020.0,2.6126514E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,20626.267612378597,0.0,69463.68577504158,2062626.7612378597,20626.267612378597,0.0,69463.68577504158,2062626.7612378597,478684.8,0.0,1736400.0,4.786848E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,55489.47091861248,568.3929371833801,153819.1832268238,5548947.091861248,54914.80595589876,0.0,153229.9092104435,5491480.595589876,1302665.4,0.0,3634980.0,1.3026654E8,3.1925831261873263,2.0232982171906366,4.324322463406457,319.25831261873265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,32750.730010261537,480.11987805366516,72086.70006394386,3275073.0010261536,30944.223194241524,0.0,69752.01848459244,3094422.3194241524,763894.5173938274,20638.869025945663,1736380.4436469078,7.638945173938274E7,10.03614897788896,1.9925203773710463,18.90305055114958,1003.614897788896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,30690.62177027941,2495.1706783771515,160014.7669045925,3069062.1770279408,19335.092197327613,0.0,152239.73205566406,1933509.2197327614,718106.4,0.0,3653100.0,7.181064E7,63.08627540528774,13.862059324317508,119.36263324817021,6308.627540528774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,305.3911169838905,27.489224910736084,1655.6590595245361,30539.111698389053,0.0,0.0,0.0,0.0,5009.4,0.0,158460.0,500940.0,3.3932346331543415,0.30543583234151206,18.396211772494844,339.32346331543414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,305099.0179812551,15481.444385766983,615625.6253144741,3.0509901798125505E7,211503.34640989304,0.0,462222.09760165215,2.1150334640989304E7,7146313.2,327900.0,1.449684E7,7.1463132E8,519.9759531742335,70.2842606306076,966.1701996154255,51997.59531742335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Pay Invoice,58247.20120301485,264.98096919059753,370036.06784152985,5824720.120301485,57691.70197033882,0.0,369575.0978798866,5769170.197033882,1370501.4,0.0,8628240.0,1.3705014E8,3.0861068482001626,1.3747060669793023,4.962245500087738,308.6106848200163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,1435.1032254624367,60.0,53525.104580163956,143510.32254624367,1375.1032254624367,0.0,53465.104580163956,137510.32254624367,31163.4,0.0,1163700.0,3116340.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,34270.32891657829,128.4051275253296,379671.2227547169,3427032.8916578293,34009.257678439615,0.0,379265.72038936615,3400925.7678439617,780942.0,0.0,8952420.0,7.80942E7,1.4503957674370866,0.6892457511689928,2.331194517347548,145.03957674370866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,232670.83332510234,0.0,469711.1796014309,2.3267083332510233E7,232670.83332510234,0.0,469711.1796014309,2.3267083332510233E7,5477612.4,0.0,1.102038E7,5.4776124E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,28190.581592879294,662.8817687034607,153974.82876181602,2819058.1592879295,26772.926207973956,0.0,152589.16556954384,2677292.6207973957,660685.2,0.0,3649440.0,6.606852E7,7.875863249474102,0.09493206077151828,13.899976680013868,787.5863249474102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,87228.59380943299,17688.796012163162,189977.56202602386,8722859.380943298,54445.97006662369,0.0,150574.29306817055,5444597.006662369,2038713.0,374700.0,4387980.0,2.038713E8,182.12568746005155,81.11301391124725,287.57472771141266,18212.568746005156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,114094.17459715497,3356.732419490814,388361.4617948532,6275179.602843523,101047.51627894749,0.0,377453.1926908493,5557613.395342112,2663969.4545454546,43260.0,9204600.0,1.4651832E8,72.48143510115266,1.0733980814615884,295.9206591102812,3986.4789305633963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4004380.846012354,3.0156924122803334E7,3.841058354335284E7
Process Cycle Time excluding out of timetable hours (s),168784.58028936386,1235830.6054095125,1569283.9035534859
Process Waiting Time (s),87373.3314833641,1079108.020477805,1465408.4155032635
Accumulated Process Duration (s),4004380.846012354,3.0156924907494344E7,3.841058354335284E7
Cost,313.86008033090167,872.3820176763005,1468.2962007986173


Process Cycle Time (s) distribution
From,To,Count
4004380,7445000,1
7445001,10885621,4
10885622,14326242,6
14326243,17766863,1
17766864,21207484,10
21207485,24648105,12
24648106,28088726,4
28088727,31529347,0
31529348,34969968,0
34969969,38410589,62

Process Waiting Time (s) distribution
From,To,Count
87373,225176,2
225177,362980,5
362981,500784,5
500785,638588,2
638589,776392,14
776393,914196,6
914197,1052000,4
1052001,1189804,0
1189805,1327608,23
1327609,1465412,39

Accumulated Process Duration (s) distribution
From,To,Count
4004380,7445000,1
7445001,10885621,4
10885622,14326242,6
14326243,17766863,1
17766864,21207484,10
21207485,24648105,12
24648106,28088726,4
28088727,31529347,0
31529348,34969968,0
34969969,38410589,62

Process Cost distribution
From,To,Count
313,428,4
429,544,12
545,660,17
661,776,10
777,892,10
893,1008,10
1009,1124,8
1125,1240,16
1241,1356,12
1357,1472,1

In-timetable Cycle time (s) distribution
From,To,Count
168784,308833,1
308834,448883,4
448884,588933,6
588934,728983,2
728984,869033,9
869034,1009083,12
1009084,1149133,4
1149134,1289183,0
1289184,1429233,0
1429234,1569283,62



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.418909911688447E7,581098.11688447,360812.8211746216,1225.7695263504982
2,4004380.846012354,168784.58028936386,87373.3314833641,453.37831819719736
3,8177590.457833767,339251.5888078213,249874.84118294716,497.61505372391804
4,2.2394431187208176E7,918702.8869969845,699993.3827712536,1216.3041055732303
5,1.1853045767472267E7,491293.9092719555,263637.1571857929,1265.0494544996152
6,3.757776508327055E7,1541663.8399500847,1465408.4155032635,425.0332516577509
7,9148444.612345219,376251.2163102627,215077.76497149467,896.4994723253781
8,1.4132397147785187E7,578566.7861189842,428216.62095427513,843.2655206375653
9,9265568.188451767,382212.39001202583,279573.9075715542,573.2396194431517
10,1.7097148847938776E7,698128.847938776,469296.6191353798,1272.1678129169675
11,9218196.26693368,374484.3031103611,252976.46554398537,675.4683837480015
12,3.804608006532502E7,1556733.6712005138,1322546.2469043732,1301.3804852353198
13,3.8207027746157885E7,1561415.3179326057,1451693.3276154995,611.3210852291849
14,1.7876003459575653E7,732326.1713480949,652297.585214138,446.7981443021032
15,3.8014964160478115E7,1558584.3204526901,1406300.2946751118,846.8634352087976
16,2.036699116641903E7,837041.6149616241,660863.3441617489,980.1284828013845
17,3.831896356203294E7,1569283.9035534859,1444111.6735789776,695.8314998441274
18,3.841058354335284E7,1568871.852358818,1333818.3349254131,1306.9992253104845
19,1.7842032966516733E7,726080.331199646,652701.3870177269,408.8006858030954
20,3.743641340808463E7,1530449.1101219654,1434480.0819678307,533.8825805240208
21,2.568127961337471E7,1049727.0040295124,938548.5652532578,617.9402709205946
22,1.2007400441074848E7,489673.7066757679,379448.4006783962,614.0800591733721
23,1.3897145049379587E7,566783.8860807419,421152.212805748,810.7627561767897
24,2.1467591824582815E7,881345.1309177876,651241.1449136734,1282.3358268565598
25,1.3737969781719923E7,560148.1383769512,442690.4927382469,653.050654674901
26,1.796497617291379E7,735004.7069470882,552838.3129677773,1012.5279769010015
27,2.3822726083242893E7,974242.4430754185,838429.2156453133,756.6818724155427
28,2.0175336642973423E7,828561.4251117706,683781.3624193668,806.1065353420047
29,3.709830034570408E7,1523901.6911537647,1377317.0089495182,816.6786643650797
30,3.751020829677367E7,1537625.4669175148,1311840.7539212704,1256.5982206847932
31,3.750446052499986E7,1536456.0932712555,1438148.354445219,548.1162457850246
32,2.435760644658518E7,1000168.9277422428,885037.3798794746,641.4398900482391
33,1.821044332190585E7,743983.296125412,637470.1227684021,592.9631281654041
34,2.5209381272322893E7,1034890.9224667549,933514.8075520992,566.2777606540255
35,3.7033596168614626E7,1515388.1855666637,1282617.7011623383,1294.440025545491
36,3.78380433514545E7,1552503.1010751724,1431680.1718108654,671.4982594821189
37,3.7008432760168314E7,1520896.3974192142,1379696.9372682571,786.3034297148388
38,2.0069345989934683E7,825863.9321210384,644405.0157532692,1008.2578088482221
39,3.775232817263675E7,1550270.6574890614,1410415.748812437,778.0620639522872
40,3.714477645583892E7,1524508.088292122,1325465.3830723763,1109.6195708367559
41,1.778911890688753E7,730631.4100809097,640961.6057789326,503.552643222279
42,3.688852274937129E7,1510794.2220520973,1391213.3932824135,665.6063105199072
43,2.2363002587323666E7,915169.835668087,728358.4717838764,1039.8084617429308
44,3.755085319756508E7,1539840.857931614,1399569.0020430088,783.0730058378643
45,3.73570271148901E7,1531492.0706541538,1432615.8539142609,551.031188551585
46,3.684808270344877E7,1511083.3976171017,1402014.9801545143,608.3594433373876
47,3.7798182089980125E7,1553444.4146852493,1345386.238456726,1158.6017810291712
48,1.9954101809791803E7,815516.9410936832,641898.857106924,965.2179231087368
49,3.791337251997256E7,1549652.068407774,1388008.7707176208,899.1900180710687
50,3.797628716136742E7,1550523.3752448559,1330662.1836676598,1222.2519483513302
51,3.761322509788132E7,1536991.744509697,1432190.760850191,588.9563540736833
52,2.138334390421748E7,877112.8951804638,696061.2294011116,1008.3882195115091
53,2.5255302813307285E7,1031385.2556185722,823668.9816710949,1155.4412852353516
54,3.7951838577662945E7,1552755.6475682259,1310382.185006857,1355.7173423382972
55,3.763330643015933E7,1540039.3108406067,1318424.9187910557,1233.7849709471068
56,3.707150447843361E7,1520543.6649725437,1319834.3585813046,1116.2621922704907
57,3.6809376314327955E7,1510741.055514574,1404556.5080285072,591.4120432628525
58,3.692919725730705E7,1514767.4863078594,1341540.834407568,965.1650071713661
59,3.702372295383215E7,1521428.9545793533,1303464.3488428593,1214.0133826401498
60,2.1175949458312273E7,867833.0443558693,747649.1418550014,670.4380451387831
61,2.151871263488388E7,878921.9048476219,717721.8527550697,896.1673809197214
62,3.752873638396573E7,1537462.6599590778,1315539.5248105526,1233.529325260056
63,2.1250862496388674E7,874357.7574658394,748681.1247718334,699.1636277357738
64,3.67040905416379E7,1503970.4560976028,1408862.113222599,532.2188602924349
65,3.74726554761498E7,1534395.4266667366,1452659.0358638763,455.8795727716551
66,3.756549028591943E7,1543431.5597589016,1339654.0833001137,1132.4385438428985
67,3.669057874306774E7,1507635.1172754765,1390491.2518808842,651.9509677357145
68,2.4239023308784246E7,992351.7337138653,803645.044598341,1049.2092759357556
69,2.3960660662418127E7,982845.2749676704,851829.128194809,728.4009893086222
70,3.7499697874607325E7,1537919.8569085598,1340127.9069845676,1099.2359534462294
71,3.676790478445363E7,1501735.4440643787,1273663.6287989616,1268.4989116774661
72,3.7623632939463615E7,1536820.581613779,1383560.8371944427,852.5725827177365
73,3.701266896593356E7,1514171.9549257755,1323680.6044492722,1063.1966876731976
74,3.737600037864447E7,1532463.8373332024,1294521.5208024979,1323.80795706643
75,3.7360948509042025E7,1530068.0504977703,1436707.8947901726,519.5783251735899
76,3.6809855660708904E7,1511344.930094719,1434696.4496531487,427.28636280298224
77,3.738683692270422E7,1534944.9378304482,1271184.9689126015,1468.2962007986173
78,3.692931281475639E7,1512379.9268431664,1312258.6650321484,1111.9641702426802
79,2.3172162450541973E7,949727.4240446091,836469.2542700768,630.9446010881002
80,3.724989151573062E7,1526975.2275950909,1408734.5395534039,657.2955949717099
81,3.688953539129615E7,1509552.914009571,1349528.2036743164,889.4419249826009
82,3.6664709468682766E7,1501331.64741683,1413320.4058918953,489.40754341151967
83,3.643243669441962E7,1497308.08989048,1381863.1311769485,642.2924814833536
84,3.659047390393853E7,1499171.2623698711,1364214.79830575,750.1750769482719
85,3.6409644204196215E7,1491477.7636506557,1283639.4923346043,1155.2175732559626
86,3.742396435020542E7,1534667.7491207123,1353437.6273391247,1008.8876570648619
87,3.742065409705663E7,1535878.3996403217,1307748.523351431,1268.0172328140998
88,3.751331220544958E7,1537903.0371735096,1312831.752796173,1251.539985177252
89,3.725489505239582E7,1531690.6926727295,1436633.6105856895,529.2064353108406
90,3.634450552498436E7,1489423.363106966,1282805.136291027,1148.1357751594649
91,3.737160248829126E7,1530068.9614450932,1312338.5853614807,1210.3549597673943
92,2.4496454147639513E7,1005725.8986878395,926663.6108632088,439.4571849385897
93,3.6921799341073036E7,1516466.8494007587,1334863.1987946033,1009.3730509294405
94,3.7171190508631945E7,1526757.1215407848,1319659.5405437946,1151.865089637703
95,3.690706697069049E7,1515831.6921796799,1297187.5941929817,1215.9188850071694
96,2.4723113931700706E7,1013369.759758234,957058.7009863853,313.86008033090167
97,3.741246255563617E7,1526962.1119892597,1397171.9032886028,725.8505108157793
98,3.7053205093744755E7,1514011.6536283493,1307767.898516655,1146.9439610136878
99,3.7145260705721855E7,1518892.792056799,1299970.363633871,1219.0353060788577
100,3.707260785245681E7,1517729.106149435,1432153.219315052,475.7764318042331
