Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,49
Role 2,80
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1570.2774208711119,8.125727415084839,6119.792794466019,153887.18724536896,0.0,0.0,0.0,0.0,27871.836734693876,0.0,201720.0,2731440.0,8.723763449283956,0.04514293008380466,33.99884885814455,854.9288180298277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Amend Request for Quotation,616.9795047962803,139.27314114570618,1076.531235218048,53677.21691727638,0.0,0.0,0.0,0.0,21363.44827586207,0.0,158460.0,1858620.0,3.4276639155348905,0.773739673031701,5.980729084544712,298.2067606515355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
Analyze Purchase Requisition,390.6917794099962,241.09700393676758,536.9196894168854,77356.97232317924,0.0,0.0,0.0,0.0,8242.727272727272,0.0,158460.0,1632060.0,2.1705098856110894,1.3394277996487087,2.982887163427141,429.76095735099574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Analyze Quotation Comparison Map,1208.7828714990617,377.330286026001,2016.2136569023132,120878.28714990616,0.0,0.0,0.0,0.0,21078.0,0.0,158460.0,2107800.0,6.71546039721701,2.0962793668111166,11.20118698279063,671.5460397217009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,46255.70685191205,445.7227072715759,159876.89345788956,8649817.181307554,44902.20800273304,0.0,158450.51668596268,8396712.896511078,1075392.834224599,0.0,3732240.0,2.0109846E8,7.522060686997974,0.0,15.350879467858208,1406.625348468621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
Approve Purchase Order for payment,32761.42399987936,60.0,143357.901116848,3276142.399987936,32701.42399987936,0.0,143297.901116848,3270142.399987936,768436.2,0.0,3408060.0,7.684362E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,514.0886116027832,0.0,3315.4280591011047,51408.86116027832,514.0886116027832,0.0,3315.4280591011047,51408.86116027832,32416.2,0.0,158460.0,3241620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,76761.31876280784,372.09341049194336,160242.74302887917,7676131.876280785,76198.73567633629,0.0,159574.55717110634,7619873.567633629,1799755.2,0.0,3728700.0,1.7997552E8,3.1254615915086537,2.0223063853051926,4.297465961509281,312.5461591508654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1901.1028473353385,333.3692591190338,3365.794267654419,190110.28473353386,0.0,0.0,0.0,0.0,58980.477995646,0.0,157970.77870106697,5898047.7995646,10.561682485196325,1.852051439550188,18.69885704252455,1056.1682485196325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87323.3289885044,2726.994024991989,177638.37991452217,8732332.898850441,75504.57195290565,0.0,159806.07034397125,7550457.1952905655,2045776.8,3660.0,4218600.0,2.0457768E8,65.65976130888198,12.95219029188156,120.7318261914783,6565.976130888199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,315.1090577983856,0.7938644886016846,1081.9941821098328,31510.905779838562,0.0,0.0,0.0,0.0,9510.6,0.0,158460.0,951060.0,3.5012117533153986,0.008820716540018718,12.022157578998142,350.12117533153986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,283036.5227815008,29666.157484292984,668161.9238266945,2.830365227815008E7,180163.1188695407,0.0,496700.17679047585,1.801631188695407E7,6629659.8,630480.0,1.566054E7,6.6296598E8,571.5189106220006,83.32287587192323,952.5652613123258,57151.89106220006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Pay Invoice,1440.4238677167893,240.03644394874573,4556.126688241959,144042.38677167892,869.6615218305587,0.0,4192.990730047226,86966.15218305588,16614.6,0.0,158460.0,1661460.0,3.170901921590168,1.333535799715254,4.897744451628791,317.0901921590168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1477.8,0.0,72060.0,147780.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,389.4569311594963,120.41063690185547,929.4937136173248,38945.69311594963,133.99817264318466,0.0,636.8553285598755,13399.817264318466,34826.4,0.0,158460.0,3482640.0,1.4192153250906205,0.668947982788086,2.3023136536280315,141.92153250906205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,207057.48222602368,0.0,499531.957903862,2.0705748222602367E7,207057.48222602368,0.0,499531.957903862,2.0705748222602367E7,4808455.2,0.0,1.160406E7,4.8084552E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56285.09558581352,559.6384882926941,158133.2950732708,5628509.558581352,54885.02329665661,0.0,157100.1750433445,5488502.329665661,1322949.6,0.0,3685500.0,1.3229496E8,7.778179384205072,2.164496580759684,14.106883478164672,777.8179384205072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,120245.0651029706,28638.498705625534,191181.74836587906,1.202450651029706E7,84606.59298807383,0.0,158099.16729283333,8460659.298807383,2812016.4,738480.0,4470840.0,2.8120164E8,197.99151174942654,83.08885700835123,292.3825888739692,19799.151174942654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9308.698390658696,1118.9140496253967,36765.69437789917,418891.42757964134,374.1372236993578,0.0,3695.750512123108,16836.1750664711,228238.66666666666,0.0,987060.0,1.027074E7,49.63645092755188,0.2558759848276774,200.76852565341525,2233.6402917398345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3665353.17256546,2.350070197948399E7,3.1435050967262506E7
Process Cycle Time excluding out of timetable hours (s),151872.1725654602,962835.5014883423,1287338.1326124668
Process Waiting Time (s),81470.89617395401,796770.1880312681,1089799.1529037952
Accumulated Process Duration (s),3665353.17256546,2.350070197948399E7,3.1435050967262506E7
Cost,339.83271089527335,924.3405849675073,1413.6084425701035


Process Cycle Time (s) distribution
From,To,Count
3665353,6442322,1
6442323,9219292,5
9219293,11996262,6
11996263,14773232,3
14773233,17550202,7
17550203,20327172,4
20327173,23104142,5
23104143,25881112,8
25881113,28658082,54
28658083,31435052,7

Process Waiting Time (s) distribution
From,To,Count
81470,182302,3
182303,283135,5
283136,383968,6
383969,484801,2
484802,585634,5
585635,686467,6
686468,787300,5
787301,888133,7
888134,988966,35
988967,1089799,26

Accumulated Process Duration (s) distribution
From,To,Count
3665353,6442322,1
6442323,9219292,5
9219293,11996262,6
11996263,14773232,3
14773233,17550202,7
17550203,20327172,4
20327173,23104142,5
23104143,25881112,8
25881113,28658082,54
28658083,31435052,7

Process Cost distribution
From,To,Count
339,446,6
447,554,4
555,662,7
663,770,11
771,878,15
879,986,18
987,1094,8
1095,1202,9
1203,1310,17
1311,1418,5

In-timetable Cycle time (s) distribution
From,To,Count
151872,265418,1
265419,378965,5
378966,492512,6
492513,606059,3
606060,719606,7
719607,833153,4
833154,946700,5
946701,1060247,8
1060248,1173794,54
1173795,1287341,7



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,3665353.17256546,151872.1725654602,81470.89617395401,394.890767165025
2,8173716.154278517,336677.5141699314,177068.1322968006,887.6027516033914
3,8216193.311628342,342694.28626966476,175260.58669781685,932.9065224395858
4,8145462.934459448,332856.663895607,218930.03609275818,636.8956942942409
5,9051638.309324265,370423.7485220432,229082.59172177315,785.3247654583719
6,7297267.693555355,298047.34549188614,190462.57504439354,598.4997754030759
7,3.069541507244873E7,1258688.4494731426,1033205.0342915058,1253.528849438826
8,1.0509263816737413E7,432540.85690665245,296258.0467224121,760.746534187264
9,1.1659191838594913E7,476691.8385949135,253865.84047937393,1239.878913629055
10,1.5709064403997421E7,638439.9950721264,491626.0907418728,816.4844603339831
11,9818414.72619605,399927.0985326767,286664.84536361694,631.8230435093245
12,2.8599110975149155E7,1170731.2065308094,991243.3660290241,997.5927250862122
13,2.103366376231885E7,856888.3000061512,736997.5471241474,666.3056140489049
14,1.5653110383688688E7,638467.7394378185,513464.61921548843,696.600003414684
15,1.5250955682292223E7,624889.6223590374,449329.60167336464,980.3442054682308
16,1.1561426816340685E7,472762.23067855835,272486.8905451298,1113.6490537828868
17,1.6487849550215483E7,679314.3240303993,527721.0437831879,845.7749126036963
18,1.4311557785669327E7,584979.853048563,371858.46918845177,1185.5326403326458
19,1.3171821245260477E7,543539.4876339436,355248.49222278595,1046.7745087650087
20,1.609855670339036E7,659883.1161165237,518656.09269046783,786.4064683967168
21,1.0934844709712029E7,451224.7097120285,293588.2748093605,878.8169795579381
22,1.312881077969718E7,538989.7176785469,396527.3861980438,793.5087670154043
23,1.9162566854317904E7,786494.623688221,645227.1737384796,785.23742140664
24,1.1708203099133015E7,479427.8041706085,354758.1413140297,698.6203168816036
25,2.841685905134797E7,1163374.0768196583,1009984.1461026669,852.6500413272117
26,1.4889601469035864E7,612241.0478816032,499942.3545703888,626.2402414414619
27,2.315902807995248E7,948374.1968460083,799841.6070361137,825.1854648576843
28,2.8375588318572998E7,1164076.5662531853,978014.1904838085,1037.3541380233237
29,1.813265399802518E7,741491.748550415,590440.4936015606,840.6553605000179
30,2.3719557358645916E7,967369.2944130898,736986.0940213203,1282.6839491910403
31,2.811578092952776E7,1148138.0130980015,985539.522288084,904.2240871177779
32,2.8273030772733927E7,1157234.412213564,942854.546394825,1192.9796928021642
33,2.0655943049966097E7,845811.3897747993,687245.8454391956,882.8572217331994
34,2.4370162558932543E7,996639.0597975254,795957.2633099556,1115.863115514649
35,2.2012891642642736E7,901406.1532702446,681126.9558722973,1224.618784564071
36,2.8659008168322086E7,1177663.923911333,937766.183406353,1333.7946778906712
37,2.8200905925581694E7,1155097.870182991,919815.9406373501,1308.363270649645
38,2.8233359056844473E7,1158280.000616312,1089799.1529037952,381.174912794431
39,1.8855631321547747E7,772321.8236649036,630836.0756928921,786.935695567396
40,2.4530270025214672E7,1003047.8146431446,815303.5490374565,1045.2934472865527
41,2.193657495337224E7,901885.6674396992,728113.8554320335,965.840872361925
42,2.3653834022324562E7,968731.2654500008,793582.9273576736,973.5178595582646
43,2.363766465318656E7,966585.8902230263,794278.2403707504,958.2772520277236
44,2.0683009709894896E7,850330.1257236004,767801.1316988468,460.48566664324863
45,1.9375985704965353E7,793111.1680817604,658526.4864771366,747.9845971928703
46,1.6683982280013323E7,687330.562543869,626805.8816974163,339.83271089527335
47,2.8062789427288532E7,1149981.0530667305,996706.3953139782,853.6659528401163
48,2.8046508056544065E7,1147735.503607273,1072722.953107357,418.45817447900765
49,2.8079849026500463E7,1151826.3223760128,1047549.664075613,580.6091364370453
50,2.6808533515739202E7,1097787.1213796139,877981.1502242088,1226.7955340173507
51,2.8609308583982944E7,1172527.750086546,1048371.3960027695,690.957421134578
52,2.4201196452382803E7,996736.452382803,829479.0839025974,933.3406259271835
53,2.797786559828067E7,1141918.725559473,940464.2100632191,1119.5769245386123
54,2.8221739692764044E7,1151209.4627132416,924426.9772195816,1260.247430940469
55,3.07298250671978E7,1255876.334024191,1016455.8345458508,1331.2406144301096
56,2.7982720214253664E7,1145457.4857029915,972782.772598505,960.5039022445679
57,2.7969706592681408E7,1146473.6754078865,923505.0322248936,1242.8512679073547
58,2.5319619572090387E7,1035789.537055254,905017.3636968136,727.2743193533686
59,2.7994988095899343E7,1149163.4664149284,895430.503490448,1413.6084425701035
60,2.7880313859928608E7,1142196.5593094826,958151.4860289097,1023.0020820246804
61,2.7913069836994886E7,1145721.574682951,913970.0720202923,1289.1138595369125
62,2.7898711759643793E7,1145424.1072704792,921559.8467068672,1245.0722537411582
63,2.880079963430381E7,1178929.370202303,991902.6988112926,1039.7849053303403
64,2.7871861558073282E7,1146602.7399599552,908734.4530770779,1324.3370923439659
65,2.780929614370632E7,1137763.3405764103,980502.7748556137,874.6323163217969
66,2.8056024309265137E7,1149919.9649803638,933326.8661255836,1205.7187105523215
67,2.782939478049016E7,1142593.2903988361,917553.4787156582,1251.860684103436
68,2.781371275696826E7,1137303.186417818,920229.4862258434,1206.9926768130724
69,2.861827878446722E7,1170510.6133069992,1011195.6206362247,887.9081630640559
70,2.778496593364215E7,1136493.3103563786,1003995.5057079792,736.8777633945148
71,3.0749542712323904E7,1258261.386226654,1026055.5239853859,1292.3166739066442
72,2.9281733999173164E7,1195128.2593808174,1038974.0421061516,868.2699082003701
73,2.774487939990902E7,1134965.0679051876,962677.827988863,959.7239518456989
74,2.772916011719179E7,1133265.946199894,921268.6778917313,1180.761518828074
75,2.7715817289575815E7,1133908.5043261051,928704.0256943703,1142.7241034468013
76,2.7703090818171263E7,1135213.2270116806,958398.6449389458,982.7927723248802
77,2.774105437771797E7,1136641.4662566185,907752.8264920712,1272.7316997117466
78,2.767492677045226E7,1135013.7694091797,992193.7954652309,793.9744065152275
79,2.8477294348387003E7,1166092.1874899864,1002866.8404974937,907.7363217353821
80,2.7647025969725847E7,1135143.6722671986,912833.2597794533,1236.1490896079274
81,2.7587179121812105E7,1132559.235193491,972054.8420474529,896.349006228977
82,2.7573104838139534E7,1132444.3375298977,994519.5571818352,768.8930623385642
83,2.760320843586588E7,1129706.4929585457,927672.7010903358,1126.979259898927
84,2.758959790355897E7,1130017.8016915321,1014927.216668129,640.905093726847
85,2.7574880894572258E7,1129277.201429367,1031975.1853897572,541.8040645917257
86,2.7562739352415323E7,1131099.2964687347,958382.6887123585,961.0736707435715
87,2.7503096167161226E7,1128669.2439920902,1066099.9734184742,349.6066517154375
88,2.784610418149948E7,1139908.693308115,964507.2302308083,974.6524925563072
89,2.7519179940547705E7,1129653.7825155258,1064058.648466587,366.99113144212293
90,2.8111094844462395E7,1152734.8444623947,924441.0796692371,1268.3795182665187
91,3.1435050967262506E7,1287338.1326124668,1046524.9164998531,1339.2563691086239
92,2.74778916562593E7,1126829.8491261005,930221.5368998051,1092.3734317289457
93,2.7465212262950897E7,1128135.6149725914,1040850.9101393223,485.97636862198505
94,2.7451796681277275E7,1128713.169326067,1028007.9315605164,560.6522565166156
95,2.743644502459693E7,1127350.4719676971,911866.4572114944,1199.1943657384975
96,2.7422756181272984E7,1120625.4025719166,937831.2573883533,1015.8581477324169
97,2.7408426696806908E7,1120301.0198500156,1040084.2848103046,449.06433372100196
98,2.739387930678177E7,1119746.6135540009,981803.8980083466,766.8116254938975
99,2.738149413378668E7,1121332.6255645752,999600.3764009476,677.4555990099908
100,2.7366671470029354E7,1120537.1100428104,946282.8031258583,969.6125932375589
