Resource utilization
Resource,Utilization %
Role 1,7
SYSTEM,0
Role 4,0
Role 6,0
Role 3,14
Role 2,23
Role 5,43

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,37369.98251868571,681.2329127788544,62721.64018821716,4185438.0420928,35817.810035507595,0.0,60497.44415998459,4011594.7239768505,877876.6071428572,0.0,1491480.0,9.832218E7,8.623180462100674,0.14555053578482735,43.23765156401528,965.7962117552755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
Amend Request for Quotation,22185.47165749384,167.009845495224,61110.3661608696,3061595.08873415,21531.763614006664,0.0,59997.955124139786,2971383.3787329197,521803.9130434783,0.0,1484220.0,7.200894E7,3.635933663370913,0.0,7.71763338247935,501.758845545186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138
Analyze Purchase Requisition,384.81768014183587,241.3302321434021,624.7734405994415,81581.3481900692,1.5097126083553962,0.0,143.39290308952332,320.059072971344,8530.754716981131,0.0,158460.0,1808520.0,2.129488708519336,1.3407235119077894,2.9951201505131193,451.4516062060992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
Analyze Quotation Comparison Map,21353.594370906354,365.44551515579224,60446.49931740761,2135359.4370906353,20153.859096264838,0.0,59490.49766588211,2015385.909626484,498964.2,0.0,1462620.0,4.989642E7,6.665195970230634,2.0302528619766234,11.217227053642272,666.5195970230634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,30927.81339976868,227.8780882358551,114300.27361035347,7360819.589144945,29538.015528485554,0.0,113255.44353890419,7030047.695779562,720750.5042016807,0.0,2647980.0,1.7153862E8,7.721099284906235,0.08756698369979858,14.644687076409658,1837.621629807684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
Approve Purchase Order for payment,24785.098746774198,60.0,109133.4782307148,2478509.8746774197,24725.098746774198,0.0,109073.4782307148,2472509.8746774197,573932.4,0.0,2554260.0,5.739324E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,59572.67081019402,0.0,177765.36441230774,5957267.081019402,59572.67081019402,0.0,177765.36441230774,5957267.081019402,1382002.2,0.0,4132200.0,1.3820022E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,16930.995529186726,0.0,59424.12452125549,1693099.5529186726,16930.995529186726,0.0,59424.12452125549,1693099.5529186726,402336.6,0.0,1462620.0,4.023366E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,49795.57799136639,363.6673331260681,110024.563986063,4979557.799136639,49212.92639150381,0.0,109542.69822359085,4921292.639150381,1165298.4,0.0,2493060.0,1.1652984E8,3.236953332569864,2.0203740729226007,4.315920245647431,323.6953332569864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,31229.894669573307,395.2039625644684,61962.56357526779,3122989.4669573307,29472.59588611126,0.0,59940.69952774048,2947259.588611126,723693.818676827,6827.854903459549,1434941.6762490273,7.23693818676827E7,9.7627710192336,1.6684127304289076,18.69944891797172,976.2771019233601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,34963.005390999315,2667.58288025856,115224.5723836422,3496300.5390999317,23945.186995413304,0.0,103835.72818517685,2394518.6995413303,816241.2,3660.0,2647920.0,8.162412E7,61.210102197700095,14.427397092183432,120.45619869497088,6121.01021977001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,338.26137199401853,13.485274076461792,1131.714194059372,33826.137199401855,0.0,0.0,0.0,0.0,4611.6,0.0,97260.0,461160.0,3.758459688822428,0.14983637862735324,12.574602156215244,375.8459688822428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,281308.23056248185,30181.517148971558,616909.1827299595,2.8130823056248188E7,183517.2253429413,0.0,462402.07639861107,1.835172253429413E7,6591837.0,583680.0,1.45005E7,6.591837E8,543.2833623307814,74.39946111838023,980.136887523863,54328.33623307814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212
Pay Invoice,39839.78383304119,248.37236332893372,170499.1805355549,3983978.383304119,39263.22123001337,0.0,169976.1843316555,3926322.123001337,950790.0,0.0,4056480.0,9.5079E7,3.2031255723767806,1.346685814857483,4.9932626207669575,320.31255723767805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,1143.3149423742295,60.0,48627.70182323456,114331.49423742294,1083.3149423742295,0.0,48567.70182323456,108331.49423742294,28999.8,0.0,1160040.0,2899980.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,14765.520875709057,120.5633270740509,187748.40111541748,1476552.0875709057,14493.035486338138,0.0,187424.37123036385,1449303.5486338139,331487.4,0.0,4405980.0,3.314874E7,1.5138077187273238,0.669796261522505,2.33119527498881,151.38077187273237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,206237.0585507941,0.0,463633.3957788944,2.0623705855079412E7,206237.0585507941,0.0,463633.3957788944,2.0623705855079412E7,4838979.0,0.0,1.094466E7,4.838979E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,29375.972873201372,438.8607723712921,109092.71863651276,2937597.287320137,27975.381930224896,0.0,107883.09995341301,2797538.1930224895,697641.6,0.0,2568660.0,6.976416E7,7.781060794313746,2.252542069223192,13.76436964670817,778.1060794313746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,85681.75966101169,17309.622039794922,160157.9061255455,8568175.96610117,52738.210411977765,0.0,111146.0319545269,5273821.041197777,1994085.0,327840.0,3714300.0,1.994085E8,183.01971805018843,82.48535586198172,289.50167250765696,18301.971805018842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,52819.45783631537,1557.222597360611,188747.43432307243,2376875.6026341915,42547.255265892876,0.0,177075.19519138336,1914626.4869651794,1239054.6666666667,0.0,4405980.0,5.575746E7,57.06779205790269,0.29276706642574735,203.98570710288155,2568.0506426056213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3920764.018883705,2.6063241255564395E7,3.4370701686425924E7
Process Cycle Time excluding out of timetable hours (s),165808.75736045837,1067983.8368875694,1403281.6864259243
Process Waiting Time (s),85500.1202442646,908600.5047953868,1281507.8929023743
Accumulated Process Duration (s),3920764.018883705,2.6063241255564395E7,3.4370701686425924E7
Cost,316.679618467225,887.3480127008092,1432.8457353565427


Process Cycle Time (s) distribution
From,To,Count
3920764,6965757,2
6965758,10010751,3
10010752,13055745,4
13055746,16100739,7
16100740,19145733,10
19145734,22190727,7
22190728,25235721,9
25235722,28280715,3
28280716,31325709,0
31325710,34370703,55

Process Waiting Time (s) distribution
From,To,Count
85500,205100,3
205101,324701,6
324702,444302,3
444303,563903,10
563904,683504,6
683505,803105,10
803106,922706,4
922707,1042307,3
1042308,1161908,21
1161909,1281509,34

Accumulated Process Duration (s) distribution
From,To,Count
3920764,6965757,2
6965758,10010751,3
10010752,13055745,4
13055746,16100739,7
16100740,19145733,10
19145734,22190727,7
22190728,25235721,9
25235722,28280715,3
28280716,31325709,0
31325710,34370703,55

Process Cost distribution
From,To,Count
316,427,5
428,539,11
540,651,14
652,763,8
764,875,13
876,987,5
988,1099,16
1100,1211,11
1212,1323,9
1324,1435,8

In-timetable Cycle time (s) distribution
From,To,Count
165808,289555,2
289556,413303,3
413304,537051,4
537052,660799,7
660800,784547,9
784548,908295,8
908296,1032043,9
1032044,1155791,3
1155792,1279539,0
1279540,1403287,55



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.3415156664001465E7,549295.6640014648,305988.1383969784,1352.2475094199178
2,4755638.899722576,195429.9905064106,102124.7546646595,520.884286998378
3,1.9381452833972454E7,793144.9146795273,677402.6746053696,646.3845700197752
4,8104431.326869726,334468.27396559715,208577.3409922123,703.0135390573079
5,3920764.018883705,165808.75736045837,85500.1202442646,447.17761210600526
6,1.1924504432462215E7,490256.5775587559,377299.960955143,630.7893531335727
7,1.3890523717360497E7,563006.5999262333,421682.47292613983,787.41180164814
8,7823599.87890625,321482.3826007843,202357.74686479568,664.1254613796871
9,3.317556880967641E7,1357112.418226719,1140007.0649712086,1209.3350127471815
10,9565611.76286459,393663.0929443836,207353.81337952614,1039.0630190319487
11,1.318654055012989E7,538990.5549268723,303222.0466272831,1311.29808296495
12,1.3159326803921223E7,540005.1064345837,345585.5300273895,1080.2707157042291
13,3.3333147216204166E7,1368370.5337007046,1254348.1602852345,638.9847746504679
14,2.053329341340375E7,840876.3330273628,671475.5696418285,942.8745058973632
15,1.6537428070983648E7,673964.0924682617,529166.1108047962,805.1247232953707
16,2.031131022169614E7,831897.4213933945,587216.3720252514,1361.5628568079735
17,2.4151764070094824E7,987703.2888519764,783929.5601887703,1132.9899249209295
18,3.317696070971775E7,1359102.138388157,1211423.6690557003,821.1540924429894
19,1.908448298592639E7,779682.9859263897,722727.00542593,316.679618467225
20,3.4370701686425924E7,1403281.6864259243,1227418.4506938457,977.9561295655038
21,3.2996119079199314E7,1350029.688147068,1274925.4881689548,420.5953490058581
22,1.7256767901584387E7,701947.5405981541,472681.53538274765,1275.1781377540692
23,2.02712898381145E7,828765.493874073,737657.163248539,507.8478521294064
24,3.2959187632674456E7,1346952.4966359138,1234874.5888855457,624.1510335485142
25,1.2899910704664707E7,527389.1328949928,312596.4143331051,1194.3414440433185
26,2.350307800180912E7,966075.9543848038,819535.5267231464,815.3698754906654
27,3.3933914927042484E7,1389491.5209720135,1166937.3224699497,1237.9608943687545
28,3.3167962749789715E7,1360877.0020940304,1152776.6457550526,1158.315965982278
29,3.411206368277025E7,1400935.5776076317,1150328.6157870293,1393.7539165748487
30,3.409400836603403E7,1398161.2041509151,1219682.5771381855,991.9087493684556
31,1.0165167284226656E7,419577.50942754745,304045.4567756653,643.3830664475759
32,1.635902351142931E7,669304.2479126453,560245.806885004,608.9671297735638
33,2.3605204245515347E7,966631.5473306179,726336.7202250957,1335.8254374914698
34,3.277529670179057E7,1344253.4694252014,1259419.1108186245,471.5656856801774
35,2.4270063754868507E7,991572.9432208538,768772.7836630344,1239.9640279981822
36,1.6287372077413082E7,666285.8855295181,457590.2446067333,1160.807274356153
37,3.372366469433141E7,1382104.9403545856,1201898.0370531082,1001.3690262132221
38,3.2957800305012703E7,1355226.8161756992,1215395.1622161865,777.9189655674828
39,1.2727126769308329E7,521536.2838189602,450169.9743900299,398.443919274542
40,3.2690851726635218E7,1342293.4290323257,1175787.2057914734,925.188730524646
41,1.8696453672135353E7,767546.0144891739,571007.6629433632,1092.0498048517438
42,1.4690499327924013E7,604128.7113411427,471711.95709347725,737.723398578167
43,3.2876160467051744E7,1349700.4670517445,1238506.0457687378,618.4514267245929
44,1.9947213978538036E7,812534.4201481342,737806.2914376259,417.9148601479
45,3.260251159204817E7,1334589.1462225914,1246398.055027485,490.7981612165769
46,1.625565587270999E7,667278.66639781,561095.0305342674,590.8539567470551
47,3.366501952944207E7,1377473.7819776535,1161191.0240523815,1202.1172936161356
48,1.5999936731914997E7,655985.0126669407,504300.66797852516,842.8984926859539
49,3.2709046573266506E7,1342927.9568855762,1133195.5309841633,1165.3069440590011
50,3.369980417606354E7,1382226.7903108597,1257781.1074635983,691.8602183765836
51,3.368942446531272E7,1377861.8310272694,1201819.836914301,981.2242202983964
52,1.8481591831645012E7,757344.346218586,562789.061907053,1081.4689856833884
53,1.855504373402047E7,759424.4161834717,572586.8137087822,1042.5499935189882
54,3.359031933061314E7,1374200.060399294,1280737.1722376347,519.9650859898991
55,2.304617143830514E7,947570.1733829975,803628.0167791843,800.8124360693827
56,3.365698039568615E7,1377151.036696434,1237810.5943243504,777.7578761696817
57,3.35727159117887E7,1373129.718812704,1192840.8950359821,1003.6411529673472
58,2.5103298517816782E7,1025550.9454915524,824305.6113414764,1122.3035884102187
59,3.2611336581915855E7,1336921.75303936,1150182.9902279377,1039.0778859496113
60,3.2559600714437246E7,1332240.7144372463,1112538.9585812092,1223.024946978357
61,3.3384730179013252E7,1365962.9714550972,1206227.5812473297,887.8832061012587
62,1.5819509290595293E7,646408.1832807064,560756.0749447346,476.709867339664
63,3.223385622971344E7,1320290.2671880722,1103691.9092211723,1204.6414983312286
64,3.2474574671552896E7,1331420.8712449074,1267834.5640881062,353.8181328654288
65,2.4915502665453672E7,1021299.4284029007,866278.5096919537,864.0316653675504
66,3.3448259439004183E7,1372403.852084875,1115463.1613192558,1432.8457353565427
67,3.344719053227544E7,1373110.5322754383,1216403.445055008,872.0003692441517
68,2.1514496694279194E7,882356.6942791939,785851.6154022217,537.3366141133838
69,3.2379907593260765E7,1325032.7429449558,1201285.3639593124,691.6352636959818
70,3.332503128358388E7,1364783.0017447472,1139900.2272846699,1251.1388254298101
71,3.332279080376458E7,1365255.584180355,1145524.320174694,1223.1287350177765
72,3.23533791198318E7,1324001.8891501427,1224482.810280323,552.9586896883119
73,3.2451953552947998E7,1332051.829223156,1079255.9747738838,1404.8636499590343
74,3.330903514228654E7,1363897.5609908104,1168956.9361019135,1084.2750671068825
75,3.3200048877553463E7,1361532.0122656822,1281507.8929023743,447.80448795424576
76,1.945339741497326E7,799234.990757227,675969.1515414715,685.3968770212598
77,2.6625726687744856E7,1092567.429616928,961993.5402331352,726.4850639541944
78,3.2143827146105528E7,1322985.3689117432,1126695.3836801052,1093.2228443225222
79,3.2110707154006958E7,1314106.3462536335,1101953.0339446068,1184.9168139060337
80,2.598839139772749E7,1064792.5576245785,948098.1699929237,648.6861653076278
81,3.2369146885874033E7,1329610.4307618141,1103144.4166018963,1260.435402671496
82,3.347208322816682E7,1371379.2496535778,1137655.4729278088,1301.5278927379184
83,2.2671531441071033E7,933155.4211843014,742771.0256342888,1059.4499697526296
84,3.3277896008498907E7,1364538.770416975,1122521.1707627773,1345.2198634412553
85,1.9026968282045126E7,784810.7637672424,700068.7593581676,476.02033807171716
86,3.204023697143483E7,1309160.8356411457,1102028.0888576508,1151.521044027805
87,3.225285624249053E7,1317018.467798233,1212629.3642225266,581.9405414144198
88,3.3408867562262535E7,1363120.414861679,1112989.8070209026,1392.65682246685
89,2.294984657414031E7,939912.5821561813,754519.509241581,1033.2699287374817
90,3.3217568428371906E7,1361356.08934474,1210000.3531544209,842.1968410319754
91,3.1998046826275587E7,1311608.4108428955,1122592.4124093056,1052.9464926600456
92,2.5859281336025953E7,1058164.534772396,952984.4580860138,585.0359808312522
93,3.1955694871528625E7,1308637.8394372463,1130440.0408177376,990.7474209838444
94,3.1942736571947336E7,1309486.0286927223,1206451.556039095,577.2028594493866
95,3.2103561848218918E7,1315248.1385715008,1182433.123481989,741.2038137382931
96,3.2961240813117027E7,1349974.0982205868,1206421.807674408,800.6380350708962
97,3.193343355563283E7,1312808.3402233124,1161930.6190066338,840.6771032015483
98,3.21830458054657E7,1320550.544418335,1221688.6979367733,549.744403272205
99,3.3131784894643307E7,1362823.2183942795,1183003.3975260258,1000.9148208790357
100,3.309911466348052E7,1358783.9356405735,1266950.4655044079,513.68732266691
