Resource utilization
Resource,Utilization %
Role 1,0
Role 10,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
Amend Request for Quotation,605.1007646954578,0.0,1185.4617569446564,69586.58793997765,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,1.0,1.0,4.202088643718457,0.0,8.23237331211567,483.2401940276226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),0.0,695.8524632382392,4388.130045175552
Process Cycle Time excluding out of timetable hours (s),-1.309282181770986E9,671.1220570983309,4388.130045175552
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),0.0,695.8758793997764,4388.130045175552
Cost,0.0,4.832401940276225,30.473125313719116


Process Cycle Time (s) distribution
From,To,Count
0,438,55
439,877,14
878,1316,11
1317,1755,5
1756,2194,7
2195,2633,1
2634,3072,3
3073,3511,2
3512,3950,0
3951,4389,2

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
0,438,55
439,877,14
878,1316,11
1317,1755,5
1756,2194,7
2195,2633,1
2634,3072,3
3073,3511,2
3512,3950,0
3951,4389,2

Process Cost distribution
From,To,Count
0,3,60
4,7,15
8,11,9
12,15,9
16,19,3
20,23,2
24,27,0
28,31,2
32,35,0
36,39,0

In-timetable Cycle time (s) distribution
From,To,Count
-1309282182,-1178353526,1
-1178353525,-1047424869,0
-1047424868,-916496212,0
-916496211,-785567555,0
-785567554,-654638898,0
-654638897,-523710241,0
-523710240,-392781584,0
-392781583,-261852927,0
-261852926,-130924270,0
-130924269,4387,99



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1523.300799369812,1523.300799369812,0.0,10.578477773401472
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,651.3323240280151,651.3323240280151,0.0,4.523141139083439
5,1302.0907771587372,1302.0907771587372,0.0,9.042297063602343
6,0.0,0.0,0.0,0.0
7,4388.130045175552,4388.130045175552,0.0,30.473125313719116
8,0.0,0.0,0.0,0.0
9,615.9510688781738,615.9510688781738,0.0,4.277437978320652
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,3211.538646221161,3211.538646221161,0.0,22.30235170986917
13,1113.4905490875244,1113.4905490875244,0.0,7.732573257552253
14,515.1635999679565,515.1635999679565,0.0,3.577524999777476
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,1342.1961953639984,1342.1961953639984,0.0,9.32080691224999
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,714.0819725990295,714.0819725990295,0.0,4.95890258749326
22,1037.378045797348,1037.378045797348,0.0,7.204014206926027
23,0.0,0.0,0.0,0.0
24,921.8712389469147,921.8712389469147,0.0,6.4018836037980185
25,1159.4507875442505,1159.4507875442505,0.0,8.051741580168406
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,794.2490282058716,794.2490282058716,0.0,5.515618251429664
29,1548.1361010074615,1548.1361010074615,0.0,10.750945145885149
30,264.7340774536133,264.7340774536133,0.0,1.83843109342787
31,1934.7806675434113,1934.7806675434113,0.0,13.435976857940355
32,340.9414086341858,340.9414086341858,0.0,2.3676486710707345
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,757.338392496109,757.338392496109,0.0,5.25929439233409
38,712.6662127971649,712.6662127971649,0.0,4.949070922202534
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,2795.5609922409058,2795.5609922409058,0.0,19.41361800167296
43,0.0,0.0,0.0,0.0
44,452.2992308139801,452.2992308139801,0.0,3.1409668806526394
45,949.4572291374207,949.4572291374207,0.0,6.5934529801209765
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,3143.1626710891724,-1.309282181770986E9,0.0,21.843779772520065
50,2831.4451456069946,2831.4451456069946,0.0,19.662813511159683
51,2663.11568236351,2663.11568236351,0.0,18.493858905302154
52,1995.609351158142,1995.609351158142,0.0,13.858398271931542
53,0.0,0.0,0.0,0.0
54,1909.0840072631836,1909.0840072631836,0.0,13.257527828216553
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,1770.838639497757,1770.838639497757,0.0,12.297490552067757
58,547.5779740810394,547.5779740810394,0.0,3.8026248200072184
59,0.0,0.0,0.0,0.0
60,516.727564573288,516.727564573288,0.0,3.5883858650922775
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,4128.050940752029,4128.050940752029,0.0,28.66702042188909
64,1753.5927920341492,1752.5927920341492,0.0,12.170783278014925
65,635.8674175739288,635.8674175739288,0.0,4.415745955374506
66,0.0,0.0,0.0,0.0
67,1384.8476173877716,1384.8476173877716,0.0,9.616997342970636
68,0.0,0.0,0.0,0.0
69,1866.4931192398071,1866.4931192398071,0.0,12.961757772498661
70,1297.1775736808777,1297.1775736808777,0.0,9.008177595006096
71,0.0,0.0,0.0,0.0
72,711.6753857135773,711.6753857135773,0.0,4.942190178566509
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,432.1690969467163,432.1690969467163,0.0,3.0011742843521967
76,0.0,0.0,0.0,0.0
77,1869.9110691547394,1869.9110691547394,0.0,12.985493535796802
78,0.0,0.0,0.0,0.0
79,1120.5222008228302,1120.5222008228302,0.0,7.781404172380766
80,1279.341445684433,1279.341445684433,0.0,8.884315595030785
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,424.84542536735535,424.84542536735535,0.0,2.9503154539399676
84,2034.5521790981293,2034.5521790981293,0.0,14.128834577070343
85,607.642404794693,607.642404794693,0.0,4.219738922185368
86,0.0,0.0,0.0,0.0
87,226.82110953330994,226.82110953330994,0.0,1.575146593981319
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,990.0573284626007,990.0573284626007,0.0,6.875398114323616
91,0.0,0.0,0.0,0.0
92,125.17214608192444,125.17214608192444,0.0,0.8692510144578086
93,274.7590048313141,274.7590048313141,0.0,1.9080486446619034
94,0.0,0.0,0.0,0.0
95,1232.7344727516174,1232.7344727516174,0.0,8.56065606077512
96,0.0,0.0,0.0,0.0
97,2229.68656873703,2229.68656873703,0.0,15.483934505118263
98,0.0,0.0,0.0,0.0
99,535.62659907341,535.62659907341,0.0,3.719629160232014
100,0.0,0.0,0.0,0.0
