Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 45,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666665,0.4166666666666667,0.4166666666666667,41.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),60.0,60.0,60.0
Process Cycle Time excluding out of timetable hours (s),60.0,60.0,60.0
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),60.0,60.0,60.0
Cost,0.4166666666666667,0.4166666666666665,0.4166666666666667


Process Cycle Time (s) distribution
From,To,Count
60,59,100
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
60,59,100
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0

Process Cost distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

In-timetable Cycle time (s) distribution
From,To,Count
60,59,100
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0
60,59,0



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,60.0,60.0,0.0,0.4166666666666667
2,60.0,60.0,0.0,0.4166666666666667
3,60.0,60.0,0.0,0.4166666666666667
4,60.0,60.0,0.0,0.4166666666666667
5,60.0,60.0,0.0,0.4166666666666667
6,60.0,60.0,0.0,0.4166666666666667
7,60.0,60.0,0.0,0.4166666666666667
8,60.0,60.0,0.0,0.4166666666666667
9,60.0,60.0,0.0,0.4166666666666667
10,60.0,60.0,0.0,0.4166666666666667
11,60.0,60.0,0.0,0.4166666666666667
12,60.0,60.0,0.0,0.4166666666666667
13,60.0,60.0,0.0,0.4166666666666667
14,60.0,60.0,0.0,0.4166666666666667
15,60.0,60.0,0.0,0.4166666666666667
16,60.0,60.0,0.0,0.4166666666666667
17,60.0,60.0,0.0,0.4166666666666667
18,60.0,60.0,0.0,0.4166666666666667
19,60.0,60.0,0.0,0.4166666666666667
20,60.0,60.0,0.0,0.4166666666666667
21,60.0,60.0,0.0,0.4166666666666667
22,60.0,60.0,0.0,0.4166666666666667
23,60.0,60.0,0.0,0.4166666666666667
24,60.0,60.0,0.0,0.4166666666666667
25,60.0,60.0,0.0,0.4166666666666667
26,60.0,60.0,0.0,0.4166666666666667
27,60.0,60.0,0.0,0.4166666666666667
28,60.0,60.0,0.0,0.4166666666666667
29,60.0,60.0,0.0,0.4166666666666667
30,60.0,60.0,0.0,0.4166666666666667
31,60.0,60.0,0.0,0.4166666666666667
32,60.0,60.0,0.0,0.4166666666666667
33,60.0,60.0,0.0,0.4166666666666667
34,60.0,60.0,0.0,0.4166666666666667
35,60.0,60.0,0.0,0.4166666666666667
36,60.0,60.0,0.0,0.4166666666666667
37,60.0,60.0,0.0,0.4166666666666667
38,60.0,60.0,0.0,0.4166666666666667
39,60.0,60.0,0.0,0.4166666666666667
40,60.0,60.0,0.0,0.4166666666666667
41,60.0,60.0,0.0,0.4166666666666667
42,60.0,60.0,0.0,0.4166666666666667
43,60.0,60.0,0.0,0.4166666666666667
44,60.0,60.0,0.0,0.4166666666666667
45,60.0,60.0,0.0,0.4166666666666667
46,60.0,60.0,0.0,0.4166666666666667
47,60.0,60.0,0.0,0.4166666666666667
48,60.0,60.0,0.0,0.4166666666666667
49,60.0,60.0,0.0,0.4166666666666667
50,60.0,60.0,0.0,0.4166666666666667
51,60.0,60.0,0.0,0.4166666666666667
52,60.0,60.0,0.0,0.4166666666666667
53,60.0,60.0,0.0,0.4166666666666667
54,60.0,60.0,0.0,0.4166666666666667
55,60.0,60.0,0.0,0.4166666666666667
56,60.0,60.0,0.0,0.4166666666666667
57,60.0,60.0,0.0,0.4166666666666667
58,60.0,60.0,0.0,0.4166666666666667
59,60.0,60.0,0.0,0.4166666666666667
60,60.0,60.0,0.0,0.4166666666666667
61,60.0,60.0,0.0,0.4166666666666667
62,60.0,60.0,0.0,0.4166666666666667
63,60.0,60.0,0.0,0.4166666666666667
64,60.0,60.0,0.0,0.4166666666666667
65,60.0,60.0,0.0,0.4166666666666667
66,60.0,60.0,0.0,0.4166666666666667
67,60.0,60.0,0.0,0.4166666666666667
68,60.0,60.0,0.0,0.4166666666666667
69,60.0,60.0,0.0,0.4166666666666667
70,60.0,60.0,0.0,0.4166666666666667
71,60.0,60.0,0.0,0.4166666666666667
72,60.0,60.0,0.0,0.4166666666666667
73,60.0,60.0,0.0,0.4166666666666667
74,60.0,60.0,0.0,0.4166666666666667
75,60.0,60.0,0.0,0.4166666666666667
76,60.0,60.0,0.0,0.4166666666666667
77,60.0,60.0,0.0,0.4166666666666667
78,60.0,60.0,0.0,0.4166666666666667
79,60.0,60.0,0.0,0.4166666666666667
80,60.0,60.0,0.0,0.4166666666666667
81,60.0,60.0,0.0,0.4166666666666667
82,60.0,60.0,0.0,0.4166666666666667
83,60.0,60.0,0.0,0.4166666666666667
84,60.0,60.0,0.0,0.4166666666666667
85,60.0,60.0,0.0,0.4166666666666667
86,60.0,60.0,0.0,0.4166666666666667
87,60.0,60.0,0.0,0.4166666666666667
88,60.0,60.0,0.0,0.4166666666666667
89,60.0,60.0,0.0,0.4166666666666667
90,60.0,60.0,0.0,0.4166666666666667
91,60.0,60.0,0.0,0.4166666666666667
92,60.0,60.0,0.0,0.4166666666666667
93,60.0,60.0,0.0,0.4166666666666667
94,60.0,60.0,0.0,0.4166666666666667
95,60.0,60.0,0.0,0.4166666666666667
96,60.0,60.0,0.0,0.4166666666666667
97,60.0,60.0,0.0,0.4166666666666667
98,60.0,60.0,0.0,0.4166666666666667
99,60.0,60.0,0.0,0.4166666666666667
100,60.0,60.0,0.0,0.4166666666666667
