Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role chief,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,549.1893128967286,360.8450903892517,776.1732242107391,54918.93128967285,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,3.8138146728939506,2.5058686832586923,5.3900918347968,381.38146728939506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),360.8450903892517,549.1993128967285,776.1732242107391
Process Cycle Time excluding out of timetable hours (s),360.8450903892517,549.1893128967286,776.1732242107391
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),360.8450903892517,549.1993128967285,776.1732242107391
Cost,2.5058686832586923,3.8138146728939506,5.3900918347968


Process Cycle Time (s) distribution
From,To,Count
360,401,10
402,443,11
444,485,19
486,527,8
528,569,9
570,611,9
612,653,13
654,695,7
696,737,7
738,779,7

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
360,401,10
402,443,11
444,485,19
486,527,8
528,569,9
570,611,9
612,653,13
654,695,7
696,737,7
738,779,7

Process Cost distribution
From,To,Count
2,2,44
3,3,35
4,4,21
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0

In-timetable Cycle time (s) distribution
From,To,Count
360,401,10
402,443,11
444,485,19
486,527,8
528,569,9
570,611,9
612,653,13
654,695,7
696,737,7
738,779,7



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,459.1582953929901,459.1582953929901,0.0,3.1885992735624313
2,672.5601487159729,672.5601487159729,0.0,4.6705565883053675
3,481.38445711135864,481.38445711135864,0.0,3.3429476188288794
4,730.1817684173584,730.1817684173584,0.0,5.070706725120544
5,429.9008870124817,429.9008870124817,0.0,2.9854228264755673
6,427.17935943603516,427.17935943603516,0.0,2.9665233294169107
7,470.9077184200287,470.9077184200287,0.0,3.270192489027977
8,632.582129240036,632.582129240036,0.0,4.392931453055805
9,567.216775894165,567.216775894165,0.0,3.939005388153924
10,753.7302489280701,753.7302489280701,0.0,5.234237839778264
11,606.1244735717773,606.1244735717773,0.0,4.2091977331373425
12,657.541633605957,657.541633605957,0.0,4.566261344485813
13,634.846738576889,634.846738576889,0.0,4.408657906783952
14,501.88367986679077,501.88367986679077,0.0,3.4853033324082694
15,390.0929214954376,390.0929214954376,0.0,2.7089786214960947
16,704.2477788925171,704.2477788925171,0.0,4.89060957564248
17,593.9356822967529,593.9356822967529,0.0,4.124553349283007
18,672.798721075058,672.798721075058,0.0,4.672213340799014
19,554.3857576847076,554.3857576847076,0.0,3.849901095032692
20,647.417398929596,647.417398929596,0.0,4.495954159233305
21,490.98956751823425,490.98956751823425,0.0,3.4096497744321823
22,460.9451868534088,460.9451868534088,0.0,3.2010082420375614
23,378.2774860858917,378.2774860858917,0.0,2.6269269867075815
24,683.066605091095,683.066605091095,0.0,4.743518090910381
25,623.9756307601929,623.9756307601929,0.0,4.333164102501339
26,776.1732242107391,776.1732242107391,0.0,5.3900918347968
27,387.96606040000916,386.96606040000916,0.0,2.687264308333397
28,743.1021256446838,743.1021256446838,0.0,5.160431428088082
29,717.0375604629517,717.0375604629517,0.0,4.979427503214942
30,514.272378206253,514.272378206253,0.0,3.571335959765646
31,390.99418663978577,390.99418663978577,0.0,2.7152374072207346
32,630.8616983890533,630.8616983890533,0.0,4.380984016590649
33,375.10900473594666,375.10900473594666,0.0,2.6049236439996295
34,504.5895538330078,504.5895538330078,0.0,3.504094123840332
35,506.2018885612488,506.2018885612488,0.0,3.51529089278645
36,454.18091440200806,454.18091440200806,0.0,3.1540341277917228
37,409.78112268447876,409.78112268447876,0.0,2.8457022408644357
38,450.09275221824646,450.09275221824646,0.0,3.1256441126267114
39,557.9676513671875,557.9676513671875,0.0,3.87477535671658
40,688.0595409870148,688.0595409870148,0.0,4.778191256854269
41,583.4380967617035,583.4380967617035,0.0,4.051653449734052
42,672.5083613395691,672.5083613395691,0.0,4.670196953747007
43,484.3195586204529,484.3195586204529,0.0,3.3633302681975894
44,541.4048581123352,541.4048581123352,0.0,3.759755959113439
45,581.1135046482086,581.1135046482086,0.0,4.035510448945893
46,635.9879465103149,635.9879465103149,0.0,4.416582961877187
47,371.4527006149292,371.4527006149292,0.0,2.5795326431592307
48,634.339602470398,634.339602470398,0.0,4.405136128266652
49,483.74663639068604,483.74663639068604,0.0,3.3593516416019864
50,598.4363572597504,598.4363572597504,0.0,4.155808036526044
51,444.75289845466614,444.75289845466614,0.0,3.0885617948240705
52,574.9080541133881,574.9080541133881,0.0,3.992417042454084
53,616.0522885322571,616.0522885322571,0.0,4.278140892585118
54,549.8819100856781,549.8819100856781,0.0,3.818624375594987
55,360.8450903892517,360.8450903892517,0.0,2.5058686832586923
56,385.02017998695374,385.02017998695374,0.0,2.673751249909401
57,491.3699915409088,491.3699915409088,0.0,3.412291607922978
58,751.2211027145386,751.2211027145386,0.0,5.216813213295406
59,429.94568848609924,429.94568848609924,0.0,2.9857339478201337
60,483.28425216674805,483.28425216674805,0.0,3.3561406400468616
61,571.1382553577423,571.1382553577423,0.0,3.9662378844287662
62,446.4947655200958,446.4947655200958,0.0,3.1006580938895545
63,590.0185108184814,590.0185108184814,0.0,4.097350769572788
64,616.2121214866638,616.2121214866638,0.0,4.279250843657388
65,478.8493449687958,478.8493449687958,0.0,3.325342673394415
66,763.1848628520966,763.1848628520966,0.0,5.299894880917337
67,395.4517631530762,395.4517631530762,0.0,2.74619279967414
68,454.3702595233917,454.3702595233917,0.0,3.155349024467998
69,432.41824889183044,432.41824889183044,0.0,3.002904506193267
70,706.7013278007507,706.7013278007507,0.0,4.907648109727436
71,622.0600488185883,622.0600488185883,0.0,4.3198614501290855
72,475.14269638061523,475.14269638061523,0.0,3.299602058198717
73,626.4778006076813,626.4778006076813,0.0,4.3505402819977865
74,517.9671084880829,517.9671084880829,0.0,3.59699380894502
75,646.6061043739319,646.6061043739319,0.0,4.490320169263416
76,412.50238823890686,412.50238823890686,0.0,2.8645999183257422
77,699.5443494319916,699.5443494319916,0.0,4.857946871055497
78,605.4425058364868,605.4425058364868,0.0,4.204461846086714
79,440.67031168937683,440.67031168937683,0.0,3.0602104978428946
80,538.0910425186157,538.0910425186157,0.0,3.7367433508237204
81,532.5514779090881,532.5514779090881,0.0,3.6982741521464453
82,732.4159109592438,732.4159109592438,0.0,5.086221603883637
83,452.0675082206726,452.0675082206726,0.0,3.139357695976893
84,540.9214096069336,540.9214096069336,0.0,3.7563986778259277
85,729.4736440181732,729.4736440181732,0.0,5.065789194570647
86,551.5899183750153,551.5899183750153,0.0,3.8304855442709393
87,461.36708974838257,461.36708974838257,0.0,3.203938123252657
88,675.9508767127991,675.9508767127991,0.0,4.694103310505549
89,632.7912306785583,632.7912306785583,0.0,4.394383546378878
90,443.55719351768494,443.55719351768494,0.0,3.0802582883172565
91,436.6684443950653,436.6684443950653,0.0,3.0324197527435093
92,484.04225993156433,484.04225993156433,0.0,3.3614045828580856
93,444.4127719402313,444.4127719402313,0.0,3.0861998051404953
94,446.055522441864,446.055522441864,0.0,3.0976077947351666
95,526.2977914810181,526.2977914810181,0.0,3.6548457741737366
96,758.3815128803253,758.3815128803253,0.0,5.266538283891148
97,373.04541063308716,373.04541063308716,0.0,2.5905931293964386
98,750.7427139282227,750.7427139282227,0.0,5.213491068945991
99,455.15920877456665,455.15920877456665,0.0,3.1608278387122684
100,447.3457839488983,447.3457839488983,0.0,3.1065679440895715
