Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,47
Role 2,76
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1567.3676540799192,11.105657577514648,8157.39421248436,142630.45652127266,0.0,0.0,0.0,0.0,30605.934065934067,0.0,162120.0,2785140.0,8.707598078221771,0.061698097652859156,45.31885673602422,792.3914251181811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
Amend Request for Quotation,622.8360648547547,65.8841187953949,1227.3333156108856,49204.04912352562,0.0,0.0,0.0,0.0,15230.886075949367,0.0,158460.0,1203240.0,3.4602003603041913,0.3660228821966383,6.818518420060475,273.3558284640311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
Analyze Purchase Requisition,389.95906464466873,240.0570776462555,539.7675831317902,74482.18134713173,0.0,0.0,0.0,0.0,7904.293193717277,0.0,158460.0,1509720.0,2.1664392480259385,1.3336504313680861,2.998708795176612,413.7898963729543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Analyze Quotation Comparison Map,1280.0165727424621,433.2292511463165,2039.7218685150146,128001.65727424622,0.0,0.0,0.0,0.0,34150.2,0.0,158460.0,3415020.0,7.111203181902567,2.4068291730350917,11.331788158416748,711.1203181902567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40058.75969028739,496.24651885032654,176505.2630531788,7170517.984561443,38659.82941451286,0.0,174699.62110686302,6920109.465197802,934367.2625698324,0.0,4157400.0,1.6725174E8,7.775569349375665,0.0,14.910800941785176,1391.826913538244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Approve Purchase Order for payment,36224.2843922925,60.0,175272.30225515366,3622428.43922925,36164.2843922925,0.0,175212.30225515366,3616428.43922925,851544.6,0.0,4060140.0,8.515446E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1058.9205812239647,0.0,8766.059292316437,105892.05812239647,1058.9205812239647,0.0,8766.059292316437,105892.05812239647,22591.8,0.0,205380.0,2259180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,84540.83895641804,437.05876302719116,175747.61309576035,8454083.895641804,83970.63836420774,0.0,175172.31296539307,8397063.836420774,1987913.4,0.0,4060140.0,1.9879134E8,3.1677810678349614,2.0041693528493245,4.30506278011534,316.7781067834961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1836.6128121161462,312.74601697921753,3391.1755192279816,183661.2812116146,0.0,0.0,0.0,0.0,59445.98726387262,36.90285658836365,158008.48262548447,5944598.726387262,10.203404511756363,1.737477872106764,18.83986399571101,1020.3404511756362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87918.39295381069,7137.146313905716,182401.22889375687,8791839.29538107,74884.68162336112,0.0,171989.7371928692,7488468.162336111,2061083.4,93720.0,4312260.0,2.0610834E8,72.40950739138657,13.478379678726196,120.73757155206468,7240.950739138657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,289.46886858940127,25.852532148361206,1129.8432886600494,28946.886858940125,0.0,0.0,0.0,0.0,2413.8,0.0,97260.0,241380.0,3.2163207621044605,0.2872503572040134,12.553814318444994,321.63207621044603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,256719.6887686968,18450.27931022644,614036.4617800713,2.567196887686968E7,160036.2229772377,0.0,458761.37691378593,1.600362229772377E7,6003319.8,417900.0,1.433118E7,6.0033198E8,537.1303655081058,69.76378552118938,973.9597564167447,53713.03655081058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Pay Invoice,1800.2756529378892,243.7378716468811,8995.426439285278,180027.5652937889,1229.1671491479874,0.0,8658.158905029297,122916.71491479874,32464.2,0.0,205380.0,3246420.0,3.1728250210550097,1.3540992869271173,4.9525714808040195,317.28250210550095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1441.8,0.0,97260.0,144180.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,460.13588290929795,121.52142024040222,4202.870936155319,46013.588290929794,195.47893822669982,0.0,4039.011266231537,19547.893822669983,3459.0,0.0,158460.0,345900.0,1.4703163593477666,0.6751190013355679,2.3120184342066445,147.03163593477666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,191040.8498497176,0.0,463092.8798210621,1.910408498497176E7,191040.8498497176,0.0,463092.8798210621,1.910408498497176E7,4486284.0,0.0,1.085826E7,4.486284E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57467.16962631941,1072.2645087242126,177039.3463718891,5746716.962631941,56037.03844619036,0.0,175599.5640718937,5603703.844619036,1345254.6,0.0,4132200.0,1.3452546E8,7.945173222939173,2.3673367301623025,13.066193238894146,794.5173222939173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,128575.54524122716,18974.312784433365,218853.23791384697,1.2857554524122715E7,96110.09482697486,0.0,175525.70993208885,9611009.482697487,3001088.4,378300.0,5065320.0,3.0010884E8,180.36361341251265,79.50163171423806,289.82608564959634,18036.361341251264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11993.29692458552,289.8135585784912,46822.804750204086,515711.76775717735,546.3689170050067,0.0,7164.114140510559,23493.863431215286,271462.32558139536,0.0,1116780.0,1.167288E7,63.59404448655841,1.3992093284924825,253.82473279502656,2734.5439129220117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5322273.70093894,2.2665479851815976E7,2.9378984023288965E7
Process Cycle Time excluding out of timetable hours (s),218522.1790111065,928797.6645521069,1201505.9775288105
Process Waiting Time (s),142427.78172254562,770163.4104348707,1027499.8965008259
Accumulated Process Duration (s),5322273.70093894,2.2665479851815976E7,2.9378984023288965E7
Cost,342.12531595495005,882.9162568697665,1415.2553073234026


Process Cycle Time (s) distribution
From,To,Count
5322273,7727944,2
7727945,10133616,8
10133617,12539288,3
12539289,14944960,2
14944961,17350632,8
17350633,19756304,3
19756305,22161976,5
22161977,24567648,3
24567649,26973320,53
26973321,29378992,13

Process Waiting Time (s) distribution
From,To,Count
142427,230934,7
230935,319442,6
319443,407950,2
407951,496458,2
496459,584966,6
584967,673474,6
673475,761982,3
761983,850490,3
850491,938998,34
938999,1027506,31

Accumulated Process Duration (s) distribution
From,To,Count
5322273,7727944,2
7727945,10133616,8
10133617,12539288,3
12539289,14944960,2
14944961,17350632,8
17350633,19756304,3
19756305,22161976,5
22161977,24567648,3
24567649,26973320,53
26973321,29378992,13

Process Cost distribution
From,To,Count
342,449,6
450,557,11
558,665,14
666,773,2
774,881,16
882,989,12
990,1097,12
1098,1205,14
1206,1313,8
1314,1421,5

In-timetable Cycle time (s) distribution
From,To,Count
218522,316820,2
316821,415119,8
415120,513418,3
513419,611717,2
611718,710016,7
710017,808315,4
808316,906614,5
906615,1004913,3
1004914,1103212,52
1103213,1201511,14



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9712229.288233042,398548.28823304176,183418.1382341385,1199.1342956542967
2,8832216.334190845,364723.77908563614,173119.34628415108,1065.634791472223
3,7165381.447357893,297093.9402041435,210299.79927039146,482.57346484926006
4,2.56851084648633E7,1051984.734808445,901665.7862997055,836.4140844371585
5,5322273.70093894,218522.1790111065,142427.78172254562,423.22117851310304
6,9886827.821098804,405476.7956123352,220791.40452075005,1026.43480440908
7,8059945.14859724,332529.3661944866,185864.88644051552,815.7981617821588
8,1.0116752391631842E7,414677.68489432335,223677.5371992588,1062.053826316198
9,9676201.941305399,395881.94130539894,235188.8281533718,895.2433038194976
10,1.3902687548629045E7,568505.7320439816,353841.3593649864,1196.863328394625
11,9572413.448584318,388127.41015815735,269934.27230763435,657.9961789038447
12,1.1453766644870281E7,467687.51863241196,265765.12780308723,1123.0295505616398
13,7973055.775897503,322599.01029253006,244231.9661207199,438.162963464525
14,1.5218865731347322E7,622094.4453184605,507238.5222170353,638.7945200390287
15,1.1676823485442162E7,480456.484054327,307034.6651110649,966.6892136931419
16,2.1070138035243034E7,863396.2845513821,636248.8306753635,1262.671543105443
17,1.5222425340635061E7,624502.8911101818,443980.42400217056,1004.0782936520046
18,2.5885480671468735E7,1062873.194197178,866071.8548989296,1094.3624838882022
19,1.3694913480611801E7,562488.3892090321,383224.30310726166,997.8794323417876
20,1.1261487213914394E7,463191.1247770786,293487.7251756191,943.5154446005822
21,2.6869114004565E7,1099654.0045650005,907348.784222126,1070.4971347702872
22,2.7200610008136272E7,1112092.1777062416,1027499.8965008259,470.1007429864671
23,1.5695265645272732E7,641105.1403832436,525493.1471967697,644.26141759687
24,1.7336291829869747E7,714505.6971638203,606795.3896515369,601.619444859028
25,1.5064569018434048E7,614801.5073721409,454484.6060962677,891.9813693126043
26,2.5087021469306707E7,1025103.7241113186,796773.2270274162,1270.8811916457282
27,2.6357898121034384E7,1077847.7137260437,883414.7428388596,1081.0754107144141
28,1.7799803263638973E7,726061.2079823017,572549.259116888,853.043686457475
29,2.4179883446988106E7,988510.9279356003,754318.9360530376,1303.4774027718438
30,2.6921685104756832E7,1100107.8922989368,856669.6614899635,1352.8803563369643
31,2.8286261534787893E7,1156495.202731371,991360.8889939785,917.8415140681797
32,1.722183061650896E7,704801.3510074615,589927.3752827644,639.345774213473
33,1.9186230121034384E7,784617.1698994637,584349.9523496628,1112.760610703627
34,2.5655541754812956E7,1049836.7306323051,947364.9831223488,570.8031861384711
35,2.772694633750868E7,1139347.7691771984,991887.3221554756,819.3976192024021
36,2.7053885760946274E7,1110807.5055484772,960134.0342335701,837.3343431221114
37,1.5547243843505383E7,638516.288910389,541870.8182358742,540.845230160819
38,1.5746722031809807E7,646682.417894125,570938.3025648594,424.2378242916531
39,2.722390800446105E7,1117463.6070854664,918266.5486824512,1107.8759147882458
40,1.7373901707662344E7,713107.6271574497,594354.7427752018,664.5769344925881
41,2.6981598485738516E7,1104915.0729441643,896790.1190741062,1156.8662952621776
42,2.8177579440983057E7,1154922.394645691,1009586.4504854679,810.2345607532396
43,2.0514288346726656E7,840606.3021521568,663767.0379478931,984.7017656048139
44,2.089355195281434E7,859036.1721720695,650361.7815608978,1161.8190777169332
45,2.6717243985049486E7,1098228.930807829,946969.6596374512,841.6773580643867
46,2.0650309899190903E7,849116.4075834751,708958.2112603188,779.6321053266525
47,2.0458135289393425E7,836751.2267355919,731009.5401513577,588.1080949783326
48,2.4464709160041332E7,1002509.3288376331,858103.6128628254,804.84679899878
49,2.726614880224943E7,1119495.1585040092,1003074.6463315487,651.3299610111447
50,2.685801011795211E7,1103613.4856653214,863718.9521174431,1333.9339799973698
51,2.602211164505911E7,1067207.433255434,940459.9509744644,704.600817786323
52,2.6827345944018364E7,1101049.0411617756,955417.7955272198,809.6700601538024
53,2.4003236930343628E7,978619.6444091797,823684.6942293644,860.9184908747674
54,2.680175546377921E7,1096338.9039900303,857691.2062687874,1326.6054474486245
55,2.678550495466304E7,1094112.4178271294,876445.1182608604,1209.9966240233844
56,2.682613850484681E7,1098315.7618646622,932987.4633686543,920.1392165237004
57,2.6759714037254572E7,1096384.0024614334,867692.6667928696,1271.7354113168183
58,2.4882479989820004E7,1016505.6995666027,923006.1200141907,520.5112507992321
59,2.875860520916748E7,1177921.681106329,995371.903649807,1015.7575635883543
60,2.6670484610082626E7,1092429.3161149025,911782.4066574574,1003.9032286087672
61,2.6703137004545927E7,1095750.7814958096,895173.5255460739,1115.254860085911
62,2.6474305880781174E7,1086371.3684546947,912572.7864062786,969.1602630244363
63,2.6674857616975307E7,1095523.7332689762,895112.4926114082,1114.4175317724546
64,2.666120408301449E7,1095919.0399205685,893371.926782608,1126.6092130064962
65,2.9378984023288965E7,1201505.9775288105,946904.8585524559,1415.2553073234026
66,2.663412792091322E7,1093341.364157915,887947.8414971828,1142.2654220157197
67,2.6619273385266304E7,1092548.5642416477,937078.5250036716,864.9582706120281
68,2.6816878460803986E7,1095340.8021907806,889879.2451777458,1143.4709511637686
69,2.66441696267159E7,1091486.3571095467,842629.010778904,1383.5109684414333
70,2.6576485843578577E7,1088231.687265873,861206.5533838272,1263.4577840235497
71,2.635424576479864E7,1081726.2559306622,1020439.0373756886,342.12531595495005
72,2.654859258421445E7,1084781.5432744026,975558.0300195217,607.6942724585535
73,2.6324551006732702E7,1076456.734912157,989391.7854726315,485.45671397447586
74,2.6522349623954535E7,1086523.6941549778,996525.9888288975,503.2484530594613
75,2.62964378531003E7,1076220.702935934,986234.1675987244,500.6976536975967
76,2.649366686511159E7,1085716.1257460117,953641.6223638058,734.0784328553412
77,2.647796113817191E7,1084000.8274035454,920835.2173223495,907.9269536972046
78,2.6250262354099512E7,1075655.9511449337,996551.1722104549,440.29604602787225
79,2.6240423194996357E7,1076164.4682343006,987182.6476213932,500.620355008708
80,2.6229677885272264E7,1079446.9949264526,987297.4555382729,515.2819197283851
81,2.642412757778716E7,1086137.519797802,876986.5830349922,1163.0466751125125
82,2.6409282013328314E7,1085237.1965708733,920138.0631158352,918.3647754549982
83,2.61869249638381E7,1075070.5615942478,998557.8195126057,425.28863942490676
84,2.6173947514605045E7,1076081.2296395302,923973.1639168262,845.6881922867564
85,2.6321729213000536E7,1079485.5024518967,931545.347971201,822.3491039925152
86,2.6143931292966127E7,1074130.3255143166,956987.755068779,652.4898665030797
87,2.6292647247971773E7,1078391.9189043045,864275.062068224,1189.8194186197386
88,2.6324655122971058E7,1081067.553409338,975463.8515520096,588.4549650059807
89,2.6312344018948317E7,1082776.1729998589,891448.0599102974,1067.761193239689
90,2.7717746554780006E7,1134086.5547800064,941812.5979523659,1070.2914312905737
91,2.649492331627059E7,1084480.9181013107,856861.7039384842,1264.9490599155424
92,2.7689615693674564E7,1133183.7178649902,956234.0283071995,987.5835675385263
93,2.620916573564601E7,1075325.8590679169,921642.2545108795,856.6348572108482
94,2.6241598855247736E7,1078522.6549301147,980722.3861231804,543.6908523334398
95,2.662214657633233E7,1094770.6476991177,987614.4688796997,596.9330983691744
96,2.6212038521044493E7,1069910.0384190083,917017.2203204632,852.3200332389938
97,2.6510654837805033E7,1079898.7531318665,965499.4895117283,637.5406803939079
98,2.8815585054092407E7,1175951.7398376465,958932.2231757641,1207.115491077635
99,2.617106876750803E7,1070855.41152668,975860.9381389618,529.4457442601523
100,2.6109699878368616E7,1066783.965884447,899039.6217141151,933.695272407267
