Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,47
Role 2,78
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1659.4158656674047,2.3411927223205566,8860.379477024078,154325.67550706863,0.0,0.0,0.0,0.0,30690.322580645163,0.0,252120.0,2854200.0,11.523721289356976,0.016258282793892756,61.530413034889435,1071.7060799101987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,658.6115638226578,129.92046308517456,1149.9111790657043,63885.321690797806,0.0,0.0,0.0,0.0,15895.051546391753,0.0,158460.0,1541820.0,4.573691415435125,0.90222543809149,7.985494299067391,443.6480672972071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Analyze Purchase Requisition,393.73619111090744,241.8783233165741,537.4520094394684,75991.08488440514,0.0,0.0,0.0,0.0,6589.430051813471,0.0,158460.0,1271760.0,2.187423283949485,1.343768462869856,2.9858444968859357,422.17269380225065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,1247.9517229294777,367.35085344314575,2036.7868795394897,124795.17229294777,0.0,0.0,0.0,0.0,28282.2,0.0,158460.0,2828220.0,8.666331409232484,2.551047593355179,14.144353330135345,866.6331409232483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,36332.22601875678,810.0953414440155,163434.9305305481,7157448.5256950855,34953.68966867839,0.0,161405.2973034382,6885876.864729643,844916.6497461929,0.0,3887160.0,1.6644858E8,7.660660873747655,0.0,15.595412736468845,1509.150192128288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Approve Purchase Order for payment,28139.297682154178,60.0,161838.96203517914,2813929.768215418,28079.297682154178,0.0,161778.96203517914,2807929.768215418,661833.0,0.0,3887160.0,6.61833E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1800.657326862812,0.0,11090.797162294388,180065.7326862812,1800.657326862812,0.0,11090.797162294388,180065.7326862812,47338.2,0.0,234180.0,4733820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,80223.09585505485,410.9820656776428,156298.13475823402,8022309.585505486,79675.47600487947,0.0,155862.8709475994,7967547.600487947,1881639.0,0.0,3685440.0,1.881639E8,3.042332500974339,2.053596093919542,4.298310910330878,304.2332500974339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1890.642297604084,338.63155817985535,3393.6415860652924,189064.2297604084,0.0,0.0,0.0,0.0,59587.6166529417,0.0,158169.69261479378,5958761.66529417,13.129460400028362,2.3516080429156623,23.56695545878675,1312.9460400028363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,81249.43431242942,2770.9248580932617,177710.74684476852,8124943.431242943,70455.0985335636,0.0,160607.35403871536,7045509.853356361,1902604.2,3660.0,4218600.0,1.9026042E8,59.96853210481008,13.976425119241078,120.58274617989858,5996.853210481008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,327.4386886715889,11.628612041473389,1549.0957481861115,32743.86886715889,0.0,0.0,0.0,0.0,6916.2,0.0,158460.0,691620.0,3.6382076519065434,0.12920680046081542,17.21217497984568,363.82076519065436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,320572.6770297694,20325.44091796875,683962.5844137669,3.2057267702976942E7,222019.03992913247,0.0,554711.4597988129,2.2201903992913246E7,7498906.8,378300.0,1.607844E7,7.4989068E8,547.5202061146498,74.85126446882883,977.8142144574059,54752.020611464985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,3221.9955637979506,271.1439321041107,11280.795859098434,322199.5563797951,2642.710915272236,0.0,10612.994797945023,264271.0915272236,53474.4,0.0,234180.0,5347440.0,3.218248047365084,1.3876099665959676,4.997998611132304,321.8248047365084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,432.6,0.0,43260.0,43260.0,0.4166666666666665,0.4166666666666667,0.4166666666666667,41.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,715.9597035646439,121.29002952575684,9994.454519748688,71595.97035646439,428.4585340118408,0.0,9578.226748228073,42845.85340118408,40669.8,0.0,234180.0,4066980.0,1.5972287197377941,0.6738334973653157,2.3261500716209413,159.7228719737794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,234445.494526546,0.0,545999.3938648701,2.34445494526546E7,234445.494526546,0.0,545999.3938648701,2.34445494526546E7,5488851.0,0.0,1.276044E7,5.488851E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55038.16752109766,651.5924611091614,161976.78758597374,5503816.752109766,53618.558368151185,0.0,160544.58798241615,5361855.836815119,1296291.6,0.0,3887160.0,1.2962916E8,7.886717516369289,2.721139384640588,14.877788917223613,788.6717516369289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,122528.9628455758,15634.625645160675,210450.21734166145,1.2252896284557581E7,88990.77172305583,0.0,161063.42361807823,8899077.172305584,2870196.6,378300.0,4892340.0,2.8701966E8,186.32328401399974,80.80410895877414,292.4292161716355,18632.328401399973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11379.156110038562,49.44681119918823,60729.33809924126,557578.6493918896,1903.2369055747986,0.0,10268.655239105225,93258.60837316513,242048.57142857142,0.0,1394220.0,1.186038E7,52.643995580354236,0.27470450666215684,334.669703830613,2579.5557834373576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3913816.387176752,2.4688344684300683E7,3.105905784391761E7
Process Cycle Time excluding out of timetable hours (s),161299.61418938637,1011554.0676477504,1272113.340360403
Process Waiting Time (s),88243.56558918953,851946.9182746577,1081021.4221718311
Accumulated Process Duration (s),3913816.387176752,2.4688344684300683E7,3.105905784391761E7
Cost,377.31806490388186,896.0028766448271,1527.9281694607603


Process Cycle Time (s) distribution
From,To,Count
3913816,6628340,3
6628341,9342865,7
9342866,12057390,3
12057391,14771915,0
14771916,17486440,1
17486441,20200965,4
20200966,22915490,6
22915491,25630015,6
25630016,28344540,27
28344541,31059065,43

Process Waiting Time (s) distribution
From,To,Count
88243,187520,5
187521,286798,6
286799,386076,2
386077,485354,0
485355,584632,1
584633,683910,3
683911,783188,10
783189,882466,2
882467,981744,23
981745,1081022,48

Accumulated Process Duration (s) distribution
From,To,Count
3913816,6628340,3
6628341,9342865,7
9342866,12057390,3
12057391,14771915,0
14771916,17486440,1
17486441,20200965,4
20200966,22915490,6
22915491,25630015,6
25630016,28344540,27
28344541,31059065,43

Process Cost distribution
From,To,Count
377,492,5
493,608,12
609,724,15
725,840,11
841,956,13
957,1072,17
1073,1188,11
1189,1304,8
1305,1420,7
1421,1536,1

In-timetable Cycle time (s) distribution
From,To,Count
161299,272380,3
272381,383462,7
383463,494544,3
494545,605626,0
605627,716708,1
716709,827790,4
827791,938872,5
938873,1049954,7
1049955,1161036,27
1161037,1272118,43



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8576346.813273191,350645.81327319145,227444.4797372818,696.6567675679922
2,4155668.3531000614,173423.52926564217,88243.56558918953,478.55246500505336
3,8373602.282045126,345189.3678686619,194948.31231546402,845.5377341955901
4,3913816.387176752,161299.61418938637,95615.87716507912,377.31806490388186
5,1.0504427612012625E7,428966.01670336723,230974.0144853592,1115.386740485165
6,5049944.452536106,208693.58239221573,93104.75261545181,649.2984084563122
7,8708396.313426971,357654.9116783142,171803.40367937088,1035.9287774850925
8,8696898.49049306,360204.5528523922,190261.4317290783,949.8973384082318
9,8471619.547759771,347679.54775977135,183434.11111354828,918.7879475126665
10,8666900.82769537,351141.4756195545,261727.28961491585,503.2600961188475
11,2.5037690971010685E7,1024864.5722048283,916779.5487184525,610.3282707035542
12,1.8975476351639986E7,776812.0243799686,569150.5955626965,1161.30538958576
13,3.0007785488083124E7,1227847.446281433,1054857.7360618114,976.1269725908837
14,1.850195124152136E7,756354.8650202751,647871.3363287449,613.9725671718518
15,1.0119813376066685E7,411282.32007336617,305952.96459007263,592.5631912883786
16,2.1598301823242188E7,883411.1176159382,713310.7633202076,953.2090320563979
17,2.892344779884839E7,1186561.758185625,1013382.2392172813,973.9094171759156
18,9978326.13570404,409040.68071746826,288735.1043212414,672.9046072049273
19,2.0422547773251534E7,837581.6257157326,730683.1681911945,606.5134844375982
20,8581447.780738592,355070.3404927254,235737.5446615219,666.6217529631324
21,2.8868302249935627E7,1185802.249935627,1014929.5516648293,958.4511784182655
22,2.27230951309824E7,928436.67618227,719745.4581716061,1168.1115126500529
23,2.884125649818182E7,1184738.313549757,1038004.0941848755,830.5870313237111
24,2.7274786293647528E7,1120105.578412056,987438.2408051491,766.2888989137277
25,2.9021634301179886E7,1187774.1242742538,990656.744900465,1103.4237014571825
26,2.3171579535695314E7,946598.9963037968,710300.1888759136,1315.8914284500813
27,1.9106228699209213E7,782404.0926170349,685567.3525853157,554.3211572405364
28,1.8093261994729042E7,741727.356513977,625937.5218191147,647.2004343254699
29,2.4786458858806133E7,1014734.3648321629,770981.1406700611,1360.628460124135
30,2.8950451882838964E7,1183062.0449199677,1032643.6313624382,849.8737733602524
31,2.8891758856114864E7,1181589.943811655,991490.4093978405,1062.8708722988765
32,1.682585970085597E7,686925.4646983147,614603.7700314522,406.8802589512533
33,2.8861571382615805E7,1179489.7624590397,1028958.8060753345,845.4108081877232
34,2.1346143558885813E7,872531.064442873,704513.2016773224,938.7347200681766
35,2.883328510787511E7,1179264.1783881187,1081021.4221718311,565.0355488631459
36,2.3378423332844973E7,958478.239603281,740357.0822257996,1218.3058600700565
37,2.8806245179086924E7,1180157.563520193,1070684.7061283588,617.6312562978928
38,2.8632236362961054E7,1178611.8846423626,1079850.0785782337,558.9190332445833
39,2.2832830508434534E7,941243.1837828159,756816.2038366795,1033.145159265399
40,2.881134118868327E7,1180564.5601320267,975192.0536234379,1153.1075668848223
41,2.8749993209385395E7,1176450.894556284,954129.8001244068,1242.958060988784
42,2.873783469596076E7,1178292.625581503,942915.6532690525,1323.6420668972862
43,2.872198593901372E7,1176454.6605050564,1020066.4273159504,880.6791007677715
44,2.507971357095456E7,1028338.2783851624,847931.5960271358,1012.0663440850046
45,2.6535263106122255E7,1089312.3499314785,896177.3191320896,1079.6206593285003
46,2.868092636822319E7,1177447.581133604,1066896.2080168724,627.7956704146333
47,2.0560189674085855E7,841608.6079332829,750726.2364799976,514.0365921149652
48,2.865135995266676E7,1172315.6284058094,1020684.0794064999,852.5769747939373
49,2.889703655605483E7,1183386.3914203644,1006239.5523402691,991.1771433979272
50,2.8669712379785538E7,1175440.0238668919,951564.9895846844,1254.2530522555114
51,2.377076196548271E7,973934.147192955,794254.949767828,1000.5580533971389
52,2.7746860830642223E7,1138000.8306422234,907139.7672376633,1286.5460971974667
53,2.9024978345573187E7,1187322.9802803993,914246.8944060802,1527.9281694607603
54,2.8406249131565332E7,1162629.7474901676,1023014.7211904526,785.4755948725674
55,2.8602078254191875E7,1170729.7640428543,1034994.5343534946,762.9439544313484
56,2.854116875785184E7,1167003.753387928,1066751.5353841782,572.3928455197148
57,2.852826042509079E7,1168073.6287310123,977133.1663508415,1062.9394366890194
58,2.8352111946486473E7,1164396.6901216507,1033591.981613636,732.8088233947752
59,2.9707505919303417E7,1215355.8232619762,977357.9267044067,1340.431680775351
60,2.8530141083958387E7,1168737.8649539948,985619.1690409184,1025.9241404887703
61,2.8517730516242027E7,1170290.99701643,1077025.0001642704,535.7177531354956
62,2.8296160405642986E7,1164365.7523021698,933680.025999546,1288.3852226886486
63,2.8281161227086306E7,1163384.8664793968,1005750.2789185047,885.0357207563187
64,2.8528542145994425E7,1172540.1957874298,987242.6480653286,1036.5232598119312
65,2.846241491458249E7,1167355.505414009,976433.4958810806,1067.2506961080762
66,2.844710813755846E7,1166049.5013594627,967590.5249874592,1107.420403852728
67,2.822584001679778E7,1160420.5237650871,957773.8932471275,1130.884468999836
68,2.8371476328027964E7,1158058.0164067745,936972.628849268,1234.8442549526692
69,2.845796065708089E7,1164851.1704392433,1031573.7104363441,745.2367611938054
70,2.8444895936652422E7,1165796.1829178333,1025992.5264291763,784.9460492329465
71,2.8377063144661665E7,1162412.4817888737,974738.8589236736,1048.47569244802
72,2.8363144397734165E7,1158946.2848463058,924006.3857073784,1316.8952415989504
73,2.830228685132575E7,1155328.903169632,1035379.4941663742,676.2987331373824
74,2.833645754375267E7,1160215.043852806,1006206.6944334507,865.8478466106787
75,2.8533767623088837E7,1166210.4094455242,1053856.5866398811,632.0703810079231
76,2.8259169733006716E7,1154222.8422272205,1056716.5747389793,549.6311220871077
77,2.807911065265584E7,1150304.1943454742,1074504.357203722,428.9166995631324
78,2.8233878796388388E7,1156996.0142946243,1034459.1777281761,687.0452962872056
79,2.8218742033509493E7,1155813.1111729145,1026872.2471470833,724.3875461995601
80,3.105905784391761E7,1272113.340360403,1076679.362644434,1094.0206632488303
81,2.855159662005663E7,1170761.33034873,1033046.9261920452,775.9095566921764
82,2.822432002236414E7,1160040.5022201538,1022302.0137720108,773.4996149871084
83,2.8209536478449106E7,1155731.327581644,915408.0151340961,1352.1439760827357
84,2.8149571366096735E7,1153101.457756281,1072344.1916325092,460.8613851186302
85,2.813495662852502E7,1152483.7875344753,972995.6148223877,1004.2381922668881
86,2.8121686549713135E7,1153187.3522601128,959943.1346461773,1081.6207733197346
87,2.8107925727738142E7,1153451.7621297836,1041411.7954545021,627.6663994921578
88,2.80927249116292E7,1152219.4526262283,1048666.9215493202,582.9198288689056
89,2.807854362385869E7,1152080.5872612,1011633.8261220455,792.2409243315459
90,2.8111876018036842E7,1153516.0180368423,945260.9642271996,1162.6195786681442
91,2.8051164570183754E7,1149152.1950240135,986178.764914751,915.938679106368
92,2.9507307330729246E7,1210675.3679583073,1020431.2110438347,1067.3081811997627
93,2.9668437913473368E7,1216452.6766777039,1052125.5083551407,921.9331303033563
94,2.9659784574114084E7,1218095.554386139,990703.8893706799,1269.7272391670278
95,2.8040979064119816E7,1151679.207141161,1028465.5503125191,690.7565496007601
96,2.802642050316024E7,1144070.8105454445,952953.5616104603,1070.3341810501286
97,3.021805080051756E7,1234984.9144234657,989412.3918480873,1381.0307112766639
98,2.7998035034365416E7,1143699.5673911572,1051235.1958208084,520.5182961533468
99,2.82982674854846E7,1155377.1000862122,928020.9045615196,1269.6243266387119
100,2.7972021746157646E7,1145773.3788583279,1003550.5682139397,809.9101802534527
