Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,53
Role 2,80
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1508.8097476125733,10.319907903671265,5560.868371725082,185583.5989563465,81.28749785190675,0.0,1258.4925510883331,9998.36223578453,33686.829268292684,0.0,201720.0,4143480.0,7.930679165337035,0.05733282168706258,28.96196055147383,975.4735373364554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
Amend Request for Quotation,4623.269489426362,116.25572657585144,220675.1284456253,439210.6014955044,3997.0054722434597,0.0,220261.67588591576,379715.51986312866,112704.0,0.0,5220180.0,1.070688E7,3.479244539905013,0.6458651476436191,7.019267468982273,330.52823129097624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
Analyze Purchase Requisition,389.60081421527093,242.26629066467285,538.963392496109,86880.98157000542,0.0,0.0,0.0,0.0,6996.860986547085,0.0,158460.0,1560300.0,2.164448967862616,1.3459238370259603,2.9942410694228276,482.6721198333634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223
Analyze Quotation Comparison Map,27376.624078974724,426.69609236717224,361838.0279660225,2737662.4078974724,26207.588837127685,0.0,360103.2212331295,2620758.8837127686,641013.6,0.0,8376120.0,6.410136E7,6.494640232483544,2.0101611150635614,11.191170581181844,649.4640232483544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,39104.196206419285,515.0794548988342,181846.65219926834,7625318.2602517605,37711.62054260694,0.0,180657.90983104706,7353766.005808353,911167.6923076923,0.0,4229460.0,1.776777E8,7.736531465624133,0.10022877322302924,16.317022018962437,1508.623635796706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
Approve Purchase Order for payment,26432.603924484254,60.0,187161.61355900764,2643260.3924484253,26372.603924484254,0.0,187101.61355900764,2637260.3924484253,615472.2,0.0,4434780.0,6.154722E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,326.6011530637741,0.0,4152.35790348053,32660.11530637741,326.6011530637741,0.0,4152.35790348053,32660.11530637741,13867.8,0.0,205320.0,1386780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,25572.68851527214,0.0,330525.97089481354,2557268.851527214,25572.68851527214,0.0,330525.97089481354,2557268.851527214,598608.0,0.0,7792380.0,5.98608E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,77655.13362126112,362.3379442691803,190250.95018553734,7765513.362126112,77104.39660535096,0.0,189700.12273669243,7710439.660535097,1811034.0,0.0,4478040.0,1.811034E8,3.059650088389715,2.0054524183273315,4.306018429332309,305.9650088389715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2060.9846486878396,354.81026577949524,4727.075414896011,206098.46486878395,190.776490316391,0.0,1357.1924908161163,19077.6490316391,62226.77947103262,0.0,157051.02121829987,6222677.947103262,10.390045324285826,1.971168143219418,18.928394345442452,1039.0045324285825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,92903.74397824048,2631.5606224536896,206631.45100188255,9290374.397824049,80365.86141557217,0.0,186408.9126944542,8036586.141557217,2175075.6,3660.0,4841880.0,2.1750756E8,69.65490312593514,12.720042520099216,120.6011838528845,6965.490312593513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,317.12326064586637,17.722729206085205,1896.700471162796,31712.32606458664,0.0,0.0,0.0,0.0,2377.8,0.0,97260.0,237780.0,3.5235917849540708,0.19691921340094673,21.07444967958662,352.3591784954071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,202234.26253679275,27777.23497724533,492910.2288093567,2.0223426253679276E7,111205.3134661746,0.0,359777.86338329315,1.112053134661746E7,4737645.6,580020.0,1.16004E7,4.7376456E8,505.7163837256563,70.9745287987921,976.6969180491235,50571.638372565634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223
Pay Invoice,1085.710873527527,255.19273400306702,4651.284045219421,108571.08735275269,505.65011343240735,0.0,4058.0018377304077,50565.01134324074,27341.4,0.0,205320.0,2734140.0,3.22255977830622,1.41773741112815,4.9988689846462675,322.255977830622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,116645.15906270742,60.0,352373.1268184185,1.1664515906270742E7,116585.15906270742,0.0,352313.1268184185,1.1658515906270742E7,2734877.4,0.0,8170740.0,2.7348774E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,343.3725111079216,122.49095749855042,953.4975209236145,34337.25111079216,75.26494446277619,0.0,560.8012940883636,7526.494446277618,6161.4,0.0,158460.0,616140.0,1.4894864813619189,0.6805053194363911,2.323186492919922,148.94864813619188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,51852.12556966305,0.0,331545.15773653984,5185212.556966305,51852.12556966305,0.0,331545.15773653984,5185212.556966305,1202989.8,0.0,7792380.0,1.2029898E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55760.65265511036,925.8981215953827,155142.54355239868,5576065.265511036,54364.60672209978,0.0,154019.18013739586,5436460.672209978,1303926.6,0.0,3685440.0,1.3039266E8,7.755810738947654,2.5030510253376432,14.406192955705855,775.5810738947654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,119655.09362264395,14784.990182161331,244283.20364832878,1.1965509362264395E7,86038.40714835405,0.0,193236.70449209213,8603840.714835405,2798437.8,417900.0,5796540.0,2.7984378E8,186.75936930161052,79.88566940493054,292.66284496386845,18675.936930161053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11654.649895218183,9.491452932357788,42133.693163871765,617696.4444465637,251.8094766184969,0.0,3219.9811487197876,13345.902260780334,296010.56603773584,0.0,1066320.0,1.568856E7,63.34911343666492,0.05273029406865438,234.0760731326209,3357.503012143241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5381630.011506557,2.171859375835042E7,2.8431558227368355E7
Process Cycle Time excluding out of timetable hours (s),222679.52849268913,889768.778879385,1167346.3631174564
Process Waiting Time (s),125825.3873591423,734335.3018697619,971299.747961998
Accumulated Process Duration (s),5381630.011506557,2.171859375835042E7,2.8431558227368355E7
Cost,381.8613692892922,865.2811126126049,1384.6599160618252


Process Cycle Time (s) distribution
From,To,Count
5381630,7686622,4
7686623,9991615,5
9991616,12296608,2
12296609,14601601,1
14601602,16906594,7
16906595,19211587,3
19211588,21516580,2
21516581,23821573,27
23821574,26126566,38
26126567,28431559,11

Process Waiting Time (s) distribution
From,To,Count
125825,210372,7
210373,294920,3
294921,379468,1
379469,464016,6
464017,548564,3
548565,633112,2
633113,717660,2
717661,802208,22
802209,886756,31
886757,971304,23

Accumulated Process Duration (s) distribution
From,To,Count
5381630,7686622,4
7686623,9991615,5
9991616,12296608,2
12296609,14601601,1
14601602,16906594,7
16906595,19211587,3
19211588,21516580,2
21516581,23821573,27
23821574,26126566,38
26126567,28431559,11

Process Cost distribution
From,To,Count
381,481,11
482,582,8
583,683,8
684,784,16
785,885,11
886,986,9
987,1087,12
1088,1188,10
1189,1289,9
1290,1390,6

In-timetable Cycle time (s) distribution
From,To,Count
222679,317145,5
317146,411612,5
411613,506079,1
506080,600546,1
600547,695013,8
695014,789480,2
789481,883947,2
883948,978414,27
978415,1072881,38
1072882,1167348,11



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6931130.104915857,283369.1049158573,137442.2758088112,812.425357471572
2,7178761.587579966,296435.98343491554,148346.0125682354,823.2502412849003
3,9929520.330400705,409691.37949466705,195585.68244242668,1190.5161665505832
4,1.5718563174640894E7,643174.4577929974,510450.0398237705,739.5188213772244
5,7917882.453137398,324650.0680322647,164129.67184329033,892.5515413999558
6,8724077.10021782,359496.1801240444,206737.94125270844,852.1397182371883
7,5998197.62195158,245143.18405056,125825.3873591423,667.3315785288811
8,5381630.011506557,222679.52849268913,134268.74785995483,492.8045052886009
9,1.6497275344408989E7,674615.344408989,518718.7013082504,866.9374412682322
10,1.587989999155879E7,647311.4099419117,421431.99397826195,1257.5216434703932
11,7833049.129785776,316887.79525351524,245455.66579127312,397.64812847773237
12,2.5629564231354E7,1050877.8055410385,919528.6397988796,732.3623235424361
13,2.1034268133383512E7,857554.1290326118,674982.2673983574,1016.7901545339162
14,1.5477760589242935E7,632486.8746671677,417900.7218158245,1194.2180362913343
15,1.001975898605442E7,408762.94812989235,261394.75462198257,819.1724986910821
16,9241199.292244434,379082.21415925026,256295.48661708832,684.0429544183943
17,2.4249054452505827E7,994221.1183416843,763070.3394598961,1285.1255518303974
18,1.1365279209583044E7,467025.2285759449,338047.08017516136,717.7060311767791
19,2.4826028998592615E7,1019203.9267473221,934226.2787659168,473.54178148772974
20,1.271539925781393E7,523023.92836999893,396111.2928619385,705.9603828178512
21,1.4617065316190481E7,602865.3161904812,384907.67491674423,1212.4558307117886
22,1.5971397096109867E7,654795.0586452484,421777.00848412514,1297.6650361723368
23,2.097830409713292E7,862583.3664374352,708702.5037248135,856.1153138253425
24,2.475521823600149E7,1014928.1467657089,799330.8382201195,1201.9491679787636
25,2.4395589882737637E7,997179.4585607052,756941.8787996769,1335.1301106015837
26,1.6909728424523115E7,690810.4481024742,441736.4555282593,1384.6599160618252
27,2.4108857764315367E7,986944.1588459015,812296.2627365589,971.4590049054888
28,2.3931079134385347E7,981646.7009809017,854410.0299613476,708.2260642250379
29,2.4338720448626757E7,992703.2650883198,901977.7554721832,506.54849189519877
30,2.4670866975023985E7,1007383.3389205933,908030.2441966534,552.7023266328706
31,2.4412258953979254E7,996942.6607401371,814063.1667275429,1016.5430642882984
32,2.4295834756638765E7,991753.440431118,845621.5614247322,815.5205111357902
33,1.5991277665304422E7,652129.0232024193,512549.2742803097,779.8048086576991
34,2.401064431000209E7,983139.5237371922,875067.1087362766,601.0318793853124
35,2.6673724146538496E7,1091545.7398552895,918132.6637728214,965.6028740763666
36,2.363606447299838E7,968018.9417936802,792492.769236803,975.7367105007173
37,1.775797472211194E7,731161.156491518,580727.4511482716,836.7791996796926
38,2.4213595710728884E7,993723.5732614994,800675.5624980927,1072.6066480914749
39,2.6189899980268717E7,1074702.2316477299,873963.2848434448,1115.3948864685162
40,2.3926440882472277E7,979692.4121553898,784680.1261453629,1084.6314607646727
41,1.708829800688386E7,697872.5513601303,587272.9340231419,617.6221227685611
42,2.3946058366455317E7,983981.7389245033,740913.3090453148,1350.8886030130911
43,2.414097801047182E7,987661.567481041,882458.3203048706,587.2663883937731
44,2.2489311927450895E7,920755.3674776554,797487.7151327133,686.3876432683733
45,2.3692347675691605E7,974050.6116576195,846298.732722044,713.3133344345623
46,2.2461983420474052E7,921357.4992754459,832526.6493377686,494.7039704918861
47,2.4187442286263704E7,989309.7269294262,769670.6327440739,1222.1344289236597
48,2.4254879834106684E7,995062.6024312973,868010.8379657269,707.1093008173838
49,2.2850921068276405E7,938082.2944197655,869485.556132555,381.8613692892922
50,2.438862929510784E7,998293.8752202988,906076.1879820824,516.2321580198078
51,2.3608718809170485E7,970909.6268556118,858834.0726172924,622.9286062452529
52,2.6537397917134047E7,1088577.9171340466,965120.7206070423,687.7435581763585
53,2.400381854851556E7,979907.1263468266,894995.4435002804,474.5502097752359
54,2.3730492767706156E7,969165.0005488396,838525.3619010448,727.9576430188285
55,2.371565235467887E7,968354.3512225151,870653.4894795418,543.0938272873561
56,2.4061711612367153E7,982567.505357027,800832.1312906742,1010.7731868637933
57,2.394671509721446E7,978920.0400547981,808016.4937589169,950.080329697662
58,2.3775384900004387E7,976417.2422194481,782131.4074873924,1080.651724567678
59,2.3918669127004385E7,978815.086168766,849528.9957773685,719.0879690130553
60,2.3745366108303785E7,974424.5992567539,848420.3167152405,700.1222515039973
61,2.5546997443849087E7,1049999.0052905083,966555.9215836525,464.72882305383683
62,2.361861865394616E7,969481.0062632561,890016.3941042423,449.65900576776926
63,2.688561242008996E7,1101829.9330368042,897361.7758533955,1136.8217997365527
64,2.3689859486634254E7,975015.0448153019,794919.8763027191,1002.1744591659971
65,2.3676151099128723E7,971778.0306444168,894456.4028565884,433.91361433002686
66,2.3821171175290823E7,975907.4308898449,890707.6902663708,474.5536017431153
67,2.4412787978432417E7,1001474.0418400764,847450.4874749184,857.6775047077074
68,2.4240417243889093E7,994406.7976334095,842476.3037235737,844.7425068404941
69,2.3776832845813513E7,969969.437920332,795451.3815619946,971.4051555779246
70,2.3764620656234264E7,971779.651432991,794979.2853016853,982.9383081727559
71,2.8431558227368355E7,1167346.3631174564,956357.7880177498,1172.7214151461917
72,2.4080740373007298E7,980934.4576499462,796040.9457063675,1028.5058001240095
73,2.3564041871585846E7,964561.2594327927,884602.104049921,447.1567931744787
74,2.354987209822941E7,964415.3999502659,844517.0766797066,668.5768598622748
75,2.5507922443732977E7,1041522.840088129,971299.747961998,394.6110216882493
76,2.3522739836832047E7,965321.2613360882,869887.6671562195,531.8684122112064
77,2.7740416254802465E7,1136931.8137292862,895877.9477481842,1342.9239585161206
78,2.3494707051367998E7,965414.252562046,759630.4263498783,1145.4975342406167
79,2.3637611399075508E7,967407.3474140167,886952.0883331299,448.8715315461159
80,2.396861089885187E7,980991.0434544086,772041.1295456886,1161.4347150286037
81,2.3709572506437063E7,970134.1485388279,809699.5161311626,891.6357474923135
82,2.3987829319287777E7,984979.1240952015,792269.2408909798,1072.1379154139095
83,2.7816032740308523E7,1138104.197474718,943593.514367342,1081.0258296754625
84,2.517030561609912E7,1031722.3933444023,884976.2016961575,815.5593187305662
85,2.615832193871832E7,1075434.2082030773,934978.1353294849,780.658056441943
86,2.5196816823327303E7,1035904.8203394413,906785.6067531109,718.7280230800311
87,2.391741012171626E7,980988.3423817158,781550.7557919025,1109.371513999833
88,2.3511792654913425E7,964059.2343628407,846836.5856752396,652.6770744522413
89,2.3497050598959208E7,963319.2543096542,774563.9927983284,1050.1160693340828
90,2.426689464735651E7,994303.9024837017,789295.5175704956,1140.9238161325457
91,2.5630763479830027E7,1049985.8593759537,809890.1925837994,1334.0652793076301
92,2.8034568067518473E7,1147717.7886266708,936997.6321203709,1174.1053254908984
93,2.7071079339790583E7,1109649.1382057667,937089.3974337578,958.8813045607674
94,2.3427386050561905E7,960082.8918507099,735621.9636371136,1257.5423815819952
95,2.3515543899271727E7,964973.1637949944,832056.0795857906,740.1678457458814
96,2.5216337594575644E7,1029886.5733573437,827422.8567354679,1125.308106999927
97,2.537697030555272E7,1035163.0910179615,811914.1610250473,1240.9326870799061
98,2.799949589513874E7,1146156.1901407242,933352.505907774,1183.3532194773354
99,2.5016360659412384E7,1026590.200884819,839635.4087867737,1041.7299718340237
100,2.352993400785327E7,966410.0449457169,878126.5706477165,491.7721640215979
