Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,64
Role 5,73

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1673.9343494705006,6.635313034057617,8675.378093481064,132240.81360816956,0.0,0.0,0.0,0.0,29420.506329113923,0.0,172980.0,2324220.0,9.299635274836115,0.036862850189208984,48.19654496378369,734.6711867120531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
Amend Request for Quotation,607.466006583181,0.0,1160.008425951004,70466.05676364899,0.0,0.0,0.0,0.0,20094.310344827587,0.0,158460.0,2330940.0,3.374811147684339,0.0,6.4444912552833555,391.47809313138333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
Analyze Purchase Requisition,395.66335491627956,241.86829209327698,537.274623632431,70823.74053001404,0.0,0.0,0.0,0.0,5937.3184357541895,0.0,158460.0,1062780.0,2.1981297495348864,1.3437127338515387,2.9848590201801724,393.46522516674463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Analyze Quotation Comparison Map,1208.891675055027,365.2089807987213,2037.0894672870636,120889.1675055027,0.0,0.0,0.0,0.0,33933.6,0.0,158460.0,3393360.0,6.716064861416818,2.0289387822151186,11.317163707150353,671.6064861416818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,36216.259569122834,182.6272644996643,142760.46476721764,7822712.066930532,34898.76935345155,0.0,141066.35840654373,7538134.180345535,840993.8888888889,0.0,3404400.0,1.8165468E8,7.324926528635088,0.0,16.194216426213583,1582.1841301851791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Approve Purchase Order for payment,43798.67822116375,60.0,143067.99110746384,4379867.822116375,43738.67822116375,0.0,143007.99110746384,4373867.822116375,1030162.8,0.0,3318000.0,1.0301628E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,17917.271426889896,0.0,172453.84406757355,1791727.1426889896,17917.271426889896,0.0,172453.84406757355,1791727.1426889896,412648.8,0.0,4060140.0,4.126488E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,81024.55236799002,528.6287710666656,140289.52059721947,8102455.236799002,80475.66523439408,0.0,139676.9029521942,8047566.523439407,1895583.6,0.0,3318000.0,1.8955836E8,3.0493729644219085,2.011014159520467,4.317235558562809,304.93729644219087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1720.7317632937431,321.8020052909851,3320.9361424446106,172073.1763293743,0.0,0.0,0.0,0.0,58497.171664958,0.0,157424.17815470695,5849717.1664958,9.559620907187462,1.7877889182832507,18.44964523580339,955.9620907187463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,90032.28209905863,3653.6191935539246,159091.94965815544,9003228.209905863,77831.02412743568,0.0,146221.15789198875,7783102.412743568,2109504.0,43260.0,3732300.0,2.109504E8,67.78476650901636,15.229688795407613,121.06719457175997,6778.476650901636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,320.10820397138593,11.409218788146973,1306.867291212082,32010.820397138596,0.0,0.0,0.0,0.0,10125.6,0.0,154860.0,1012560.0,3.5567578219042884,0.12676909764607747,14.520747680134244,355.67578219042883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,141960.97267984867,16104.842185735703,357843.19344353676,1.4196097267984867E7,48221.203512473105,0.0,193196.81748962402,4822120.351247311,3314512.2,374700.0,8368860.0,3.3145122E8,520.7764953743085,78.92279659509659,965.2914198703236,52077.64953743086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Pay Invoice,14924.907711377144,328.72226190567017,181526.0868525505,1492490.7711377144,14362.172036912441,0.0,180857.95096802711,1436217.2036912441,343075.8,0.0,4294320.0,3.430758E7,3.126309302581681,1.3368249191178216,4.969186066256629,312.6309302581681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1584.6,0.0,158460.0,158460.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,42562.81973416805,133.43872237205505,195632.46769285202,4256281.973416805,42300.147098991874,0.0,195421.03746271133,4230014.709899187,1000407.0,0.0,4546440.0,1.000407E8,1.4592924176454545,0.6954325199127197,2.2759416752391393,145.92924176454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,67222.4581334567,0.0,195512.46769285202,6722245.813345671,67222.4581334567,0.0,195512.46769285202,6722245.813345671,1580422.8,0.0,4546440.0,1.5804228E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57894.981204373835,704.5070998668671,144159.43162608147,5789498.120437384,56412.507669475075,0.0,142968.80169081688,5641250.766947508,1353576.6,0.0,3476460.0,1.3535766E8,8.235964082770877,3.1628032406171163,14.688619479868148,823.5964082770878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,123183.58046380519,26049.84643650055,188883.85861849785,1.231835804638052E7,89322.55131799699,980.6100587844849,144327.555590868,8932255.131799698,2884861.8,580020.0,4467180.0,2.8848618E8,188.11682858782348,79.50204671356413,290.42825249963334,18811.682858782347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,26208.056719588196,458.3546485900879,64178.34681892395,1205570.609101057,15008.077944724457,0.0,49149.22249174118,690371.585457325,602505.6521739131,0.0,1505880.0,2.771526E7,62.222104304798556,1.765141863293118,356.54637121624415,2862.2167980207337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4865539.546726465,1.89566229783403E7,2.377743990044856E7
Process Cycle Time excluding out of timetable hours (s),200667.42736148834,776847.8066753435,973079.0327410698
Process Waiting Time (s),121722.07232618332,620088.7364372181,826864.4849352837
Accumulated Process Duration (s),4865539.546726465,1.8956625540218744E7,2.377743990044856E7
Cost,281.2982649975352,872.6882938279043,1364.7480025344423


Process Cycle Time (s) distribution
From,To,Count
4865539,6756729,3
6756730,8647920,2
8647921,10539111,4
10539112,12430302,8
12430303,14321493,1
14321494,16212684,2
16212685,18103875,2
18103876,19995066,1
19995067,21886257,73
21886258,23777448,4

Process Waiting Time (s) distribution
From,To,Count
121722,192236,7
192237,262751,4
262752,333266,2
333267,403781,5
403782,474296,0
474297,544811,4
544812,615326,1
615327,685841,20
685842,756356,39
756357,826871,18

Accumulated Process Duration (s) distribution
From,To,Count
4865539,6756729,3
6756730,8647920,2
8647921,10539111,4
10539112,12430302,8
12430303,14321493,1
14321494,16212684,2
16212685,18103875,2
18103876,19995066,1
19995067,21886257,73
21886258,23777448,4

Process Cost distribution
From,To,Count
281,389,3
390,498,5
499,607,7
608,716,17
717,825,13
826,934,15
935,1043,12
1044,1152,10
1153,1261,14
1262,1370,4

In-timetable Cycle time (s) distribution
From,To,Count
200667,277908,3
277909,355150,2
355151,432392,4
432393,509634,8
509635,586876,1
586877,664118,2
664119,741360,2
741361,818602,1
818603,895844,74
895845,973086,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9352789.646760225,384948.6467602253,166471.93557333946,1219.380402203401
2,9774873.772993088,403167.5834207535,192333.30358481407,1172.0440146724382
3,6557686.846113682,269436.78951382637,148556.15053534508,672.4599761274128
4,7756411.49783206,318516.9393091202,140251.36777067184,993.1901763982243
5,1.3361825757193089E7,548489.2406532764,363192.0882115364,1031.0254050466751
6,7569551.915833712,314679.70324254036,140980.23711657524,967.3721557007897
7,4865539.546726465,200667.42736148834,121722.07232618332,438.8763160983721
8,1.0118477678851366E7,416780.7700703144,191629.9565732479,1252.0505920728044
9,1.0885587616996765E7,445227.61699676514,221730.9601521492,1242.1562434011032
10,2.1765188380851984E7,891058.5237596035,760874.4260978699,724.4214119527076
11,9257177.634996414,375732.4434530735,223689.14286899567,848.3276068528495
12,2.189944798291397E7,894776.1494238377,699017.1099038124,1088.3686073382694
13,1.0828117060783863E7,439898.93836927414,239478.82316565514,1116.1152301324737
14,2.1021784306901455E7,859334.1143853664,655220.2687773705,1135.6283751792375
15,6390060.955569029,259341.78856158257,161474.89478564262,544.8447269850309
16,2.1842737380194664E7,894032.8974845409,735539.999145031,881.322552992238
17,1.1385845277243853E7,469992.24446988106,340325.8950791359,721.9040770543946
18,1.6631246352813005E7,682149.2251029015,535253.7637171745,817.4891378839811
19,1.212336884838128E7,496965.372964859,281169.34794831276,1199.7134781837462
20,2.1624469990368843E7,890211.3439064026,718396.6239538193,954.8722307019763
21,1.6084776149739504E7,658416.1497395039,491412.70508646965,929.2843980643485
22,1.1230987822618008E7,457224.1061244011,340516.8501727581,650.627673749129
23,1.9929124983206034E7,815006.9633846283,631600.1644601822,1019.4514323380262
24,1.2100625858408928E7,497508.58787989616,298952.3284664154,1107.4418564915654
25,1.6027988835349321E7,652724.3708968163,496354.442463398,870.2648104257055
26,2.377743990044856E7,973079.0327410698,737102.3112978935,1311.6090676016277
27,1.201209713563466E7,490595.6515376568,363785.48314094543,708.1491807964113
28,2.1722594932341814E7,891483.303781271,762391.1101748943,718.0194332281749
29,2.170584914581418E7,885270.5023760796,808781.7712724209,425.8102127035459
30,2.1691623248187304E7,885070.5421271324,759837.0823152065,696.7733606947793
31,2.085847031586671E7,851279.5037133694,644371.0962629318,1150.5719279302489
32,2.0409459828614235E7,834163.2959635258,666082.6309547424,935.2825387080512
33,2.160554828283477E7,884217.6883020401,694434.5350911617,1054.631829222043
34,2.0136903637852192E7,823822.447511673,694908.774472475,717.2879098123975
35,1.1946215088448524E7,489976.49035668373,388173.3081526756,569.5864691376686
36,2.0790218203255653E7,853041.9967403412,656757.9195740223,1094.15611480342
37,2.1595947467583656E7,887319.1185548306,780945.7853524685,595.7857860326768
38,2.1534850676658154E7,883569.3801240921,700893.6073219776,1015.3909046305553
39,1.633802179762292E7,672382.8829317093,533706.1166439056,770.9007463097574
40,2.1345486905306578E7,877111.56878829,826864.4849352837,281.2982649975352
41,2.149148316069126E7,878649.1631143093,783211.0922281742,530.8508630832036
42,2.1737733455670595E7,890442.1306226254,707514.749705553,1023.5236011571357
43,2.069124228579092E7,848702.7471272945,716392.014509201,737.5270229207147
44,2.1496207114899874E7,882275.5535066128,763298.0181603432,661.7648627294436
45,2.1482754671020746E7,882867.2610855103,735335.6983771324,820.0169341736371
46,2.2126310722210407E7,909943.5900335312,687077.1790719032,1239.3453223850993
47,2.18446737237041E7,894593.7877733707,740986.7734107971,855.5456291675567
48,2.123255775017619E7,872850.4923574924,708140.3288753033,917.4699433260494
49,2.1218389517415047E7,872824.5388753414,748194.3379232883,694.160597349538
50,2.1414088326714277E7,880843.6303272247,774381.1623322964,592.3134621739389
51,2.0746013415289164E7,850043.461286068,782213.968029499,378.11392741468217
52,2.1339840335338354E7,877020.3353383541,702626.9454116821,970.8650999387106
53,2.137120574120426E7,872963.9025115967,661604.2585935593,1177.0977194017833
54,2.0543143353595495E7,840677.4121778011,704437.5261881351,759.3093171331618
55,2.113479332357216E7,866250.9403028488,757720.0603644848,605.6477155990071
56,2.138263845979047E7,875904.882114172,765280.1299862862,618.674333548546
57,2.1314496719476223E7,872299.9169895649,709093.1198284626,907.6603923492962
58,2.1255782500979662E7,870794.8983869553,748066.3409180641,682.6262133836748
59,2.1288368680028915E7,874074.2539579868,640900.9127323627,1301.7386052992606
60,2.1273778025382757E7,873506.1843063831,754634.458060503,660.6442683974902
61,2.125968203082609E7,873417.1527938843,759245.0347826481,636.1516381104785
62,2.124373264033842E7,871485.7141265869,767504.6804687977,579.5170834700268
63,2.1182488713498116E7,867528.9954164028,738309.794447422,718.2379677414896
64,2.0566689284910917E7,845718.3639044762,690013.2715198994,865.1752787735728
65,2.1155800505906105E7,865313.6884419918,702002.221694231,909.7880339357588
66,2.1189859485958338E7,870103.5051534176,688548.2219405174,1010.0193501035374
67,2.112759996345496E7,865063.8404767513,744008.9543166161,672.8843801312977
68,2.1160451002202988E7,865055.0106401443,799973.2862801552,362.169796596633
69,2.1146362885424137E7,864982.0170428753,622335.5248522758,1348.5940148168138
70,2.3159169227060318E7,946351.0452547073,725027.7244451046,1230.5419999255073
71,2.111977438029766E7,866352.7783033848,753854.5647754669,625.4478116061954
72,2.0813449460294962E7,847920.0871868134,714809.9654779434,741.9449847022693
73,2.114460811720848E7,865172.8164827824,665728.6850664616,1108.8229912837344
74,2.1077225116106033E7,862171.6645944118,647448.9997413158,1193.545716310872
75,2.145168137737608E7,876011.6427156925,729324.6803469658,816.4394306288826
76,2.186757362024188E7,895179.870998621,675066.781781435,1225.8755310575166
77,2.0987040266604185E7,857209.8794972897,782190.0355997086,418.55496824979787
78,2.102246809609723E7,863439.2083790302,735169.6725823879,714.7123228669168
79,2.0960757709834337E7,858978.748067379,682516.6113982201,981.4796297828357
80,2.0944553973217487E7,856728.1148626804,659138.4266648293,1098.0846738047069
81,2.0980143447341204E7,863087.4478759766,639437.7921965122,1242.6028993990685
82,2.096495379761648E7,861928.7657489777,736926.5778777599,698.1516244570415
83,2.0903311564471006E7,853983.384114027,770061.4771749973,466.9402865396606
84,2.0890811671277285E7,855455.0973162651,706620.6227240562,827.9165241877238
85,2.1581670314608097E7,886530.9883768559,728172.9074721336,881.0498521023326
86,2.086244836559534E7,855048.667021513,690922.736089468,914.0147832552592
87,2.084915262480569E7,855794.5903997421,649970.1736834049,1144.0195193833772
88,2.0879896741640806E7,857251.1185493469,636752.2143452168,1227.7696042021114
89,2.0659848739983797E7,852951.6585843563,696889.3863999844,870.7734380986956
90,2.0853804736756086E7,855684.7367560863,610426.2965276241,1364.7480025344423
91,2.0838148178261757E7,853912.0234560966,638517.2736756802,1197.2260872496497
92,2.0779212074937105E7,852269.6721327305,779850.0153331757,403.2770030127631
93,2.081122018419242E7,854952.3504602909,670875.642036438,1023.8046768784525
94,2.0750511595371485E7,851514.4936563969,694131.6591613293,875.876090555721
95,2.0781537302868366E7,853292.1955704689,737489.7436676025,648.7455907358063
96,2.077055640557003E7,849192.2274153233,625981.2983686924,1246.5814324577645
97,2.075624049745369E7,848860.9245927334,732330.7581472397,650.7279827581513
98,2.0740149469315052E7,846796.0633068085,698817.0789496899,824.7115632096926
99,2.0519865090363503E7,842175.0335640907,702365.5068995953,777.4463979257478
100,2.0665927225680828E7,843714.659317255,673827.3952028751,945.6759543604322
