Resource utilization
Resource,Utilization %
Role 1,52
SYSTEM,0
Role 4,6
Role 6,3
Role 3,127
Role 2,174
Role 5,117

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1649.4357756400595,17.811275482177734,7933.079416513443,161644.70601272583,6.643334777987733,0.0,382.82630228996277,651.0468082427979,7.666822178023202,0.0,751.3485734462738,751.3485734462738,9.126624671455955,0.09895153045654297,44.07266342507468,894.4092178026835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Amend Request for Quotation,622.2195231999669,80.93195056915283,1131.508507490158,52266.439948797226,13.28432683717637,0.0,669.4889795780182,1115.883454322815,0.0,0.0,0.0,0.0,3.3829733131266138,0.4496219476064046,6.286158374945322,284.16975830263556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
Analyze Purchase Requisition,383.1597843555489,61.497825384140015,533.9690625667572,75865.63730239868,0.0,0.0,0.0,0.0,1.9579361701252485,0.0,387.6713616847992,387.6713616847992,2.1286654686419384,0.34165458546744454,2.96649479203754,421.4757627911038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Analyze Quotation Comparison Map,1189.7252037620544,369.32233691215515,2286.0584955215454,118972.52037620544,18.225773022174835,0.0,933.0492842197418,1822.5773022174835,7.472441346645355,0.0,747.2441346645355,747.2441346645355,6.508330170777111,2.051790760623084,11.278139764732785,650.833017077711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1379.6298642352872,88.06643295288086,3008.6222429275513,253851.89501929283,0.0,0.0,0.0,0.0,14.027619549761647,0.0,1780.4571332931519,2581.081997156143,7.664610356862712,0.4892579608493381,16.714568016264174,1410.288305662739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
Approve Purchase Order for payment,89.94017815589905,60.0,2597.4363458156586,8994.017815589905,29.940178155899048,0.0,2537.4363458156586,2994.017815589905,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1850.446906657219,0.0,24333.24739432335,185044.6906657219,1850.446906657219,0.0,24333.24739432335,185044.6906657219,116.73157784700393,0.0,8628.639529943466,11673.157784700394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,20.462551622390748,0.0,743.3478538990021,2046.2551622390747,20.462551622390748,0.0,743.3478538990021,2046.2551622390747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,548.1967992043495,361.1670708656311,774.1381738185883,54819.67992043495,1.2,0.0,120.0,120.0,0.0,0.0,0.0,0.0,3.0388711066908303,2.006483727031284,4.30076763232549,303.88711066908303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1756.3180774092675,364.3670461177826,3261.6890363693237,175631.80774092674,14.943192002773285,0.0,941.4629833698273,1494.3192002773285,5.20636419057846,0.0,519.6364190578461,520.6364190578461,9.674304918924967,2.0242613673210146,18.120494646496244,967.4304918924968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,11603.358055899143,2289.8188076019287,21803.68308353424,1160335.8055899143,0.0,0.0,0.0,0.0,544.8138692522049,0.0,19089.712366342545,54481.38692522049,64.46310031055079,12.721215597788493,121.13157268630134,6446.310031055078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,330.8712804341316,6.456569194793701,1129.849618434906,33087.12804341316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67634756037924,0.07173965771993002,12.553884649276734,367.63475603792403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,66730.92593818903,2319.2217247486115,171423.35547065735,6673092.593818903,570.4742926478386,0.0,18692.641949653625,57047.42926478386,17337.335080289842,-7078.0,76043.45825195312,1733733.508028984,367.5580646974511,12.884565137492286,952.3519748369853,36755.806469745105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Pay Invoice,3862.58866263628,250.98550033569336,26492.608914375305,386258.866263628,3280.5272698664667,0.0,26127.509280204773,328052.72698664665,388.7475376152992,0.0,16646.62333536148,38874.75376152992,3.2336744042767425,1.394363890753852,4.990312647819519,323.36744042767424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,101.64885979175568,60.0,2364.5265789031982,10164.885979175568,41.648859791755676,0.0,2304.5265789031982,4164.885979175568,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,3791.8943002676965,120.15070724487305,31469.35953593254,379189.43002676964,3528.2315237736702,0.0,31165.135426044464,352823.152377367,133.59216611623765,0.0,13005.009966611862,13359.216611623764,1.4647932027445898,0.6675039291381836,2.298579854435391,146.47932027445898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,560.7024437141419,0.0,22683.855018615723,56070.244371414185,560.7024437141419,0.0,22683.855018615723,56070.244371414185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1372.9783917689324,222.84005665779114,2350.0016016960144,137297.83917689323,0.0,0.0,0.0,0.0,9.4775142455101,0.0,728.5132050514221,947.7514245510101,7.627657732049625,1.2380003147655063,13.055564453866747,762.7657732049624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,27495.900259518625,12.64051628112793,52535.87286877632,2749590.0259518623,0.0,0.0,0.0,0.0,5394.285700075627,0.0,37119.273092746735,539428.5700075626,152.75500144177013,0.07022509045071072,291.8659603820907,15275.500144177013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10510.884027962415,599.6936075687408,38368.57086133957,557076.853482008,1604.7313889107613,0.0,16595.5487947464,85050.76361227036,258.93160516810866,0.0,8628.639529943466,13723.37507390976,49.4786257725092,3.3316311531596714,213.15872700744205,2622.3671659429874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),63348.08389186859,156425.11024772405,272659.80220270157
Process Cycle Time excluding out of timetable hours (s),63348.08389186859,155784.41896614552,272656.80220270157
Process Waiting Time (s),0.0,10784.97993000269,54999.98734283447
Accumulated Process Duration (s),63348.08389186859,156425.11024772405,272659.80220270157
Cost,258.6171312967936,676.9939143173032,1393.140089231067


Process Cycle Time (s) distribution
From,To,Count
63348,84279,10
84280,105211,10
105212,126143,9
126144,147075,14
147076,168007,17
168008,188939,6
188940,209871,18
209872,230803,10
230804,251735,3
251736,272667,3

Process Waiting Time (s) distribution
From,To,Count
0,5499,55
5500,10999,11
11000,16499,5
16500,21999,6
22000,27499,8
27500,32999,7
33000,38499,2
38500,43999,3
44000,49499,2
49500,54999,1

Accumulated Process Duration (s) distribution
From,To,Count
63348,84279,10
84280,105211,10
105212,126143,9
126144,147075,14
147076,168007,17
168008,188939,6
188940,209871,18
209872,230803,10
230804,251735,3
251736,272667,3

Process Cost distribution
From,To,Count
258,371,9
372,485,13
486,599,23
600,713,16
714,827,12
828,941,12
942,1055,8
1056,1169,5
1170,1283,1
1284,1397,1

In-timetable Cycle time (s) distribution
From,To,Count
63348,84278,10
84279,105209,11
105210,126140,8
126141,147071,15
147072,168002,16
168003,188933,6
188934,209864,19
209865,230795,9
230796,251726,3
251727,272657,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,94311.08241391182,94310.08241391182,0.0,478.4717791067229
2,100082.79517269135,100081.79517269135,0.0,507.389194410377
3,74598.49210524559,74597.49210524559,0.0,411.15858827961813
4,152398.57645964622,152396.57645964622,0.0,816.3189697027207
5,145662.17154717445,145661.17154717445,0.0,679.449016740587
6,103381.54844665527,103380.54844665527,91.11460781097412,537.0286159992218
7,184705.4520418644,184703.4520418644,7496.015688657761,871.0429761899844
8,206538.61649513245,206536.61649513245,12549.526799440384,569.5572709878287
9,202969.88068413734,202967.88068413734,26739.969235658646,561.4541268957986
10,252671.95462846756,252668.95462846756,37899.557456731796,623.1725952280894
11,203456.14725995064,203453.14725995064,30288.016790151596,665.9609456181528
12,206638.92288136482,206636.92288136482,29299.089464902878,740.5662165866959
13,210958.28511857986,210956.28511857986,28785.537936210632,834.064677365621
14,96752.14812254906,96751.14812254906,1020.8093457221985,339.95160115559895
15,204741.17519378662,204739.17519378662,41806.2006175518,863.7753195789127
16,202828.39201378822,202826.39201378822,40601.89724302292,821.7416130264601
17,199923.88489699364,199921.88489699364,22332.152954101562,890.6865854303043
18,155548.93739295006,155546.93739295006,54999.98734283447,530.849454981751
19,134547.995326519,134545.995326519,44359.72113394737,492.67544346915355
20,272659.80220270157,272656.80220270157,20564.805491924286,1393.140089231067
21,146986.88570284843,146985.88570284843,11883.984065055847,751.0235373854637
22,126556.03824830055,126555.03824830055,33037.906506061554,522.0579920503827
23,245631.78957128525,237001.15004134178,44817.41855883598,688.6920937551394
24,165778.72862315178,165776.72862315178,25024.945544481277,362.9879398398928
25,95442.48731517792,95441.48731517792,32163.78056716919,352.6803091075684
26,143253.92868995667,143251.92868995667,8198.105612039566,483.82140868769744
27,213153.30099987984,196504.67766451836,13133.017539024353,699.203387482961
28,135311.37360310555,135309.37360310555,3018.7095155715942,527.679485420386
29,243318.94538974762,243316.94538974762,21648.959141254425,1082.7351755605803
30,63348.08389186859,63348.08389186859,0.0,353.4368295550346
31,163859.56613779068,155229.9266078472,32965.930966854095,589.1647447069487
32,189628.96772241592,189625.96772241592,3442.18244433403,695.521680103408
33,171371.45004844666,171369.45004844666,19606.011093854904,708.1718875500892
34,205349.13968086243,205347.13968086243,1110.5843524932861,989.8292481409179
35,151753.00760030746,151752.00760030746,26986.114582538605,494.9489169955253
36,189430.02696943283,189428.02696943283,0.0,1001.4753135707643
37,225449.19976449013,225447.19976449013,17175.125834703445,1048.6772088355485
38,133992.1604294777,133991.1604294777,26233.499423742294,429.2817000786463
39,212566.1983795166,212564.1983795166,10796.633618354797,940.9338900407157
40,227222.98640561104,227219.98640561104,0.0,1231.3243552790746
41,201290.18526434898,201288.18526434898,29580.38836669922,892.2310195379787
42,193393.08861088753,193391.08861088753,41197.27720475197,795.8910198211671
43,176524.54377007484,176522.54377007484,24107.713675260544,848.4552461518181
44,80631.27478313446,80630.27478313446,9006.93148612976,400.77464787165326
45,190725.04533863068,190723.04533863068,6977.781103610992,1041.208994452158
46,176473.27123856544,176471.27123856544,2422.699211359024,620.7015654749341
47,66384.86823129654,66383.86823129654,7611.572590351105,326.98648777935233
48,156125.8448421955,156123.8448421955,8816.12594985962,677.9579127457407
49,225707.00900888443,225704.00900888443,0.0,1122.4690021965237
50,116363.30029129982,116362.30029129982,1104.262167930603,610.8407365136677
51,156989.0605711937,143983.05060458183,4992.735342502594,716.570312608613
52,148726.85469532013,148724.85469532013,18696.018694639206,557.3997991946009
53,137454.3175752163,134410.79932045937,13513.20975804329,507.66655630668004
54,132526.20832705498,132175.00168204308,5479.361813783646,580.2868199163013
55,217984.2804429531,217981.2804429531,320.9073362350464,841.6792636990549
56,110258.91821908951,96660.42732286453,2841.8212008476257,520.0350695504081
57,148154.9834060669,148152.9834060669,8863.57510304451,508.635228606065
58,179961.96372890472,179959.96372890472,5013.348543643951,723.954335392846
59,153239.78097963333,153238.78097963333,841.600750207901,769.5357080194686
60,235538.6939868927,235535.6939868927,30158.90722823143,585.322074382835
61,215115.20245838165,215113.20245838165,16101.759256839752,1147.5897308270135
62,106874.14775490761,106873.14775490761,366.089403629303,537.512503071626
63,163797.67223668098,163795.67223668098,94.38041043281555,570.063753798273
64,74514.07776093483,74513.07776093483,338.8385691642761,297.0715403305159
65,65226.692885160446,65225.692885160446,0.0,258.6171312967936
66,95533.57523393631,95532.57523393631,0.0,473.9102095007896
67,165738.86702251434,165736.86702251434,4729.966616153717,806.4131602393259
68,165324.17687153816,165322.17687153816,3403.4669070243835,859.0335790342755
69,163188.09093928337,163186.09093928337,18450.18474340439,644.3404442389808
70,129526.76438069344,129524.76438069344,3306.7651512622833,606.0116886602509
71,110966.69359278679,110964.69359278679,25622.846319913864,454.7600288881195
72,99143.26500701904,99141.26500701904,27199.085349082947,364.2918060077561
73,191718.21845769882,191716.21845769882,0.0,1105.4777981228299
74,139926.2078680992,139925.2078680992,0.0,780.8035248623955
75,114364.80768203735,114363.80768203735,0.0,638.1973752776782
76,219863.95130991936,219860.95130991936,0.0,1005.9396438625124
77,80979.03992009163,80978.03992009163,0.0,406.28971498939717
78,70943.91049385071,70942.91049385071,0.0,395.5207843263944
79,140886.54849934578,140885.54849934578,0.0,650.1294414745437
80,111093.1093943119,111092.1093943119,0.0,553.144836069478
81,194136.4730052948,194134.4730052948,669.4889795780182,971.7769643386206
82,258498.22222042084,258495.22222042084,191.8272635936737,859.3308376616902
83,107433.94731259346,107432.94731259346,0.0,485.8639389077822
84,81340.82749676704,81339.82749676704,0.0,412.19155364698827
85,189927.9032239914,189925.9032239914,1873.7672500610352,1039.1875972297455
86,191536.66624188423,191534.66624188423,0.0,779.5581358724171
87,167532.11441802979,167530.11441802979,6030.801958084106,821.2045703676014
88,97452.50628471375,97451.50628471375,0.0,473.5111755649249
89,192303.59847521782,192301.59847521782,0.0,864.1753740602071
90,118127.63381004333,118126.63381004333,410.63351917266846,502.386114027765
91,89977.39021348953,89976.39021348953,2304.5265789031982,368.20495185587134
92,213382.74703335762,213379.74703335762,8902.889967441559,1152.9297548413276
93,160000.9503889084,159999.9503889084,0.0,890.3401383770839
94,77008.59999728203,77007.59999728203,451.4361846446991,426.32386869192123
95,90122.80001783371,90121.80001783371,268.2205059528351,503.9054937561353
96,142307.10284614563,142305.10284614563,0.0,520.8277465648122
97,159991.7526986599,159989.7526986599,6157.46906375885,527.4043014023038
98,108668.2672483921,108667.2672483921,0.0,606.6177390681374
99,187685.9914970398,187682.9914970398,0.0,1017.6082045025298
100,131116.49168372154,131115.49168372154,0.0,690.2202917602327
