Resource utilization
Resource,Utilization %
Role 1,35
SYSTEM,0
Role 4,4
Role 6,2
Role 3,79
Role 2,123
Role 5,72

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,4008.216852731794,18.980703353881836,13726.171224594116,428879.20324230194,2428.9475075151317,0.0,11321.236192941666,259897.3833041191,0.0,0.0,0.0,0.0,8.773718584537015,0.1054483519660102,53.02981836530898,938.7878885454605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Amend Request for Quotation,1983.4725419866795,221.55711960792542,10572.155839681625,194380.3091146946,1320.239427649245,0.0,9946.15822005272,129383.463909626,0.0,0.0,0.0,0.0,3.6846284129857483,0.9670454700787862,6.394129033883413,361.0935844726033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Analyze Purchase Requisition,388.94536376114627,241.0615940093994,653.8520901203156,80511.69029855728,2.3448960193689317,0.0,194.48135256767273,485.3934760093689,0.0,0.0,0.0,0.0,2.147780376343208,1.3392310778299967,2.9718925065464443,444.5905379030441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Analyze Quotation Comparison Map,2167.4457540917397,360.1373624801636,10901.001988649368,216744.57540917397,993.7412155556678,0.0,9350.17620062828,99374.12155556679,7.778225855827332,0.0,777.8225855827332,777.8225855827332,6.520580769644843,2.0007631248897977,11.262521068255106,652.0580769644843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,2414.332508187101,54.99192690849304,17676.616201877594,478037.83662104607,1062.180414888594,0.0,16519.196618556976,210311.7221479416,204.9814142855731,0.0,10469.293017864227,40586.32002854347,7.511956073880595,0.2489682568444146,14.498610089884863,1487.3673026283577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Approve Purchase Order for payment,249.86585461378098,60.0,5633.759041547775,24986.585461378098,189.86585461378098,0.0,5573.759041547775,18986.585461378098,202.86169491291045,0.0,7204.39563369751,20286.169491291046,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,8721.183544239997,0.0,55434.129999399185,872118.3544239998,8721.183544239997,0.0,55434.129999399185,872118.3544239998,3051.292677438259,0.0,64562.15213537216,305129.2677438259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,759.8769875955581,0.0,8507.897874116898,75987.69875955582,759.8769875955581,0.0,8507.897874116898,75987.69875955582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,2549.9125396084787,285.37776017189026,17513.36724114418,254991.25396084785,1970.5863236689568,0.0,17073.464867591858,197058.63236689568,476.95915759801863,0.0,11814.710961818695,47695.915759801865,3.218478977441787,1.5854320009549459,4.322351916631063,321.8478977441787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,4554.526570086479,360.3292028903961,15040.436437368393,455452.6570086479,2629.563102185726,0.0,12006.120176792145,262956.3102185726,0.0,0.0,0.0,0.0,10.694241488337516,2.001828904946645,18.83564308087031,1069.4241488337516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,12865.980880572795,491.5790910720825,30218.946669340134,1286598.0880572796,1214.2974866199493,0.0,12727.181485891342,121429.74866199493,1235.011494743824,0.0,18383.33874154091,123501.1494743824,64.73157441084918,2.7309949504004583,120.65698705249362,6473.157441084918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,329.27621619701387,8.17386245727539,1843.9612832069397,32927.621619701385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6586246244112646,0.09082069396972656,20.48845870229933,365.86246244112647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,85594.07179070235,9757.747945547104,208943.38700270653,8559407.179070234,9157.12904892683,0.0,73167.37198066711,915712.904892683,17127.373135921956,-86398.0,117765.43567943573,1712737.3135921955,424.6496818987529,54.20971080859502,918.9791229274538,42464.96818987529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70127.3830401206,0.0,223239.1338043213,7012738.30401206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Pay Invoice,7416.316945195198,244.72096180915833,55434.129999399185,741631.6945195198,6865.555037689209,0.0,55185.512808561325,686555.5037689209,3668.7032359981536,0.0,64562.15213537216,366870.32359981537,3.0597883750332717,1.3595608989397685,4.996076267295414,305.97883750332716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,514.8364425373078,60.0,12385.573936700821,51483.644253730774,454.83644253730773,0.0,12325.573936700821,45483.644253730774,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,7403.728111126423,133.23864579200745,50206.739371299744,740372.8111126423,7146.398577442169,0.0,49929.718465566635,714639.8577442169,1654.7816184282303,0.0,58985.24901866913,165478.16184282303,1.4296085204680762,0.6893786907196044,2.316221194797092,142.96085204680762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,9209.88052777052,0.0,67888.64326620102,920988.0527770519,9209.88052777052,0.0,67888.64326620102,920988.0527770519,1664.9926976966858,0.0,42194.22225308418,166499.26976966858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,2817.043427808285,382.5930726528168,18172.82108592987,281704.3427808285,1390.734800965786,0.0,16337.444727182388,139073.4800965786,83.57094908475875,0.0,8357.094908475876,8357.094908475876,7.923936815791662,2.1255170702934265,13.234743501080407,792.3936815791662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,25820.93188343048,331.3614549636841,52401.024513959885,2582093.188343048,1795.0754773736,0.0,15298.092346191406,179507.54773736,8726.130423574448,0.0,42311.77939462662,872613.0423574448,133.47698003364928,0.5427702095773485,283.44707724650704,13347.698003364927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,19971.940609194196,363.48579621315,79065.3134675026,1058512.8522872925,11502.774494319592,0.0,63483.09165740013,609647.0481989384,2904.3263346834,0.0,46482.90456032753,153929.29573822021,47.05092286041448,2.0193655345175,206.87909360991583,2493.6989116019677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35358.78422941923,0.0,201614.03743076324,3535878.422941923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),82613.37359499931,338708.87512967584,793594.7044987679
Process Cycle Time excluding out of timetable hours (s),82612.37359499931,286240.74090943096,592317.5516767502
Process Waiting Time (s),0.0,64595.9745375514,293265.3784248829
Accumulated Process Duration (s),82613.37359499931,338708.87512967584,793594.7044987679
Cost,265.4704279409515,717.2855448325607,1322.7708030859628


Process Cycle Time (s) distribution
From,To,Count
82613,153711,7
153712,224810,21
224811,295909,28
295910,367008,10
367009,438107,10
438108,509206,2
509207,580305,8
580306,651404,6
651405,722503,5
722504,793602,3

Process Waiting Time (s) distribution
From,To,Count
0,29326,46
29327,58653,17
58654,87980,9
87981,117307,6
117308,146634,3
146635,175961,7
175962,205288,7
205289,234615,0
234616,263942,3
263943,293269,2

Accumulated Process Duration (s) distribution
From,To,Count
82613,153711,7
153712,224810,21
224811,295909,28
295910,367008,10
367009,438107,10
438108,509206,2
509207,580305,8
580306,651404,6
651405,722503,5
722504,793602,3

Process Cost distribution
From,To,Count
265,370,6
371,476,8
477,582,21
583,688,14
689,794,17
795,900,13
901,1006,6
1007,1112,10
1113,1218,1
1219,1324,4

In-timetable Cycle time (s) distribution
From,To,Count
82612,133582,7
133583,184553,27
184554,235524,10
235525,286495,19
286496,337466,4
337467,388437,10
388438,439408,2
439409,490379,7
490380,541350,6
541351,592321,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,134292.42201280594,134290.42201280594,0.0,593.4385269853806
2,216467.617757082,172799.0,3000.207601070404,485.2619111961789
3,208319.81674027443,172484.8569238186,6649.857612609863,741.4285698797969
4,208296.58263134956,172798.0,7383.425925254822,838.6429925375514
5,207560.4605255127,172799.0,4138.253845214844,554.5333718975386
6,183837.06361842155,172799.0,4336.088861942291,661.0595216525927
7,179545.85936403275,172799.0,5763.002441883087,565.0767620364825
8,160109.65610837936,160107.65610837936,733.1549026966095,613.0674644324515
9,233902.21306324005,233900.21306324005,16932.240812063217,396.86430369085735
10,231539.35487627983,231537.35487627983,5098.643551111221,875.1871877577571
11,231315.33257627487,231312.33257627487,4976.395443916321,863.8684427221618
12,233792.20110583305,191676.48031949997,458.8321011066437,1036.0211891187562
13,207341.64037442207,172798.0,1854.5771164894104,1277.3833291159733
14,204605.1772377491,172798.0,6525.62199306488,649.5072550151083
15,204381.5592930317,172799.0,5450.78893327713,599.0643897361227
16,168312.05919790268,168310.05919790268,2368.450950860977,709.711618698968
17,94053.78675508499,94052.78675508499,3467.0278825759888,461.50460561778806
18,400939.1842596531,399331.05609846115,20678.7924990654,1040.4667222552828
19,391673.6603708267,345597.0,72661.44836163521,791.0265809761155
20,381221.33406186104,345599.0,10580.202609300613,626.6288167993229
21,376573.138566494,338505.3935801983,93834.16292142868,1077.3324971146053
22,101815.40430188179,86399.0,8447.966671466827,779.3077161153158
23,129223.58917760849,114565.27251768112,9775.55057835579,582.3769292725458
24,358529.3112561703,332703.71699666977,83961.68570709229,1089.6842660956913
25,358255.57560658455,339736.5419306755,25499.92113995552,734.668139688174
26,329958.57929110527,329956.57929110527,41433.15613222122,608.5431317369145
27,328712.77885198593,323098.5912249088,19302.86191010475,723.6318816118771
28,298762.47347664833,259199.0,53683.15737915039,424.8022157947222
29,288589.34100556374,245643.35939979553,70236.21034359932,517.8913213782839
30,282722.5344479084,259198.0,32030.860228061676,860.1799149102636
31,280506.87371087074,245902.4026904106,71581.64371657372,564.8941341890229
32,259425.61169672012,257419.48243808746,45328.47101807594,963.4857183721332
33,257564.78439712524,257561.78439712524,30798.58021259308,690.864964413643
34,255204.89545464516,255201.89545464516,14265.530663490295,1035.4605420390765
35,264941.5067317486,264938.5067317486,29275.784289360046,948.7193420860502
36,249629.68406796455,236734.40106463432,94280.48304104805,509.14583185513806
37,247555.7759335041,247553.7759335041,28071.86169910431,847.3415403789944
38,258639.55496621132,253041.2397327423,30149.900769233704,1089.3530481881564
39,229484.94972395897,229378.93119835854,85357.65558862686,370.90863014989424
40,377003.7229781151,142993.46051478386,39362.19966220856,469.43227735757824
41,376320.02081537247,179948.3054435253,37551.966213941574,365.98345167239506
42,363208.4698534012,179157.79186344147,45921.803339481354,361.1226298676596
43,401189.8642785549,259198.0,55896.037895679474,710.8862763828703
44,280006.89884257317,177346.49695801735,44515.61340522766,739.4146706117526
45,275442.87255072594,165370.89570474625,39758.50397229195,718.4558099481795
46,246864.79001188278,178847.69372820854,49322.24177265167,265.4704279409515
47,232059.1131002903,177946.02540373802,89614.40417313576,855.4879741787911
48,321898.37028837204,216519.22733926773,49292.57415962219,510.30354561540804
49,233313.2974603176,204102.16614937782,26960.243763685226,1002.0818911896813
50,192301.67987656593,155888.24380779266,58900.35363674164,539.6131936457423
51,218043.6827290058,203253.73455119133,34919.21765708923,571.1845809009342
52,184102.31591558456,178356.76899528503,66634.01917004585,798.5768134964837
53,274599.4709658623,247326.04080486298,39157.444328308105,689.5572783562873
54,224412.1338713169,155108.8629348278,9757.747945547104,587.2379600538148
55,189089.37345004082,167696.1866734028,12885.788527727127,693.9580903742049
56,246729.6049964428,246726.6049964428,17123.52895283699,644.7566878239315
57,167125.82867860794,167123.82867860794,0.0,554.6655832158195
58,133835.6731376648,86399.0,0.0,416.31649774312973
59,176189.45212483406,172798.0,8507.156114816666,660.1865874277222
60,166719.32303667068,166717.32303667068,827.3475828170776,756.1988407121764
61,156367.3129863739,156365.3129863739,11471.093716144562,517.844826148616
62,399571.6281437874,345598.0,0.0,1210.8672827084858
63,390732.1618373394,345598.0,2627.317408800125,1046.2060293303596
64,376442.6969089508,345598.0,1412.6881365776062,956.4998475631079
65,102954.22524690628,86399.0,2322.732437849045,822.7446136673291
66,351337.9120399952,345598.0,3473.3647944927216,645.3862694978714
67,82613.37359499931,82612.37359499931,0.0,464.4533951097064
68,322249.5906136036,322248.5906136036,0.0,557.6574762423835
69,305190.81774163246,259198.0,11213.647917509079,808.9738029572699
70,285477.5610702038,259198.0,2932.3318209648132,1024.268787981404
71,255157.47285747528,255156.47285747528,0.0,444.24305284950464
72,258154.57988262177,258151.57988262177,12325.573936700821,1089.0246644602882
73,793594.7044987679,536689.4825851917,185640.40143084526,792.3210236443414
74,788063.5108323097,545260.9798681736,160088.59613609314,572.9477794342571
75,570404.922426939,348293.94265675545,157369.95256114006,691.4423360877568
76,746689.4761390686,478856.139421463,178604.78342819214,667.8670276827283
77,207753.30907058716,95335.24258828163,42651.94479846954,293.11224620739614
78,708400.5185043812,592317.5516767502,201972.57899951935,1322.7708030859628
79,705425.7373349667,525161.5318677425,180938.43862104416,585.7513288378715
80,703287.331006527,557740.5566546917,164381.97762036324,708.2300060073535
81,698505.5991930962,549227.5282816887,153143.98891711235,825.6544748147329
82,680208.0092456341,538834.2365467548,177115.8870127201,603.8838614675734
83,626765.4586436749,549227.5282816887,174115.4040002823,958.0367117537395
84,610197.7465829849,528717.82980299,275855.05829930305,494.65567817555535
85,603616.4316475391,550499.3669924736,293265.3784248829,358.30853904883065
86,252603.94662332535,243610.551748991,104235.24352097511,474.84793744484585
87,597474.2271118164,542243.1536035538,238752.36477923393,566.4270863850912
88,592380.9512388706,522923.40920233727,192674.3165729046,844.5502389921083
89,587046.0939674377,547150.5443356037,261324.11539292336,558.9116965108449
90,236507.4245212078,219829.62755441666,85898.82177305222,519.7206488105987
91,236276.35361528397,185877.64963889122,59828.1587061882,547.7560097800362
92,547949.5815298557,473486.1821935177,178744.765314579,770.0306611365743
93,547763.0738704205,513510.16905879974,243994.39089035988,520.2301398581928
94,543660.683390379,489211.6057789326,124608.04646968842,1285.8978637403911
95,536915.8832271099,462784.03743863106,162123.14309310913,803.598020943006
96,534187.5532090664,414384.2939045429,111027.08235502243,950.2452685885961
97,522311.04149389267,483066.05379772186,134983.4564962387,1249.619262239668
98,513771.17685103416,439569.9477906227,163030.09088015556,805.1371091696953
99,499909.2791926861,446571.5528116226,104509.67045140266,1096.8793636772366
100,474908.8515179157,385821.31482696533,123659.99691176414,562.3249151865641
