Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,1
Role 6,0
Role 3,99
Role 2,146
Role 5,7

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1676.962926385354,54.57419466972351,6324.972538232803,164342.3667857647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.316460702140855,0.30318997038735285,35.13873632351557,913.0131488098037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Amend Request for Quotation,654.7505671219392,210.34003376960754,1193.775260925293,72022.56238341331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6375031506774396,1.1685557431644864,6.6320847829182945,400.12534657451835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Analyze Purchase Requisition,390.6578810491947,242.53673601150513,537.7074022293091,77350.26044774055,0.0,0.0,0.0,0.0,24460.62403297665,0.0,218112.59357905388,4843203.558529377,2.170321561384415,1.3474263111750284,2.9872633457183837,429.72366915411413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Analyze Quotation Comparison Map,1155.3621533036232,390.9165346622467,2035.6702749729156,115536.21533036232,0.0,0.0,0.0,0.0,0.26078291893005373,0.0,25.07829189300537,26.07829189300537,6.4186786294645755,2.1717585259013705,11.309279305405086,641.8678629464575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,2966.303043138413,190.3987054824829,17513.923387527466,622923.6390590668,1548.3711870227542,0.0,15476.337976932526,325157.94927477837,547.5368388448443,0.0,21657.98896932602,114982.7361574173,7.8773992006425475,1.057770586013794,15.046236202451919,1654.253832134935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
Approve Purchase Order for payment,242.4163790345192,60.0,11363.512776374817,24241.63790345192,182.4163790345192,0.0,11303.512776374817,18241.63790345192,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,1734.8111990213395,360.6465697288513,17076.372982740402,173481.11990213394,1157.9681132769585,0.0,16696.797221660614,115796.81132769585,792.8883365368843,0.0,18721.75654053688,79288.83365368843,3.2046838096910064,2.003592054049174,4.3317382574081424,320.4683809691006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1930.3057830643654,184.51379203796387,3418.2526631355286,193030.57830643654,0.0,0.0,0.0,0.0,31.386769270896913,0.0,2709.79677939415,3138.676927089691,10.723921017024255,1.0250766224331327,18.990292572975157,1072.3921017024254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,14119.982822043896,2610.2254045009613,27159.361904621124,1411998.2822043896,1513.7809244418145,0.0,16877.347282648087,151378.09244418144,351.7731019830704,0.0,20378.09910416603,35177.31019830704,70.03445498667821,14.328120923042297,120.45218520826764,7003.445498667822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,328.01499204397203,32.281280279159546,1257.402485370636,32801.4992043972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6446110227107997,0.3586808919906616,13.9711387263404,364.46110227108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,82781.11250547647,826.7574741840363,202804.61028409004,8278111.2505476475,11126.01949082613,0.0,62940.187497615814,1112601.949082613,16749.1797819376,-86398.0,87968.8565762043,1674917.97819376,398.0838500813907,4.593097078800201,906.0686095012559,39808.38500813907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Pay Invoice,599.8692540287972,271.3358199596405,895.6543152332306,59986.925402879715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3326069668266483,1.5074212219980028,4.975857306851281,333.26069668266484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,271.7802853703499,121.69924807548523,409.993159532547,27178.02853703499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5098904742797217,0.6761069337526957,2.277739775180817,150.98904742797217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,9833.221223096847,0.0,74396.6570751667,983322.1223096848,9833.221223096847,0.0,74396.6570751667,983322.1223096848,2820.2089825606345,0.0,59246.09142041206,282020.89825606346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,3072.7575162816047,662.7950439453125,17785.78492999077,307275.7516281605,1673.5903221464157,0.0,16554.512230157852,167359.03221464157,78.41961094379425,0.0,7841.961094379425,7841.961094379425,7.7731510785288265,1.3553465247154235,12.879199469089508,777.3151078528826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,24247.66323700905,2549.195990085602,54016.79169368744,2424766.323700905,2822.793121600151,0.0,18684.961336374283,282279.3121600151,9946.686129276752,0.0,44593.74282717705,994668.6129276752,119.02705619671609,1.5187976956367493,274.6853898750411,11902.70561967161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,8883.140171055611,431.10928297042847,46425.75278377533,461923.28889489174,0.0,0.0,0.0,0.0,837.651619567321,0.0,10470.20585179329,43557.88421750069,49.35077872808672,2.3950515720579357,257.9208487987518,2566.2404938605096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),62733.709087371826,235151.16380995512,497679.37522912025
Process Cycle Time excluding out of timetable hours (s),62732.709087371826,178289.63890499354,284057.9082624912
Process Waiting Time (s),0.0,31561.36906717062,119090.49213767052
Accumulated Process Duration (s),62733.709087371826,235151.16380995512,497679.37522912025
Cost,228.28707892497383,684.0531358353163,1264.856330184142


Process Cycle Time (s) distribution
From,To,Count
62733,106227,5
106228,149722,11
149723,193217,23
193218,236712,16
236713,280207,18
280208,323702,9
323703,367197,5
367198,410692,7
410693,454187,3
454188,497682,3

Process Waiting Time (s) distribution
From,To,Count
0,11909,42
11910,23819,6
23820,35729,14
35730,47639,7
47640,59549,5
59550,71459,10
71460,83369,5
83370,95279,6
95280,107189,4
107190,119099,1

Accumulated Process Duration (s) distribution
From,To,Count
62733,106227,5
106228,149722,11
149723,193217,23
193218,236712,16
236713,280207,18
280208,323702,9
323703,367197,5
367198,410692,7
410693,454187,3
454188,497682,3

Process Cost distribution
From,To,Count
228,331,6
332,435,13
436,539,13
540,643,20
644,747,10
748,851,12
852,955,9
956,1059,5
1060,1163,8
1164,1267,4

In-timetable Cycle time (s) distribution
From,To,Count
62732,84864,3
84865,106997,11
106998,129130,10
129131,151263,7
151264,173396,10
173397,195529,13
195530,217662,22
217663,239795,12
239796,261928,7
261929,284061,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,242022.84844446182,196190.49031233788,0.0,1011.9943628112476
2,160840.93699097633,129989.05033922195,0.0,684.3850376698706
3,121660.23946404457,103855.74426102638,0.0,415.65872752401566
4,159738.0569934845,157039.28240513802,0.0,239.88105930354862
5,62733.709087371826,62732.709087371826,0.0,310.5743557625347
6,176635.32518172264,176633.32518172264,0.0,537.9632179617882
7,168051.3280892372,120363.70476198196,0.0,644.4724674608974
8,166167.62855052948,132026.37234783173,0.0,691.5650243481001
9,225803.4728679657,205455.34136390686,0.0,921.9478839476906
10,130917.0463924408,125477.09423112869,0.0,627.2226483623186
11,112256.73923301697,112255.73923301697,0.0,487.42273188961866
12,101438.52455019951,101437.52455019951,0.0,553.5226886298922
13,257742.762458086,206162.3029794693,0.0,1185.9757609566054
14,197029.77850818634,159410.52003526688,0.0,926.0072132070859
15,180756.12927913666,158837.87393450737,0.0,825.987583732605
16,111929.0122756958,102071.6930205822,0.0,567.5643396165638
17,162574.10584521294,162572.10584521294,0.0,519.446970597903
18,178081.96387529373,178079.96387529373,0.0,637.0379320992364
19,234775.27150964737,182336.43690991402,0.0,962.4615092741119
20,143511.79112553596,104681.31465935707,0.0,561.324439711041
21,192844.1777522564,166203.80308914185,0.0,894.0996023999321
22,107570.17024970055,97478.54136371613,0.0,502.7498298976156
23,202373.935754776,202371.935754776,0.0,1017.4740156147216
24,83150.14275312424,83149.14275312424,0.0,349.33742115497574
25,76568.01913523674,76567.01913523674,0.0,343.38987661865013
26,487656.9500756264,274893.1862683296,61740.30426287651,775.2317178090414
27,444983.99979138374,215779.12455821037,42155.40273809433,611.9586250861486
28,463270.3676877022,275837.72737050056,57633.370465517044,910.1775258872244
29,415818.2655284405,209529.9184229374,96305.38599610329,607.3220954113539
30,379493.39357948303,198995.48798394203,84116.20335817337,641.8934189399084
31,387520.0479121208,198009.2586376667,45519.908259391785,634.7972523358135
32,288444.8237760067,131308.4853515625,52234.06905269623,332.1517123381297
33,214293.2535326481,99275.76732468605,27218.35835957527,311.16786145369207
34,345525.00035357475,209938.39378094673,119090.49213767052,507.3331356260511
35,379385.8613245487,259146.5598950386,94726.5026307106,587.7321616954274
36,371057.26392555237,243947.17095470428,39222.70681643486,1178.1324001683126
37,315853.36271095276,209270.126424551,14587.362943649292,1102.3722512510085
38,289365.5888776779,184322.97975420952,23771.427756547928,363.6499105175336
39,283951.3224976063,238430.6437704563,30682.338292360306,705.4369527988965
40,244001.47154259682,224845.609675169,75501.01477575302,775.9895287368032
41,226304.49130296707,210650.18118214607,86756.33174085617,711.5175311512418
42,293380.11285352707,268793.7080004215,98342.17448806763,771.3844396485223
43,267801.69941043854,215120.19136834145,87589.78215765953,451.31924286021126
44,256095.26013612747,201606.77811932564,59111.73636054993,631.8949961596066
45,297677.7378349304,201912.03570318222,26176.31963300705,837.6344331860544
46,177254.685379982,126254.0539624691,25066.66594004631,562.3517867922783
47,299282.2249016762,284057.9082624912,61250.265330314636,1076.5635123266113
48,181733.58065485954,181731.58065485954,97252.17520666122,332.81110673348104
49,241204.04774546623,241201.04774546623,67833.46189284325,880.0329371465577
50,198453.25848913193,146117.8459763527,10432.25542473793,1238.406029179361
51,155886.74157571793,118632.59112977982,27986.09828734398,291.9549064768685
52,172032.97742390633,149298.8348596096,13042.769545316696,646.9382104092175
53,205238.11609768867,197078.33233976364,29215.31970858574,1264.856330184142
54,121821.6153998375,121820.6153998375,27684.058512449265,376.05397804843057
55,177757.40760731697,177755.40760731697,27312.415917634964,766.0598830302557
56,149903.1498029232,97189.27729058266,0.0,541.3566154758137
57,238859.29405093193,200443.4216351509,0.0,1153.2656706425876
58,211680.51658654213,185313.93188214302,0.0,610.571692094538
59,152203.49873781204,140333.5315937996,0.0,781.0533068802622
60,163136.62335634232,163134.62335634232,0.0,541.9308492249913
61,178590.32195830345,178588.32195830345,0.0,627.4455433898503
62,86844.5676009655,86843.5676009655,8198.908267736435,437.11813242303
63,258789.9099726677,217512.21864271164,0.0,1149.7086758997702
64,206069.86621260643,177517.73156690598,0.0,830.0672908703488
65,243707.02751922607,229097.34094643593,0.0,1093.2915493223402
66,184249.69191622734,184200.66519880295,0.0,843.0550150937505
67,168800.9403936863,168798.9403936863,0.0,897.0212097658052
68,125742.27096509933,125740.27096509933,0.0,359.36556370390775
69,497679.37522912025,247005.80770635605,73390.86842250824,564.9182747258081
70,358300.6123933792,135922.05745983124,43311.83053064346,493.0924898319774
71,429963.31738328934,232958.08494877815,98557.04516887665,679.5607683671847
72,387695.7180349827,207029.6225657463,81107.9953095913,720.8641770031718
73,399792.0384902954,239111.16409277916,62380.54595375061,523.8835961911414
74,395998.5506296158,230632.16841816902,25865.122601747513,1158.8921839621328
75,354229.84395504,220079.90234947205,76330.05640530586,676.1616745220291
76,343276.50627207756,223188.6146862507,70279.63358402252,375.6584457092815
77,327825.826495409,181031.36095952988,90193.7178914547,505.3485388954481
78,311860.9286518097,161539.2988858223,92483.38260555267,365.5286728554301
79,181437.7589225769,104382.56293296814,31882.93568921089,228.28707892497383
80,186214.70272111893,122616.79508376122,29160.377527952194,367.19066054953464
81,232772.22982501984,182368.33835792542,49769.93999052048,613.0681811425421
82,307300.4727962017,271999.0220820904,37119.00965189934,1066.7970390703942
83,245283.9161708355,205443.7138941288,34458.51051592827,973.0771119250193
84,273578.1891312599,254334.36171078682,60051.48094081879,794.8306242492465
85,275215.79167723656,229503.44472122192,75465.09643936157,856.4234177006617
86,254513.98638629913,232853.9974169731,66670.35202240944,832.2046304782232
87,273291.84438323975,221894.49724674225,61781.881791591644,736.0874833597079
88,198073.10379314423,158190.1400282383,71275.19847154617,427.2345653269026
89,246259.7522661686,207672.08228683472,37223.16590356827,641.9520228902501
90,227951.23183202744,218705.35292625427,55628.88636493683,612.6782119923167
91,250479.90265321732,250476.90265321732,61770.93804645538,793.7951075553896
92,197285.7423608303,197283.7423608303,42040.8992664814,539.27393664519
93,153968.18756461143,100828.76045918465,15601.531445741653,473.99312744140616
94,146665.0767636299,107739.03712129593,20658.112632274628,425.5389601985613
95,205055.06924319267,170944.07532811165,7473.07607793808,910.6139807118311
96,256972.36354780197,245951.60270261765,24287.026586294174,1024.92835463153
97,204927.87019586563,204925.87019586563,24024.08940410614,901.016052336163
98,110639.05646753311,110638.05646753311,18138.613215208054,367.21835313108227
99,239340.6476135254,186392.93757629395,0.0,1075.2767716381284
100,132971.04177498817,91666.08792805672,0.0,510.0754008412361
