Resource utilization
Resource,Utilization %
Role 1,6
SYSTEM,0
Role 4,0
Role 6,0
Role 3,85
Role 2,136
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1507.350466678256,7.407314300537109,6573.458144187927,158271.7990012169,0.0,0.0,0.0,0.0,2160.0,0.0,226800.0,226800.0,8.374169259323644,0.04115174611409505,36.51921191215515,879.2877722289826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Amend Request for Quotation,649.5049523878098,72.93099355697632,1325.198894739151,64950.495238780975,0.0,0.0,0.0,0.0,5804.030283670425,0.0,53803.554666996,580403.0283670425,3.6083608465989436,0.4051721864276462,7.362216081884172,360.83608465989437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Purchase Requisition,393.1212493663881,243.2868824005127,537.1958103179932,80589.85612010956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1840069409243776,1.3515937911139595,2.9844211684332955,447.72142288949743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Analyze Quotation Comparison Map,1272.676486246586,395.3147325515747,2025.585355758667,127267.64862465858,0.0,0.0,0.0,0.0,24778.147609391213,0.0,226091.79712557793,2477814.7609391212,7.070424923592148,2.1961929586198594,11.253251976437038,707.0424923592147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,5097.138976726532,278.0062303543091,39263.82503056526,1019427.7953453064,3734.7486256706716,0.0,37880.38581633568,746949.7251341343,0.0,0.0,0.0,0.0,7.5688352836436685,0.9809208485815261,14.804577328099144,1513.7670567287337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Approve Purchase Order for payment,1553.3792938280105,60.0,33627.04482460022,155337.92938280106,1493.3792938280105,0.0,33567.04482460022,149337.92938280106,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,5.041673266887665,0.0,92.03924202919006,504.1673266887665,5.041673266887665,0.0,92.03924202919006,504.1673266887665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,2798.6024677968026,85.86224722862244,24380.854974508286,279860.24677968025,2225.3241926026344,0.0,23756.141710042953,222532.41926026344,6.017659866809845,0.0,601.7659866809845,601.7659866809845,3.184879306634267,0.47701248460345796,4.331302196449704,318.4879306634267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2026.4971584296227,338.45574426651,3415.5090639591217,202649.71584296227,13.8,0.0,120.0,1380.0,48206.68741722345,0.0,219231.34544229507,4820668.741722345,11.181650880164568,1.8803096903695,18.975050355328452,1118.1650880164568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,13891.241418242455,2559.7184777259827,33543.65892291069,1389124.1418242455,3184.2038060760497,0.0,18248.916130542755,318420.380607605,954.9245014309884,0.0,16735.09809589386,95492.45014309883,59.48354228981336,8.372739840878381,121.1345930867725,5948.354228981336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,360.528412630558,30.171872854232788,1216.1829397678375,36052.8412630558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.005871251450645,0.3352430317136976,13.513143775198195,400.5871251450645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,92045.23158220053,4774.796008110046,211391.3970143795,9204523.158220053,12202.376385672093,0.0,58222.50226736069,1220237.6385672092,18757.624712469576,-86176.1978468895,81657.15475559235,1875762.4712469578,443.57141775849135,26.526644489500256,972.1149807426665,44357.14177584914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Pay Invoice,600.2872824931145,267.7360758781433,949.7929961681366,60028.72824931145,6.305372078418731,0.0,275.035165309906,630.5372078418732,0.0,0.0,0.0,0.0,3.2998995023038664,1.3566061509980096,4.979873757892185,329.9899502303866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,65.4,60.0,120.0,6540.0,5.4,0.0,60.0,540.0,67747.26683574915,0.0,223054.77714896202,6774726.683574915,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,273.29752255916594,123.40238499641418,448.30498027801514,27329.752255916595,1.2047617292404176,0.0,67.64320015907288,120.47617292404175,0.0,0.0,0.0,0.0,1.5116264490551423,0.6855688055356344,2.32176573144065,151.16264490551424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,9847.318720083236,0.0,50499.44483280182,984731.8720083237,9847.318720083236,0.0,50499.44483280182,984731.8720083237,3096.7877829670906,0.0,57480.0,309678.77829670906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,4440.135618407727,531.4413120746613,27518.855568408966,444013.5618407726,2945.689871199131,0.0,26125.801812648773,294568.9871199131,0.0,0.0,0.0,0.0,8.302476373381086,2.952451733748118,13.906310425864326,830.2476373381086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,29534.203028202057,139.78363037109375,63704.185505867004,2953420.3028202057,3010.8589744520186,0.0,34512.14714002609,301085.8974452019,6645.328129973412,0.0,46524.561222314835,664532.8129973412,147.35191140972245,0.7765757242838541,292.0155862927437,14735.191140972245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,8817.699100134221,323.5848798751831,29902.68922138214,414431.85770630836,9.857990949711901,0.0,266.163765668869,463.32557463645935,1647.482236431,0.0,57188.982988119125,77431.665112257,48.932450606580595,1.7976937770843506,166.12605122990078,2299.825178509288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),88644.74912118912,355129.6902823687,580620.6958577633
Process Cycle Time excluding out of timetable hours (s),61482.93821430206,201093.11843376159,327101.4397544861
Process Waiting Time (s),0.0,42415.033558075425,131115.26004123688
Accumulated Process Duration (s),88644.74912118912,355129.6902823687,580620.6958577633
Cost,211.66801603105336,744.6447419614395,1302.699253659778


Process Cycle Time (s) distribution
From,To,Count
88644,137841,4
137842,187039,4
187040,236237,10
236238,285435,10
285436,334633,15
334634,383831,13
383832,433029,19
433030,482227,9
482228,531425,10
531426,580623,6

Process Waiting Time (s) distribution
From,To,Count
0,13111,27
13112,26223,13
26224,39335,6
39336,52447,14
52448,65559,13
65560,78671,11
78672,91783,10
91784,104895,4
104896,118007,0
118008,131119,2

Accumulated Process Duration (s) distribution
From,To,Count
88644,137841,4
137842,187039,4
187040,236237,10
236238,285435,10
285436,334633,15
334634,383831,13
383832,433029,19
433030,482227,9
482228,531425,10
531426,580623,6

Process Cost distribution
From,To,Count
211,320,6
321,430,8
431,540,13
541,650,13
651,760,13
761,870,12
871,980,12
981,1090,10
1091,1200,10
1201,1310,3

In-timetable Cycle time (s) distribution
From,To,Count
61482,88043,4
88044,114605,8
114606,141167,7
141168,167729,9
167730,194291,18
194292,220853,15
220854,247415,11
247416,273977,13
273978,300539,10
300540,327101,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,233787.20286154747,186024.20286154747,0.0,1043.485412522157
2,232732.0459523201,186378.9210009575,0.0,1063.1308645274903
3,110940.98824977875,84944.95760583878,0.0,463.3813726557625
4,92954.26321172714,84500.642983675,0.0,211.66801603105336
5,192131.34261751175,149737.6213517189,0.0,755.29646901687
6,237511.6241595745,152267.071788311,0.0,711.0757115085919
7,252155.94687652588,201996.35589456558,0.0,964.1322855406336
8,474713.8841700554,220079.07563209534,0.0,1187.4417321443557
9,201980.64364528656,175702.50357174873,0.0,959.2393680281109
10,210710.7366757393,202623.44507074356,0.0,1123.7158290293482
11,88644.74912118912,88643.74912118912,0.0,415.9560477720366
12,153885.000934124,103901.12049245834,0.0,578.3118617494902
13,408134.88085126877,166009.6520063877,0.0,963.6363386140931
14,385032.3444414139,129467.21608352661,0.0,719.4299330910048
15,135018.12740135193,110511.01223134995,0.0,615.284787856208
16,356752.5290622711,192378.42337322235,0.0,655.5489862243336
17,342766.21798729897,179807.1888270378,0.0,1038.4345148894522
18,330164.77211403847,189566.33408284187,60.0,1051.2676658497915
19,314937.92380547523,105784.46558022499,0.0,459.52729328738315
20,301310.6796030998,172540.29950904846,60.0,973.7144527951878
21,296729.52109122276,180912.52451181412,0.0,461.9814611315727
22,275902.5492889881,175263.42074084282,60.0,962.9886590520541
23,272580.893389225,91752.47031736374,0.0,292.06308334800934
24,331390.1351633072,89038.03869915009,8001.071953058243,388.0349783658981
25,360989.90732479095,142839.24590206146,43063.877244234085,453.22035401662185
26,475398.93306946754,155963.7739675045,15828.795414924622,646.7695033404561
27,467313.68898296356,181451.7960588932,59351.772173166275,598.8268868393368
28,512590.3331773281,272524.48145365715,90257.10172533989,578.5802641391754
29,409725.2412121296,140403.7245092392,59272.87563419342,377.12830727762645
30,458090.1066143513,249487.47202897072,84199.01449728012,522.5669688608912
31,577134.9258196354,327101.4397544861,124851.95843791962,740.8121849563388
32,368746.71598887444,130129.02723550797,18211.38381910324,557.8065573983722
33,424710.08879327774,289868.4243094921,52081.65628576279,952.0412191748619
34,401874.6321978569,273173.5472290516,102953.63969302177,876.7409180733894
35,338205.1149249077,196865.9741678238,26196.903263807297,956.8525363657211
36,389615.42395305634,267233.5692653656,61553.325548172,1118.4435920675592
37,359635.7467133999,238723.7254269123,81111.66648721695,845.6976101080577
38,444993.8722908497,305324.1950750351,87684.29912781715,809.3333508491517
39,432441.7793159485,300813.9254434109,88528.2147257328,1302.699253659778
40,156303.21873569489,136167.2924966812,40357.085700035095,516.5923647668625
41,255869.8333249092,221262.5165231228,32568.75386786461,608.4709932764373
42,294893.8912539482,274354.04598522186,69524.58199477196,1052.558493653933
43,275818.3502061367,252483.46476745605,52117.05891275406,1072.8574585954345
44,569613.3581197262,293358.21182990074,73395.85604977608,1122.7875073989233
45,347304.3741033077,216220.1313483715,131115.26004123688,270.1019167661666
46,552511.920204401,282381.9105770588,59045.52376437187,1225.159264596303
47,528274.3305938244,259924.2208185196,68799.36198925972,1062.1228378918436
48,521004.3112630844,279647.26849746704,73699.43719315529,1094.185117260615
49,499888.5436477661,246805.9406027794,53689.83223104477,1115.6756211068894
50,285461.34525966644,183714.84578061104,86371.75333285332,507.46434133052827
51,164049.10046243668,110642.21296334267,55862.73784613609,305.1474277602302
52,457825.4658296108,278114.9714202881,47716.162194252014,1162.5693392091325
53,247081.08777165413,236063.20441937447,83362.0815012455,663.4937070263757
54,430249.42427134514,217637.9637479782,64071.40075516701,528.4609978993735
55,425673.1901578903,183930.54812312126,40143.69228601456,799.4169343921874
56,402185.6962430477,197902.47715997696,46508.25505757332,641.1046910206477
57,388477.7578396797,194157.82785224915,58347.660417079926,685.4148928483328
58,374279.30635762215,227630.87441968918,21327.23470377922,1129.7107943548094
59,360169.23075819016,113894.21100449562,19339.924998998642,507.49242568810774
60,409510.930644989,307398.7530655861,50201.97510743141,921.2922424488597
61,332382.3319327831,165344.8554275036,16790.796944379807,826.0161307785248
62,318431.90472507477,195324.53094530106,17527.863270998,411.15038402742806
63,305543.94161486626,61482.93821430206,6986.901634693146,304.21901779042344
64,290165.49108314514,180735.981664896,21594.371610879898,379.90781888961783
65,276846.6785032749,183914.508333683,7542.270829200745,1002.0131289177473
66,483510.6685576439,255287.33271241188,37360.1951713562,1219.6503158185217
67,451871.64896917343,230823.2942249775,30907.59993124008,977.0954653528001
68,437794.85036849976,156993.85036849976,39597.62120985985,552.5934892747138
69,507928.4152505398,227122.6781475544,101332.2906525135,664.2941053522959
70,409521.982213974,156794.52909564972,54854.84285211563,475.73130156464043
71,540455.5729289055,267171.37475824356,74747.43902420998,830.7943594217302
72,468098.6157131195,197308.85833406448,95633.83796930313,416.49042362372074
73,367963.22189474106,204758.30892395973,40275.14449453354,821.5598432620367
74,498882.4632880688,299600.5444047451,56867.65704369545,946.342326883475
75,424526.63028764725,277307.88701605797,74025.78223752975,904.5209580368468
76,414514.66798329353,183727.51516342163,83461.69661402702,557.9558904488882
77,195405.19922947884,77301.93032574654,15766.339989423752,336.86013278166445
78,217444.74179530144,124212.13804745674,22987.414009332657,417.8832781831423
79,283790.7953391075,204598.76353788376,20631.93206691742,534.9747289194
80,188221.09940218925,123070.50342011452,39104.494483947754,465.27021211650634
81,366432.9101803303,228597.11377191544,60076.21971178055,830.6972257415455
82,378384.6131095886,283804.7225496769,101790.21692299843,807.0808081640138
83,326299.85773563385,253781.43211603165,37109.460503578186,694.7606400767963
84,331654.4540615082,268582.7298820019,73717.4725766182,1007.1785882367029
85,343939.5973958969,219595.7738826275,62271.19206881523,671.4927890857061
86,327715.02505636215,223751.95612215996,88652.68547201157,650.3077006287045
87,580620.6958577633,262311.42555975914,83436.8979139328,563.1069323539734
88,299684.873090744,205725.82101488113,49119.90503048897,774.6518406709035
89,272169.84176301956,213537.52671551704,78033.52674388885,704.955238477389
90,532502.4367759228,303262.7706260681,73284.72356820107,1157.0709783964685
91,516505.8767633438,248431.6172170639,77895.89412879944,794.1824860930443
92,504417.7657008171,221602.81204724312,52211.091495752335,982.0680575701925
93,229681.88470721245,143921.84190511703,32010.18714928627,622.3898564656577
94,492109.23247790337,227294.1045513153,47971.61731290817,802.3337730407716
95,155624.1877400875,127874.29228425026,67744.30198287964,250.81507047149873
96,187681.65322852135,173955.60290694237,25734.638178110123,1147.4624471677673
97,432512.8691043854,281247.2946805954,63916.56350564957,770.0167035645911
98,418543.0914106369,254870.27796030045,47222.97060203552,683.1519504215983
99,404774.0504002571,193184.11776709557,24756.164259433746,463.5808221922979
100,397633.01049399376,195668.35818076134,5657.948664665222,653.5009744299783
