Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,45
Role 2,72
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1918.3546524543574,4.075364589691162,10315.022179603577,193753.8198978901,0.0,0.0,0.0,0.0,42946.33663366337,0.0,252120.0,4337580.0,10.65752584696865,0.02264091438717312,57.30567877557542,1076.4101105438335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,643.3327786761723,236.85215759277344,1056.3654282093048,57256.61730217934,0.0,0.0,0.0,0.0,15057.303370786516,0.0,158460.0,1340100.0,3.5740709926454004,1.3158453199598523,5.868696823385027,318.0923183454406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Analyze Purchase Requisition,394.77559588323186,240.2971465587616,539.9721877574921,79349.8947725296,0.0,0.0,0.0,0.0,6542.985074626866,0.0,154860.0,1315140.0,2.193197754906843,1.3349841475486754,2.9998454875416227,440.83274873627545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,1243.1773491096496,393.4442892074585,2033.1424870491028,124317.73491096497,0.0,0.0,0.0,0.0,25077.0,0.0,158460.0,2507700.0,6.906540828386941,2.185801606708103,11.295236039161683,690.6540828386941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40294.229178725094,354.8245780467987,145113.25862812996,7615609.314779043,38883.5409752654,0.0,144332.93624138832,7348989.244325161,938952.0634920635,0.0,3476460.0,1.7746194E8,7.83873126314781,0.0,16.619308196173773,1481.5202087349362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Approve Purchase Order for payment,36690.57302203894,60.0,146125.28061437607,3669057.3022038937,36630.57302203894,0.0,146065.28061437607,3663057.3022038937,861706.8,0.0,3404400.0,8.617068E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,328.04708827495574,0.0,3061.566423177719,32804.708827495575,328.04708827495574,0.0,3061.566423177719,32804.708827495575,5117.4,0.0,72060.0,511740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,78366.83171444178,388.6049211025238,153211.81198573112,7836683.171444178,77789.13370098591,0.0,152818.22765636444,7778913.370098591,1840786.8,0.0,3685440.0,1.8407868E8,3.209433408088155,2.0128025902642146,4.326089919937981,320.9433408088155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1826.9130302643775,330.8523669242859,3376.1925280094147,182691.30302643776,0.0,0.0,0.0,0.0,58857.663703300954,0.0,158147.24059677124,5885766.370330095,10.149516834802103,1.8380687051349216,18.75662515560786,1014.9516834802104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,80984.52084667207,4383.019045352936,161859.903942585,8098452.084667206,70328.5237878561,0.0,147892.67119932175,7032852.37878561,1897961.4,201720.0,3811560.0,1.8979614E8,59.19998366008865,12.778892686631945,119.11928460333083,5919.998366008865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,344.6008302879334,43.318432569503784,1145.279942035675,34460.083028793335,0.0,0.0,0.0,0.0,8827.2,0.0,97260.0,882720.0,3.82889811431037,0.48131591743893093,12.725332689285278,382.889811431037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,236146.73344830275,12978.070497989655,552052.5423476696,2.3614673344830275E7,142266.6193891907,0.0,414619.13120889664,1.4226661938919067E7,5517977.4,234180.0,1.292976E7,5.5179774E8,521.5561892172893,71.41284007761213,921.4060309330622,52155.618921728936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,1023.6004429507256,243.58552718162537,3522.6792681217194,102360.04429507256,480.01845984458924,0.0,3067.355856657028,48001.84598445892,22416.0,0.0,158460.0,2241600.0,3.019899906145201,1.3515964481565688,4.960609650611877,301.98999061452014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,388.9180727005005,120.08438348770142,1418.1728951931,38891.80727005005,116.46648006439209,0.0,1043.0287292003632,11646.648006439209,3099.0,0.0,158460.0,309900.0,1.5136199590894908,0.6671354638205634,2.294623749785953,151.36199590894907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,172810.18310867308,0.0,422007.25294470787,1.728101831086731E7,172810.18310867308,0.0,422007.25294470787,1.728101831086731E7,4047991.8,0.0,9860340.0,4.0479918E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,52693.168822598454,994.1742608547211,151225.4724471569,5269316.882259846,51261.59947979927,0.0,150469.50096964836,5126159.947979927,1231623.6,0.0,3577380.0,1.2316236E8,7.953163015551037,3.978820726606581,14.156810488965776,795.3163015551037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,120033.56878626585,23578.487773895264,192401.3589553833,1.2003356878626585E7,85782.56743419886,0.0,152078.05896925926,8578256.743419886,2816404.8,580020.0,4568100.0,2.8164048E8,190.28334084481668,81.11650722689099,290.9275786360105,19028.334084481667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11021.70697028637,290.8798987865448,76099.97722291946,551085.3485143185,281.56952701568605,0.0,3016.3892402648926,14078.476350784302,264214.8,0.0,1898520.0,1.321074E7,59.66743024039267,1.6159994377030267,422.7776512384415,2983.3715120196334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6765102.054816484,2.118241325021854E7,2.7997561988646746E7
Process Cycle Time excluding out of timetable hours (s),279461.05481648445,867911.3865152407,1144108.708168745
Process Waiting Time (s),160299.7431180477,711424.4091576863,953538.1264014244
Accumulated Process Duration (s),6765102.054816484,2.118241325021854E7,2.7997561988646746E7
Cost,296.8829505523045,871.2895214390363,1538.4270188159412


Process Cycle Time (s) distribution
From,To,Count
6765102,8888347,4
8888348,11011593,5
11011594,13134839,7
13134840,15258085,6
15258086,17381331,4
17381332,19504577,7
19504578,21627823,2
21627824,23751069,5
23751070,25874315,53
25874316,27997561,7

Process Waiting Time (s) distribution
From,To,Count
160299,239622,9
239623,318946,2
318947,398270,3
398271,477594,7
477595,556918,5
556919,636242,4
636243,715566,4
715567,794890,7
794891,874214,27
874215,953538,32

Accumulated Process Duration (s) distribution
From,To,Count
6765102,8888347,4
8888348,11011593,5
11011594,13134839,7
13134840,15258085,6
15258086,17381331,4
17381332,19504577,7
19504578,21627823,2
21627824,23751069,5
23751070,25874315,53
25874316,27997561,7

Process Cost distribution
From,To,Count
296,420,5
421,545,10
546,670,11
671,795,15
796,920,15
921,1045,14
1046,1170,14
1171,1295,12
1296,1420,1
1421,1545,3

In-timetable Cycle time (s) distribution
From,To,Count
279461,365925,5
365926,452390,5
452391,538855,6
538856,625320,6
625321,711785,4
711786,798250,7
798251,884715,2
884716,971180,5
971181,1057645,52
1057646,1144110,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6765102.054816484,279461.05481648445,184435.2829592228,528.8377117474876
2,8389275.908673048,346832.0013539791,160299.7431180477,1037.7098546995057
3,8216532.933485746,342903.2911877632,165680.5620405674,986.0866425130102
4,1.1171616740659714E7,458821.61270594597,356013.22541451454,574.0862339086002
5,8949551.44025731,365446.31279706955,187256.99383115768,990.2961757395003
6,9280551.71885848,378977.3317639828,179841.15010380745,1108.0428133328755
7,9626685.320894003,393314.8917696476,178552.8161458969,1194.234393423133
8,1.13287231478405E7,466633.51249074936,192522.98924160004,1525.4825860063233
9,2.220000626364565E7,908586.263645649,734669.4070470333,967.7879116601415
10,2.5655194068802357E7,1048437.70951581,898473.449804306,837.388304146131
11,1.6904971746053457E7,688333.5137393475,587049.7167527676,563.1700706415708
12,1.1012284164425135E7,447645.35625624657,337991.76147937775,610.042984257804
13,9627597.79756713,395514.920586586,234093.27979278564,901.1877181424035
14,1.134485032223916E7,462488.38465356827,270361.6584222317,1069.6669187161654
15,1.7064711961717367E7,698767.005489111,603992.9756658077,528.4098637726573
16,1.000708254124999E7,410032.63450694084,266257.0166051388,802.6803697241678
17,1.6821543150969982E7,688973.7406835556,488796.0162615776,1113.4854982137679
18,7301175.604337215,300801.0880920887,212190.26410150528,492.7123396727773
19,1.8608658685447216E7,764029.2579190731,663055.923555851,562.6101933929656
20,1.3972559133583307E7,576796.0610525608,431195.72004675865,812.1941713213922
21,2.152941786157298E7,882877.8615729809,684068.8003940582,1110.7383206327754
22,2.5824192191246033E7,1057968.3275454044,936827.5574736595,675.2170563485888
23,1.4140630263092756E7,578068.9987928867,445231.29230999947,740.0909490969448
24,1.4915158177848816E7,613651.0631885529,471525.4889380932,791.1125750422478
25,1.74817584980762E7,712144.4856393337,555962.7099032402,870.3960947950682
26,1.4443650203477621E7,588225.1649839878,511715.99611115456,426.0090806908077
27,2.1687528505974293E7,885840.7402248383,766169.1495015621,666.787215130859
28,1.5121322833821058E7,620154.5668106079,461958.8596487045,879.1639030456544
29,1.9241442655068398E7,784292.0852916241,507565.48370075226,1538.4270188159412
30,1.785505383109331E7,730431.3222148418,592158.9483320713,770.3557801087697
31,1.715584137168622E7,700779.7295176983,501819.8080060482,1107.2867579221725
32,1.1382815910867691E7,464505.61343574524,411448.9751265049,296.8829505523045
33,2.566993010515213E7,1050463.5460112095,849501.7440116405,1118.0716892136468
34,2.7997561988646746E7,1144108.708168745,887949.1206288338,1428.1643040405377
35,1.941786901984191E7,795949.2674078941,607563.8583571911,1050.5099917901887
36,2.5236576399420023E7,1033837.6751358509,820594.7998421192,1184.923298479451
37,1.3180528827931881E7,541736.7661991119,435611.89338326454,590.9268654969005
38,1.1511420352079153E7,471812.1806707382,403050.2679181099,382.90250848001904
39,1.2104109613804579E7,498513.9231171608,376673.73257756233,682.4227241079012
40,2.5576760284985065E7,1048169.2942826748,922156.6785290241,700.9925556288827
41,1.8299454526363134E7,748754.5870778561,657065.1381838322,510.8911841326289
42,2.554398794487953E7,1046986.0457091331,952520.0054657459,525.780793478754
43,1.888349392327261E7,777076.2261300087,680979.6820859909,540.232355478075
44,2.5514560064752102E7,1045685.0904076099,854460.3245129585,1063.0519599371485
45,2.4215186476697206E7,992318.833830595,772945.8057668209,1223.8153534067999
46,2.686637657206416E7,1103329.4016501904,928380.1306817532,974.7710487749843
47,2.5474449961031914E7,1043996.0965938568,880934.181330204,908.4024631698926
48,2.3916181173488617E7,983993.7409255505,773082.5031988621,1172.4252389907836
49,2.3240385765494347E7,952709.1504557133,736476.8866372108,1201.6625101817976
50,2.569972222411418E7,1055489.0434668064,951823.4627082348,576.2443786872758
51,2.4820024088376522E7,1021955.639343977,810331.844635725,1177.3644187198745
52,2.541116600895095E7,1046666.0089509487,862904.5748744011,1021.6410389264423
53,2.5315043579148293E7,1033574.0780098438,835507.8086426258,1102.1987828095753
54,2.538097572977376E7,1037792.581643343,833262.6691708565,1137.3160696453517
55,2.578910054837084E7,1052868.2759103775,840421.4221587181,1181.1343580550615
56,2.5345983861786366E7,1034466.987746954,808851.7111542225,1254.8311936603648
57,2.533950052270031E7,1038241.8345024586,879326.241969347,884.4967310070991
58,2.4110489491502523E7,986913.133327961,846927.7827923298,778.4806504752902
59,2.764960431359911E7,1131913.0884490013,898097.1992411613,1301.191916486952
60,2.529797499668026E7,1038756.7107043266,829698.9248569012,1162.3580182843739
61,2.5285481431964636E7,1040224.996809721,816473.1125669479,1246.3261764420402
62,2.6900037094919205E7,1101705.4415345192,944811.7358119488,873.3861579775811
63,2.1017171416965723E7,863755.0245287418,736765.8168540001,708.9549731612206
64,2.5242215026634693E7,1038940.5176551342,851095.7351796627,1043.991223405467
65,2.5227160133865118E7,1034292.6496670246,937540.8386535645,540.1388138095539
66,2.4771868081476927E7,1014573.2834441662,914416.3518064022,558.7418270150821
67,2.2772400288582087E7,931257.2794137001,776051.2817709446,866.3721958690219
68,2.275992737356305E7,929232.119253397,848847.058000803,448.7703516138924
69,2.5164242591226816E7,1027450.3036894798,896303.4258055687,729.883780251609
70,2.5152690501832962E7,1029912.2290549278,886769.848110199,798.9684400280318
71,2.5144604306319952E7,1032275.3628361225,923276.4157056808,606.6218440744613
72,2.5123451226125956E7,1025210.0590391159,847923.0707790852,988.5349836799835
73,2.5115738825860977E7,1027779.2377140522,953397.229364872,414.13804437054523
74,2.7728813723712444E7,1132993.6413121223,935033.9947173595,1100.6522501322959
75,2.508903506023407E7,1028960.5509870052,850152.0935747623,995.1697336342601
76,2.5072969213684082E7,1026982.5879018307,876214.2024981976,839.126727379693
77,2.5221722778683662E7,1031313.0434627533,876744.5157730579,859.9881024387148
78,2.504045825124407E7,1026189.8360390663,845133.9450230598,1008.6115414937339
79,2.7053948327310085E7,1108226.0921492577,906177.8488259315,1122.8242680642338
80,2.5017867691695213E7,1027871.1950604916,844159.4468443394,1021.2964641213418
81,2.492322478953314E7,1022939.582203865,875509.8936069012,821.928452355332
82,2.4983199149910927E7,1024868.5439605713,835584.8209381104,1055.4811525649493
83,2.4895385313387394E7,1019483.445497036,953538.1264014244,368.075895734628
84,2.5170428481686592E7,1030980.0590393543,844119.2774705887,1038.5019750330184
85,2.4941401055696487E7,1021316.1890497208,925543.3820450306,534.2782853563626
86,2.5096115318906546E7,1027916.6566841602,860431.7430040836,931.7247028681968
87,2.5183481001074076E7,1035607.3888115883,896926.929236412,771.6538913144007
88,2.490514740029025E7,1023444.6266124249,887010.4207956791,758.9564669556089
89,2.4891669181162357E7,1023980.5102689266,900911.7103457451,685.5277827421825
90,2.487955372662592E7,1023013.7266259193,807069.2035274506,1200.24575123522
91,2.694279488458991E7,1107183.2477247715,877952.3849344254,1274.0788005166582
92,2.484445422658682E7,1018668.9059126377,798344.190228939,1225.5748803271185
93,2.5000458380375862E7,1026588.2335524559,899247.5437326431,711.2317215628094
94,2.5243077633021593E7,1034669.4403316975,848696.6704685688,1034.1922472556435
95,2.4800748074298143E7,1016997.2644999027,914927.4072458744,569.943588798576
96,2.478776454169655E7,1010917.3010997772,870999.0260603428,778.6110193835366
97,2.477227735374379E7,1009444.5834591389,946639.1010763645,350.98789291116924
98,2.476508859955311E7,1012531.1226370335,847992.4934864044,915.8863454156453
99,2.474508335556984E7,1010236.4659798145,895380.7948260307,638.6505597339736
100,2.4732263833986282E7,1011392.0859460831,872044.4115197659,775.1379741152127
