,nombre_equipo,nit,news_id,participacion,categoria
0,DKR,900378212,news10006,No aplica,descartable
1,DKR,900378212,news10011,No aplica,descartable
2,DKR,860034313,news10011,No aplica,descartable
3,DKR,900378212,news10015,No aplica,descartable
4,DKR,900166896,news10015,No aplica,descartable
5,DKR,860025792,news10015,No aplica,descartable
6,DKR,901098386,news10015,No aplica,descartable
7,DKR,830092963,news10015,No aplica,descartable
8,DKR,890301886,news10015,No aplica,descartable
9,DKR,900723988,news10015,No aplica,descartable
10,DKR,890900317,news10015,No aplica,descartable
11,DKR,891410137,news10015,No aplica,descartable
12,DKR,899999278,news10015,No aplica,descartable
13,DKR,860051135,news10028,No aplica,descartable
14,DKR,860051135,news10029,No aplica,descartable
15,DKR,860051135,news10030,No aplica,descartable
16,DKR,890480123,news10030,No aplica,descartable
17,DKR,890900161,news10030,No aplica,descartable
18,DKR,800138188,news10030,No aplica,descartable
19,DKR,860051135,news10031,No aplica,descartable
20,DKR,860051135,news10033,No aplica,descartable
21,DKR,900628110,news10044,No aplica,descartable
22,DKR,860003020,news10057,No aplica,descartable
23,DKR,860003020,news10058,No aplica,descartable
24,DKR,800240882,news10058,No aplica,descartable
25,DKR,860002182,news10058,No aplica,descartable
26,DKR,830012587,news10058,No aplica,descartable
27,DKR,901211179,news10058,No aplica,descartable
28,DKR,860009578,news10058,No aplica,descartable
29,DKR,860003020,news10064,No aplica,descartable
30,DKR,860071562,news10064,No aplica,descartable
31,DKR,900648934,news10064,No aplica,descartable
32,DKR,811010754,news10064,No aplica,descartable
33,DKR,900196775,news10064,No aplica,descartable
34,DKR,901488494,news10064,Sector,innovacion
35,DKR,830096374,news10064,Sector,innovacion
36,DKR,860510031,news10064,Sector,innovacion
37,DKR,900843898,news10064,Sector,innovacion
38,DKR,830013774,news10064,Sector,innovacion
39,DKR,901521859,news10064,Sector,innovacion
40,DKR,901520647,news10064,Sector,innovacion
41,DKR,800241958,news10064,Sector,innovacion
42,DKR,860002120,news10064,Sector,innovacion
43,DKR,800057965,news10064,Sector,innovacion
44,DKR,860002433,news10064,Sector,innovacion
45,DKR,830055791,news10064,Sector,innovacion
46,DKR,900091709,news10064,Sector,innovacion
47,DKR,830089336,news10064,Sector,innovacion
48,DKR,800103052,news10064,Sector,innovacion
49,DKR,900103457,news10064,Sector,innovacion
50,DKR,830042244,news10064,Sector,innovacion
51,DKR,830001637,news10064,Sector,innovacion
52,DKR,900211457,news10064,Sector,innovacion
53,DKR,860003020,news10068,No aplica,descartable
54,DKR,860003020,news10077,No aplica,descartable
55,DKR,860003020,news10080,No aplica,descartable
56,DKR,800144331,news10080,No aplica,descartable
57,DKR,860003020,news10086,No aplica,descartable
58,DKR,900091175,news10086,No aplica,descartable
59,DKR,900628110,news10088,No aplica,descartable
60,DKR,860003020,news10090,No aplica,descartable
61,DKR,800194208,news10090,No aplica,descartable
62,DKR,860051135,news10103,No aplica,descartable
63,DKR,900628110,news10105,No aplica,descartable
64,DKR,860002964,news10105,No aplica,descartable
65,DKR,860080135,news10105,No aplica,descartable
66,DKR,860003020,news10106,No aplica,descartable
67,DKR,901211179,news10106,No aplica,descartable
68,DKR,860013704,news10106,No aplica,descartable
69,DKR,800136561,news10106,No aplica,descartable
70,DKR,900138413,news10106,No aplica,descartable
71,DKR,900626615,news10106,No aplica,descartable
72,DKR,800094968,news10106,No aplica,descartable
73,DKR,900491468,news10106,No aplica,descartable
74,DKR,800093117,news10106,No aplica,descartable
75,DKR,860524118,news10106,No aplica,descartable
76,DKR,801001885,news10106,No aplica,descartable
77,DKR,890302629,news10106,No aplica,descartable
78,DKR,900756608,news10106,No aplica,descartable
79,DKR,860048112,news10106,No aplica,descartable
80,DKR,900661920,news10106,No aplica,descartable
81,DKR,900938701,news10106,No aplica,descartable
82,DKR,890205645,news10106,No aplica,descartable
83,DKR,900172213,news10106,No aplica,descartable
84,DKR,890913356,news10106,No aplica,descartable
85,DKR,800046286,news10106,No aplica,descartable
86,DKR,900062553,news10106,No aplica,descartable
87,DKR,900719986,news10106,No aplica,descartable
88,DKR,860067697,news10106,No aplica,descartable
89,DKR,800185295,news10106,No aplica,descartable
90,DKR,890900836,news10106,No aplica,descartable
91,DKR,890703779,news10106,No aplica,descartable
92,DKR,890917007,news10106,No aplica,descartable
93,DKR,900085546,news10106,No aplica,descartable
94,DKR,901345377,news10106,No aplica,descartable
95,DKR,800086042,news10106,No aplica,descartable
96,DKR,860513493,news10106,No aplica,descartable
97,DKR,900146118,news10106,No aplica,descartable
98,DKR,900537884,news10106,No aplica,descartable
99,DKR,901352292,news10106,No aplica,descartable
100,DKR,901343108,news10106,No aplica,descartable
101,DKR,890911431,news10106,No aplica,descartable
102,DKR,890942766,news10106,No aplica,descartable
103,DKR,900077235,news10106,No aplica,descartable
104,DKR,800180264,news10106,No aplica,descartable
